Test Name,Time (s)
CSR Serial -O2 -march=native,35.716371
CSR OMP -O2 -march=native,3.693957
ELL Serial -O2 -march=native,33.023594
ELL OMP -O2 -march=native,3.790354
BCSR Serial -O2 -march=native 1x1,15.703130
BCSR OMP -O2 -march=native 1x1,3.177044
BCSR Serial -O2 -march=native 2x2,20.414584
BCSR OMP -O2 -march=native 2x2,2.825550
BCSR Serial -O2 -march=native 4x4,18.802654
BCSR OMP -O2 -march=native 4x4,2.565604
BCSR Serial -O2 -march=native 8x8,7.278047
BCSR OMP -O2 -march=native 8x8,3.327694
BCSR Serial -O2 -march=native 16x16,12.121666
BCSR OMP -O2 -march=native 16x16,1.999683
BCSR Serial -O2 -march=native 32x32,21.692959
BCSR OMP -O2 -march=native 32x32,2.100050
