Test Name,Time (s)
CSR Serial -O2 -march=native,20.761457
CSR OMP -O2 -march=native,1.206169
ELL Serial -O2 -march=native,6.761892
ELL OMP -O2 -march=native,1.345179
BCSR Serial -O2 -march=native 1x1,1.082559
BCSR OMP -O2 -march=native 1x1,1.155283
BCSR Serial -O2 -march=native 2x2,1.283800
BCSR OMP -O2 -march=native 2x2,0.690627
BCSR Serial -O2 -march=native 4x4,1.701666
BCSR OMP -O2 -march=native 4x4,0.907514
BCSR Serial -O2 -march=native 8x8,6.916647
BCSR OMP -O2 -march=native 8x8,1.516016
BCSR Serial -O2 -march=native 16x16,4.176931
BCSR OMP -O2 -march=native 16x16,0.713077
BCSR Serial -O2 -march=native 32x32,7.498904
BCSR OMP -O2 -march=native 32x32,0.746205
