Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp -t 1024x32,0.012610,0.026331,0.038941,5.641433,1024,10,1,1,1,67108864,1024,1024,32768,32,32,0,0
csr_omp -t 1024x32,0.008430,0.027874,0.036304,8.529636,1024,10,1,1,2,67108864,1024,1024,32768,32,32,0,0
csr_omp -t 1024x32,0.004512,0.026000,0.030512,16.753233,1024,10,1,1,4,67108864,1024,1024,32768,32,32,0,0
csr_omp -t 1024x32,0.002777,0.026445,0.029222,29.917833,1024,10,1,1,8,67108864,1024,1024,32768,32,32,0,0
csr_omp -t 1024x32,0.001800,0.026544,0.028344,52.237136,1024,10,1,1,16,67108864,1024,1024,32768,32,32,0,0
csr_omp -t 1024x32,0.002533,0.032734,0.035267,53.045189,1024,10,1,1,32,67108864,1024,1024,32768,32,32,0,0
csr_omp_gpu,0.032141,0.022917,0.055058,2.580959,1024,10,1,1,-1,67108864,1024,1024,32768,32,32,0,0
bcsr_omp 1 x 1 -t 1,0.008432,0.124377,0.132809,8.443026,387072,10,1,1,1,66154496,1024,1024,32768,32,32,0,0
bcsr_omp 1 x 1 -t 2,0.004852,0.092591,0.097443,15.838050,387072,10,1,1,2,66154496,1024,1024,32768,32,32,0,0
bcsr_omp 1 x 1 -t 4,0.002852,0.087225,0.090077,29.455500,387072,10,1,1,4,66154496,1024,1024,32768,32,32,0,0
bcsr_omp 1 x 1 -t 8,0.001877,0.089808,0.091685,49.274872,387072,10,1,1,8,66154496,1024,1024,32768,32,32,0,0
bcsr_omp 1 x 1 -t 16,0.001320,0.090151,0.091471,81.172397,387072,10,1,1,16,66154496,1024,1024,32768,32,32,0,0
bcsr_omp 1 x 1 -t 32,0.002114,0.085366,0.087480,92.155443,387072,10,1,1,32,66154496,1024,1024,32768,32,32,0,0
bcsr_omp 2 x 2 -t 1,0.027130,0.088617,0.115747,9.417436,387072,10,2,2,1,252485632,1024,1024,32768,32,32,0,0
bcsr_omp 2 x 2 -t 2,0.014346,0.094257,0.108603,18.186460,387072,10,2,2,2,252485632,1024,1024,32768,32,32,0,0
bcsr_omp 2 x 2 -t 4,0.007517,0.089891,0.097408,35.966487,387072,10,2,2,4,252485632,1024,1024,32768,32,32,0,0
bcsr_omp 2 x 2 -t 8,0.004388,0.093069,0.097457,66.837497,387072,10,2,2,8,252485632,1024,1024,32768,32,32,0,0
bcsr_omp 2 x 2 -t 16,0.002734,0.094179,0.096913,120.198607,387072,10,2,2,16,252485632,1024,1024,32768,32,32,0,0
bcsr_omp 2 x 2 -t 32,0.003203,0.088052,0.091255,121.500521,387072,10,2,2,32,252485632,1024,1024,32768,32,32,0,0
bcsr_omp 4 x 4 -t 1,0.060803,0.102408,0.163211,14.006081,387072,10,4,4,1,847970304,1024,1024,32768,32,32,0,0
bcsr_omp 4 x 4 -t 2,0.034659,0.102851,0.137510,25.123438,387072,10,4,4,2,847970304,1024,1024,32768,32,32,0,0
bcsr_omp 4 x 4 -t 4,0.019051,0.109058,0.128109,46.667734,387072,10,4,4,4,847970304,1024,1024,32768,32,32,0,0
bcsr_omp 4 x 4 -t 8,0.011515,0.105252,0.116767,78.091801,387072,10,4,4,8,847970304,1024,1024,32768,32,32,0,0
bcsr_omp 4 x 4 -t 16,0.006654,0.106811,0.113465,141.967754,387072,10,4,4,16,847970304,1024,1024,32768,32,32,0,0
bcsr_omp 4 x 4 -t 32,0.005466,0.105635,0.111101,215.346370,387072,10,4,4,32,847970304,1024,1024,32768,32,32,0,0
bcsr_omp 8 x 8 -t 1,0.130659,0.123445,0.254104,14.225157,387072,10,8,8,1,1856765952,1024,1024,32768,32,32,0,0
bcsr_omp 8 x 8 -t 2,0.074462,0.159977,0.234439,25.548623,387072,10,8,8,2,1856765952,1024,1024,32768,32,32,0,0
bcsr_omp 8 x 8 -t 4,0.040755,0.150596,0.191351,46.912169,387072,10,8,8,4,1856765952,1024,1024,32768,32,32,0,0
bcsr_omp 8 x 8 -t 8,0.022335,0.156581,0.178917,86.746453,387072,10,8,8,8,1856765952,1024,1024,32768,32,32,0,0
bcsr_omp 8 x 8 -t 16,0.012543,0.114496,0.127039,155.486884,387072,10,8,8,16,1856765952,1024,1024,32768,32,32,0,0
bcsr_omp 8 x 8 -t 32,0.008372,0.111664,0.120036,271.971627,387072,10,8,8,32,1856765952,1024,1024,32768,32,32,0,0
bcsr_omp 16 x 16 -t 1,0.150467,0.103003,0.253470,14.281178,387072,10,16,16,1,2146959360,1024,1024,32768,32,32,0,0
bcsr_omp 16 x 16 -t 2,0.084996,0.139124,0.224120,25.947696,387072,10,16,16,2,2146959360,1024,1024,32768,32,32,0,0
bcsr_omp 16 x 16 -t 4,0.047745,0.106804,0.154549,46.422794,387072,10,16,16,4,2146959360,1024,1024,32768,32,32,0,0
bcsr_omp 16 x 16 -t 8,0.025171,0.104603,0.129774,88.955791,387072,10,16,16,8,2146959360,1024,1024,32768,32,32,0,0
bcsr_omp 16 x 16 -t 16,0.014519,0.107829,0.122348,154.556338,387072,10,16,16,16,2146959360,1024,1024,32768,32,32,0,0
bcsr_omp 16 x 16 -t 32,0.009060,0.100317,0.109377,277.037217,387072,10,16,16,32,2146959360,1024,1024,32768,32,32,0,0
bcsr_omp 32 x 32 -t 1,0.150487,0.097700,0.248187,14.282994,387072,10,32,32,1,2147483648,1024,1024,32768,32,32,0,0
bcsr_omp 32 x 32 -t 2,0.083356,0.137370,0.220726,26.306814,387072,10,32,32,2,2147483648,1024,1024,32768,32,32,0,0
bcsr_omp 32 x 32 -t 4,0.046027,0.101819,0.147846,47.975919,387072,10,32,32,4,2147483648,1024,1024,32768,32,32,0,0
bcsr_omp 32 x 32 -t 8,0.024925,0.101704,0.126629,89.785949,387072,10,32,32,8,2147483648,1024,1024,32768,32,32,0,0
bcsr_omp 32 x 32 -t 16,0.014021,0.099354,0.113376,159.409930,387072,10,32,32,16,2147483648,1024,1024,32768,32,32,0,0
bcsr_omp 32 x 32 -t 32,0.009966,0.095536,0.105502,267.450816,387072,10,32,32,32,2147483648,1024,1024,32768,32,32,0,0
bcsr_omp_gpu 1 x 1,0.029644,0.084131,0.113775,2.834712,387072,10,1,1,-1,66154496,1024,1024,32768,32,32,0,0
bcsr_omp_gpu 2 x 2,0.107465,0.087644,0.195109,2.424972,387072,10,2,2,-1,252485632,1024,1024,32768,32,32,0,0
bcsr_omp_gpu 4 x 4,0.674516,0.149943,0.824458,1.259333,387072,10,4,4,-1,847970304,1024,1024,32768,32,32,0,0
bcsr_omp_gpu 8 x 8,2.924260,0.140165,3.064425,0.634992,387072,10,8,8,-1,1856765952,1024,1024,32768,32,32,0,0
