Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial,0.150384,0.197701,0.348085,7.140050,0,10,1,1,-1,1073741824,1024,1024,524288,512,512,0,0
csr_omp -t 1024x512,0.166910,0.230269,0.397179,6.467292,0,10,1,1,1,1073741824,1024,1024,524288,512,512,0,0
csr_omp -t 1024x512,0.090471,0.240589,0.331061,11.992754,0,10,1,1,2,1073741824,1024,1024,524288,512,512,0,0
csr_omp -t 1024x512,0.048066,0.238140,0.286206,22.485695,0,10,1,1,4,1073741824,1024,1024,524288,512,512,0,0
csr_omp -t 1024x512,0.025954,0.197958,0.223912,42.178068,0,10,1,1,8,1073741824,1024,1024,524288,512,512,0,0
csr_omp -t 1024x512,0.014457,0.195477,0.209934,76.960050,0,10,1,1,16,1073741824,1024,1024,524288,512,512,0,0
csr_omp -t 1024x512,0.009201,0.194582,0.203783,141.483103,0,10,1,1,32,1073741824,1024,1024,524288,512,512,0,0
csr_omp_gpu,0.263905,0.202137,0.466042,4.096463,0,10,1,1,-1,1073741824,1024,1024,524288,512,512,0,0
bcsr_serial 1 x 1,0.055606,0.625457,0.681063,15.206561,1048576,10,1,1,-1,845557760,1024,1024,524288,512,512,0,0
bcsr_serial 2 x 2,0.120242,0.631665,0.751907,15.452903,1048576,10,2,2,-1,1858084864,1024,1024,524288,512,512,0,0
bcsr_serial 4 x 4,0.138010,0.607134,0.745144,15.555433,1048576,10,4,4,-1,2146795520,1024,1024,524288,512,512,0,0
bcsr_serial 8 x 8,0.137575,0.581728,0.719303,15.609678,1048576,10,8,8,-1,2147483648,1024,1024,524288,512,512,0,0
bcsr_serial 16 x 16,0.139745,0.568079,0.707824,15.367500,1048576,10,16,16,-1,2147483648,1024,1024,524288,512,512,0,0
bcsr_serial 32 x 32,0.137189,0.555306,0.692495,15.653640,1048576,10,32,32,-1,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 1 x 1 -t 1,0.064345,0.610549,0.674894,13.475002,1048576,10,1,1,1,845557760,1024,1024,524288,512,512,0,0
bcsr_omp 1 x 1 -t 2,0.033918,0.580791,0.614709,25.947199,1048576,10,1,1,2,845557760,1024,1024,524288,512,512,0,0
bcsr_omp 1 x 1 -t 4,0.019587,0.578921,0.598508,45.420456,1048576,10,1,1,4,845557760,1024,1024,524288,512,512,0,0
bcsr_omp 1 x 1 -t 8,0.011141,0.573489,0.584630,81.371295,1048576,10,1,1,8,845557760,1024,1024,524288,512,512,0,0
bcsr_omp 1 x 1 -t 16,0.006763,0.579990,0.586753,141.291091,1048576,10,1,1,16,845557760,1024,1024,524288,512,512,0,0
bcsr_omp 1 x 1 -t 32,0.005643,0.576668,0.582311,210.871109,1048576,10,1,1,32,845557760,1024,1024,524288,512,512,0,0
bcsr_omp 2 x 2 -t 1,0.130613,0.636213,0.766826,14.232241,1048576,10,2,2,1,1858084864,1024,1024,524288,512,512,0,0
bcsr_omp 2 x 2 -t 2,0.072936,0.667017,0.739953,26.163448,1048576,10,2,2,2,1858084864,1024,1024,524288,512,512,0,0
bcsr_omp 2 x 2 -t 4,0.039951,0.632244,0.672195,47.942134,1048576,10,2,2,4,1858084864,1024,1024,524288,512,512,0,0
bcsr_omp 2 x 2 -t 8,0.022312,0.629619,0.651931,87.227893,1048576,10,2,2,8,1858084864,1024,1024,524288,512,512,0,0
bcsr_omp 2 x 2 -t 16,0.012281,0.634026,0.646307,158.756154,1048576,10,2,2,16,1858084864,1024,1024,524288,512,512,0,0
bcsr_omp 2 x 2 -t 32,0.009476,0.669685,0.679161,261.041023,1048576,10,2,2,32,1858084864,1024,1024,524288,512,512,0,0
bcsr_omp 4 x 4 -t 1,0.150669,0.581946,0.732615,14.258773,1048576,10,4,4,1,2146795520,1024,1024,524288,512,512,0,0
bcsr_omp 4 x 4 -t 2,0.084810,0.608360,0.693170,25.964997,1048576,10,4,4,2,2146795520,1024,1024,524288,512,512,0,0
bcsr_omp 4 x 4 -t 4,0.046370,0.577880,0.624250,47.401688,1048576,10,4,4,4,2146795520,1024,1024,524288,512,512,0,0
bcsr_omp 4 x 4 -t 8,0.024100,0.576412,0.600512,92.392767,1048576,10,4,4,8,2146795520,1024,1024,524288,512,512,0,0
bcsr_omp 4 x 4 -t 16,0.014225,0.575551,0.589776,158.099964,1048576,10,4,4,16,2146795520,1024,1024,524288,512,512,0,0
bcsr_omp 4 x 4 -t 32,0.009293,0.573262,0.582555,273.731094,1048576,10,4,4,32,2146795520,1024,1024,524288,512,512,0,0
bcsr_omp 8 x 8 -t 1,0.150365,0.544619,0.694984,14.286616,1048576,10,8,8,1,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 8 x 8 -t 2,0.083290,0.578154,0.661444,26.435028,1048576,10,8,8,2,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 8 x 8 -t 4,0.044256,0.541075,0.585331,49.771241,1048576,10,8,8,4,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 8 x 8 -t 8,0.024964,0.543281,0.568245,89.381903,1048576,10,8,8,8,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 8 x 8 -t 16,0.013867,0.545700,0.559567,161.637453,1048576,10,8,8,16,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 8 x 8 -t 32,0.009237,0.543192,0.552428,283.808340,1048576,10,8,8,32,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 16 x 16 -t 1,0.150935,0.526804,0.677739,14.237737,1048576,10,16,16,1,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 16 x 16 -t 2,0.082867,0.563756,0.646623,26.361677,1048576,10,16,16,2,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 16 x 16 -t 4,0.045453,0.531113,0.576566,48.644478,1048576,10,16,16,4,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 16 x 16 -t 8,0.024375,0.528657,0.553032,91.702510,1048576,10,16,16,8,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 16 x 16 -t 16,0.014111,0.525834,0.539945,159.183945,1048576,10,16,16,16,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 16 x 16 -t 32,0.010552,0.525339,0.535891,264.340211,1048576,10,16,16,32,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 32 x 32 -t 1,0.150554,0.524255,0.674808,14.270038,1048576,10,32,32,1,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 32 x 32 -t 2,0.085826,0.562233,0.648059,25.694482,1048576,10,32,32,2,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 32 x 32 -t 4,0.047229,0.520139,0.567368,46.841262,1048576,10,32,32,4,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 32 x 32 -t 8,0.025115,0.566100,0.591215,89.199809,1048576,10,32,32,8,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 32 x 32 -t 16,0.014444,0.555616,0.570060,155.282457,1048576,10,32,32,16,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp 32 x 32 -t 32,0.009485,0.516465,0.525950,270.320189,1048576,10,32,32,32,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp_gpu 1 x 1,0.209150,0.650393,0.859543,4.115018,1048576,10,1,1,-1,845557760,1024,1024,524288,512,512,0,0
bcsr_omp_gpu 2 x 2,0.689928,0.732186,1.422114,2.695866,1048576,10,2,2,-1,1858084864,1024,1024,524288,512,512,0,0
bcsr_omp_gpu 4 x 4,1.735942,0.648295,2.384237,1.236867,1048576,10,4,4,-1,2146795520,1024,1024,524288,512,512,0,0
bcsr_omp_gpu 8 x 8,3.460633,0.553914,4.014546,0.620572,1048576,10,8,8,-1,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp_gpu 16 x 16,3.836345,0.608891,4.445236,0.559793,1048576,10,16,16,-1,2147483648,1024,1024,524288,512,512,0,0
bcsr_omp_gpu 32 x 32,6.175910,0.592148,6.768058,0.347725,1048576,10,32,32,-1,2147483648,1024,1024,524288,512,512,0,0
