Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial,0.003091,0.019748,0.022839,5.448413,0,10,1,1,-1,16777216,1024,1024,8192,8,8,0,0
coo_omp -t 1024x8,0.002064,0.021326,0.023390,31.723927,0,10,1,1,1,16777216,1024,1024,8192,8,8,0,0
coo_omp -t 1024x8,0.002388,0.013387,0.015775,33.079141,0,10,1,1,2,16777216,1024,1024,8192,8,8,0,0
coo_omp -t 1024x8,0.003534,0.017087,0.020621,25.573402,0,10,1,1,4,16777216,1024,1024,8192,8,8,0,0
coo_omp -t 1024x8,0.004508,0.016600,0.021108,9.988827,0,10,1,1,8,16777216,1024,1024,8192,8,8,0,0
coo_omp -t 1024x8,0.003454,0.013136,0.016590,27.149761,0,10,1,1,16,16777216,1024,1024,8192,8,8,0,0
coo_omp -t 1024x8,0.003497,0.016368,0.019865,27.178414,0,10,1,1,32,16777216,1024,1024,8192,8,8,0,0
coo_omp_gpu,0.014841,0.014677,0.029518,2.234945,1048576,10,1,1,-1,16777216,1024,1024,8192,8,8,0,0
csr_serial,0.003472,0.023797,0.027270,4.836399,0,10,1,1,-1,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.004884,0.018616,0.023500,3.849872,0,10,1,1,1,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.002822,0.017037,0.019859,7.245456,0,10,1,1,2,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.001727,0.017048,0.018775,12.789967,0,10,1,1,4,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.001222,0.017458,0.018680,19.509406,0,10,1,1,8,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.000979,0.018182,0.019161,29.600060,0,10,1,1,16,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.001848,0.020470,0.022318,25.246445,0,10,1,1,32,16777216,1024,1024,8192,8,8,0,0
csr_omp_gpu,0.018709,0.014696,0.033405,1.433175,0,10,1,1,-1,16777216,1024,1024,8192,8,8,0,0
ell_serial,0.003495,0.023748,0.027242,4.805648,0,10,1,1,-1,16777216,1024,1024,8192,8,8,0,0
ell_omp -t 1,0.005001,0.022180,0.027181,3.757516,0,10,1,1,1,16777216,1024,1024,8192,8,8,0,0
ell_omp -t 2,0.002925,0.022543,0.025468,6.886958,0,10,1,1,2,16777216,1024,1024,8192,8,8,0,0
ell_omp -t 4,0.001774,0.016667,0.018441,12.391677,0,10,1,1,4,16777216,1024,1024,8192,8,8,0,0
ell_omp -t 8,0.001305,0.016036,0.017341,18.943360,0,10,1,1,8,16777216,1024,1024,8192,8,8,0,0
ell_omp -t 16,0.000851,0.019204,0.020055,32.018278,0,10,1,1,16,16777216,1024,1024,8192,8,8,0,0
ell_omp -t 32,0.001848,0.013443,0.015291,27.643806,0,10,1,1,32,16777216,1024,1024,8192,8,8,0,0
ell_omp_gpu,0.021526,0.020162,0.041688,1.308209,0,10,1,1,-1,16777216,1024,1024,8192,8,8,0,0
bcsr_serial 1 x 1,0.001395,0.072981,0.074376,12.081094,17408,10,1,1,-1,16742400,1024,1024,8192,8,8,0,0
bcsr_serial 2 x 2,0.004542,0.069609,0.074151,14.602577,17408,10,2,2,-1,66306048,1024,1024,8192,8,8,0,0
bcsr_serial 4 x 4,0.016651,0.076081,0.092732,15.256201,17408,10,4,4,-1,254017536,1024,1024,8192,8,8,0,0
bcsr_serial 8 x 8,0.055413,0.084061,0.139474,15.424650,17408,10,8,8,-1,854720512,1024,1024,8192,8,8,0,0
bcsr_serial 16 x 16,0.119441,0.094250,0.213691,15.653067,17408,10,16,16,-1,1869611008,1024,1024,8192,8,8,0,0
bcsr_serial 32 x 32,0.136985,0.084529,0.221514,15.661558,17408,10,32,32,-1,2145386496,1024,1024,8192,8,8,0,0
bcsr_omp 1 x 1 -t 1,0.002881,0.067215,0.070096,6.900527,17408,10,1,1,1,16742400,1024,1024,8192,8,8,0,0
bcsr_omp 1 x 1 -t 2,0.002114,0.068568,0.070682,10.369316,17408,10,1,1,2,16742400,1024,1024,8192,8,8,0,0
bcsr_omp 1 x 1 -t 4,0.001405,0.069061,0.070466,17.204604,17408,10,1,1,4,16742400,1024,1024,8192,8,8,0,0
bcsr_omp 1 x 1 -t 8,0.000988,0.066820,0.067808,27.630855,17408,10,1,1,8,16742400,1024,1024,8192,8,8,0,0
bcsr_omp 1 x 1 -t 16,0.000848,0.069038,0.069886,38.880940,17408,10,1,1,16,16742400,1024,1024,8192,8,8,0,0
bcsr_omp 1 x 1 -t 32,0.002319,0.064578,0.066897,33.348089,17408,10,1,1,32,16742400,1024,1024,8192,8,8,0,0
bcsr_omp 2 x 2 -t 1,0.008058,0.065142,0.073200,8.758465,17408,10,2,2,1,66306048,1024,1024,8192,8,8,0,0
bcsr_omp 2 x 2 -t 2,0.004786,0.070058,0.074844,16.046849,17408,10,2,2,2,66306048,1024,1024,8192,8,8,0,0
bcsr_omp 2 x 2 -t 4,0.002852,0.069526,0.072378,29.666824,17408,10,2,2,4,66306048,1024,1024,8192,8,8,0,0
bcsr_omp 2 x 2 -t 8,0.001876,0.070254,0.072130,49.544326,17408,10,2,2,8,66306048,1024,1024,8192,8,8,0,0
bcsr_omp 2 x 2 -t 16,0.001230,0.071116,0.072345,94.152505,17408,10,2,2,16,66306048,1024,1024,8192,8,8,0,0
bcsr_omp 2 x 2 -t 32,0.001980,0.097691,0.099671,96.346166,17408,10,2,2,32,66306048,1024,1024,8192,8,8,0,0
bcsr_omp 4 x 4 -t 1,0.027854,0.073906,0.101760,9.244793,17408,10,4,4,1,254017536,1024,1024,8192,8,8,0,0
bcsr_omp 4 x 4 -t 2,0.014492,0.079216,0.093708,18.072316,17408,10,4,4,2,254017536,1024,1024,8192,8,8,0,0
bcsr_omp 4 x 4 -t 4,0.007786,0.075139,0.082925,34.795907,17408,10,4,4,4,254017536,1024,1024,8192,8,8,0,0
bcsr_omp 4 x 4 -t 8,0.004428,0.073748,0.078176,66.670884,17408,10,4,4,8,254017536,1024,1024,8192,8,8,0,0
bcsr_omp 4 x 4 -t 16,0.002775,0.075254,0.078028,119.343478,17408,10,4,4,16,254017536,1024,1024,8192,8,8,0,0
bcsr_omp 4 x 4 -t 32,0.003474,0.107972,0.111446,112.906875,17408,10,4,4,32,254017536,1024,1024,8192,8,8,0,0
bcsr_omp 8 x 8 -t 1,0.068211,0.111443,0.179654,12.978363,17408,10,8,8,1,854720512,1024,1024,8192,8,8,0,0
bcsr_omp 8 x 8 -t 2,0.038941,0.084917,0.123858,22.965855,17408,10,8,8,2,854720512,1024,1024,8192,8,8,0,0
bcsr_omp 8 x 8 -t 4,0.019728,0.085713,0.105441,45.467393,17408,10,8,8,4,854720512,1024,1024,8192,8,8,0,0
