Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp -t 512x32,0.003796,0.015981,0.019778,5.621630,512,10,1,1,1,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.002313,0.013026,0.015339,9.780212,512,10,1,1,2,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.001794,0.014475,0.016269,12.622221,512,10,1,1,4,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.001210,0.011269,0.012479,17.842066,512,10,1,1,8,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.000897,0.011995,0.012892,33.644392,512,10,1,1,16,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.001704,0.015347,0.017051,36.226644,512,10,1,1,32,16777216,512,512,16384,32,32,0,0
csr_omp_gpu,0.017115,0.008448,0.025563,1.671497,512,10,1,1,-1,16777216,512,512,16384,32,32,0,0
ell_omp -t 1,0.004318,0.015974,0.020292,4.459554,512,10,1,1,1,16777216,512,512,16384,32,32,0,0
ell_omp -t 2,0.002753,0.014770,0.017523,7.494663,512,10,1,1,2,16777216,512,512,16384,32,32,0,0
ell_omp -t 4,0.001871,0.011842,0.013713,11.655504,512,10,1,1,4,16777216,512,512,16384,32,32,0,0
ell_omp -t 8,0.001292,0.013680,0.014972,17.386635,512,10,1,1,8,16777216,512,512,16384,32,32,0,0
ell_omp -t 16,0.000870,0.012159,0.013029,33.199368,512,10,1,1,16,16777216,512,512,16384,32,32,0,0
ell_omp -t 32,0.001796,0.018121,0.019917,28.572362,512,10,1,1,32,16777216,512,512,16384,32,32,0,0
ell_omp_gpu,0.016958,0.009481,0.026439,1.692981,512,10,1,1,-1,16777216,512,512,16384,32,32,0,0
