Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial,0.040460,0.099710,0.140170,6.634676,0,10,1,1,-1,268435456,512,512,262144,512,512,0,0
csr_omp -t 512x512,0.041359,0.096508,0.137867,6.531029,0,10,1,1,1,268435456,512,512,262144,512,512,0,0
csr_omp -t 512x512,0.023574,0.094480,0.118053,11.579003,0,10,1,1,2,268435456,512,512,262144,512,512,0,0
csr_omp -t 512x512,0.012355,0.094775,0.107130,22.615598,0,10,1,1,4,268435456,512,512,262144,512,512,0,0
csr_omp -t 512x512,0.007226,0.097746,0.104973,39.618340,0,10,1,1,8,268435456,512,512,262144,512,512,0,0
csr_omp -t 512x512,0.004391,0.097135,0.101526,69.527719,0,10,1,1,16,268435456,512,512,262144,512,512,0,0
csr_omp -t 512x512,0.005056,0.135157,0.140213,69.801269,0,10,1,1,32,268435456,512,512,262144,512,512,0,0
csr_omp_gpu,0.102199,0.126584,0.228783,2.745999,0,10,1,1,-1,268435456,512,512,262144,512,512,0,0
ell_serial,0.040291,0.152288,0.192579,6.662950,0,10,1,1,-1,268435456,512,512,262144,512,512,0,0
ell_omp -t 1,0.043959,0.150984,0.194943,6.232361,0,10,1,1,1,268435456,512,512,262144,512,512,0,0
ell_omp -t 2,0.025462,0.112505,0.137967,10.690046,0,10,1,1,2,268435456,512,512,262144,512,512,0,0
ell_omp -t 4,0.012137,0.110826,0.122963,22.764069,0,10,1,1,4,268435456,512,512,262144,512,512,0,0
ell_omp -t 8,0.007314,0.112777,0.120091,39.559482,0,10,1,1,8,268435456,512,512,262144,512,512,0,0
ell_omp -t 16,0.004292,0.114335,0.118627,72.501001,0,10,1,1,16,268435456,512,512,262144,512,512,0,0
ell_omp -t 32,0.006372,0.159176,0.165548,60.225807,0,10,1,1,32,268435456,512,512,262144,512,512,0,0
ell_omp_gpu,0.098279,0.105951,0.204230,2.827625,0,10,1,1,-1,268435456,512,512,262144,512,512,0,0
