Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial,0.024122,0.071241,0.095363,7.131855,0,10,1,1,-1,172029658,2003,2003,42943,84,21,197,14
csr_omp -t bcsstk13,0.027518,0.071355,0.098873,6.288868,0,10,1,1,1,172029658,2003,2003,42943,84,21,197,14
csr_omp -t bcsstk13,0.019781,0.071982,0.091763,8.995695,0,10,1,1,2,172029658,2003,2003,42943,84,21,197,14
csr_omp -t bcsstk13,0.011918,0.073862,0.085779,15.273689,0,10,1,1,4,172029658,2003,2003,42943,84,21,197,14
csr_omp -t bcsstk13,0.007776,0.072191,0.079967,23.799611,0,10,1,1,8,172029658,2003,2003,42943,84,21,197,14
csr_omp -t bcsstk13,0.004503,0.068767,0.073270,43.447143,0,10,1,1,16,172029658,2003,2003,42943,84,21,197,14
csr_omp -t bcsstk13,0.005395,0.067556,0.072951,43.736607,0,10,1,1,32,172029658,2003,2003,42943,84,21,197,14
csr_omp_gpu,0.104514,0.065166,0.169680,1.708174,0,10,1,1,-1,172029658,2003,2003,42943,84,21,197,14
bcsr_serial 1 x 1,0.011728,0.331343,0.343071,14.678930,0,10,1,1,-1,172029658,2003,2003,42943,84,21,197,14
bcsr_serial 2 x 2,0.017838,0.292623,0.310460,15.606823,0,10,2,2,-1,278304832,2003,2003,42943,84,21,197,14
bcsr_serial 4 x 4,0.027326,0.307109,0.334435,16.348475,0,10,4,4,-1,446685024,2003,2003,42943,84,21,197,14
bcsr_serial 8 x 8,0.041126,0.299045,0.340171,16.732949,0,10,8,8,-1,688134656,2003,2003,42943,84,21,197,14
bcsr_serial 16 x 16,0.066273,0.293531,0.359804,17.068555,0,10,16,16,-1,1131166208,2003,2003,42943,84,21,197,14
bcsr_serial 32 x 32,0.104161,0.330138,0.434299,17.289048,0,10,32,32,-1,1800841216,2003,2003,42943,84,21,197,14
bcsr_omp 1 x 1 -t 1,0.017470,0.326583,0.344053,10.530877,0,10,1,1,1,172029658,2003,2003,42943,84,21,197,14
bcsr_omp 1 x 1 -t 2,0.011134,0.294384,0.305518,16.585924,0,10,1,1,2,172029658,2003,2003,42943,84,21,197,14
bcsr_omp 1 x 1 -t 4,0.007037,0.298187,0.305224,26.702213,0,10,1,1,4,172029658,2003,2003,42943,84,21,197,14
bcsr_omp 1 x 1 -t 8,0.004367,0.296114,0.300481,45.324190,0,10,1,1,8,172029658,2003,2003,42943,84,21,197,14
bcsr_omp 1 x 1 -t 16,0.002575,0.294864,0.297439,84.717593,0,10,1,1,16,172029658,2003,2003,42943,84,21,197,14
bcsr_omp 1 x 1 -t 32,0.003172,0.291882,0.295054,85.260121,0,10,1,1,32,172029658,2003,2003,42943,84,21,197,14
