Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial,0.024122,0.071241,0.095363,7.131855,0,10,1,1,-1,172029658,2003,2003,42943,84,21,197,14
csr_omp -t bcsstk13,0.027518,0.071355,0.098873,6.288868,0,10,1,1,1,172029658,2003,2003,42943,84,21,197,14
csr_omp -t bcsstk13,0.019781,0.071982,0.091763,8.995695,0,10,1,1,2,172029658,2003,2003,42943,84,21,197,14
csr_omp -t bcsstk13,0.011918,0.073862,0.085779,15.273689,0,10,1,1,4,172029658,2003,2003,42943,84,21,197,14
csr_omp -t bcsstk13,0.007776,0.072191,0.079967,23.799611,0,10,1,1,8,172029658,2003,2003,42943,84,21,197,14
csr_omp -t bcsstk13,0.004503,0.068767,0.073270,43.447143,0,10,1,1,16,172029658,2003,2003,42943,84,21,197,14
csr_omp -t bcsstk13,0.005395,0.067556,0.072951,43.736607,0,10,1,1,32,172029658,2003,2003,42943,84,21,197,14
csr_omp_gpu,0.104514,0.065166,0.169680,1.708174,0,10,1,1,-1,172029658,2003,2003,42943,84,21,197,14
ell_serial,0.095377,0.099143,0.194520,7.067831,0,10,1,1,-1,674017512,2003,2003,42943,84,21,197,14
ell_omp -t 1,0.109090,0.098414,0.207504,6.230482,0,10,1,1,1,674017512,2003,2003,42943,84,21,197,14
ell_omp -t 2,0.060534,0.105584,0.166118,11.356881,0,10,1,1,2,674017512,2003,2003,42943,84,21,197,14
ell_omp -t 4,0.031157,0.109793,0.140949,22.061072,0,10,1,1,4,674017512,2003,2003,42943,84,21,197,14
ell_omp -t 8,0.017022,0.098022,0.115044,40.782023,0,10,1,1,8,674017512,2003,2003,42943,84,21,197,14
ell_omp -t 16,0.009902,0.101933,0.111835,72.033813,0,10,1,1,16,674017512,2003,2003,42943,84,21,197,14
ell_omp -t 32,0.006720,0.073003,0.079723,127.155958,0,10,1,1,32,674017512,2003,2003,42943,84,21,197,14
ell_omp_gpu,0.161404,0.072487,0.233891,4.245175,0,10,1,1,-1,674017512,2003,2003,42943,84,21,197,14
