Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial,21.067699,1.167459,22.235158,0.228997,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_serial,3.375008,1.133477,4.508485,1.429458,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
coo_omp -t bcsstk17,4.538846,1.110903,5.649749,1.062921,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp -t bcsstk17,1.838693,1.134333,2.973026,2.623838,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp -t bcsstk17,0.630178,1.128102,1.758280,7.655669,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
coo_omp -t bcsstk17,4.548651,1.120956,5.669607,1.060630,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp -t bcsstk17,1.841154,1.113799,2.954953,2.620331,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp -t bcsstk17,0.650181,1.129035,1.779216,7.420139,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
coo_omp -t bcsstk17,4.572603,1.114907,5.687510,1.055074,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp -t bcsstk17,1.834226,1.145989,2.980215,2.630229,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp -t bcsstk17,0.658103,1.113609,1.771712,7.330819,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
coo_omp -t bcsstk17,4.616382,1.120887,5.737269,1.045068,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp -t bcsstk17,1.858092,1.133396,2.991488,2.596445,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp -t bcsstk17,0.660810,1.115295,1.776105,7.300788,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
coo_omp_gpu,4.751492,1.141322,5.892814,1.015351,120428676,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
coo_transpose_omp_gpu,1.947979,1.119365,3.067344,2.476635,120428676,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
csr_serial,21.219825,1.120762,22.340587,0.227355,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_serial,3.400737,1.138956,4.539693,1.418644,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,21.524991,1.176025,22.701016,0.224132,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp -t bcsstk17,4.336466,1.186641,5.523107,1.112527,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp -t bcsstk17,4.327326,1.162624,5.489950,1.114876,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,12.053575,1.208720,13.262295,0.400249,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp -t bcsstk17,2.348576,1.163133,3.511709,2.054195,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp -t bcsstk17,2.363370,1.122536,3.485906,2.041336,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
