Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp -t bcsstk17,21.524991,1.176025,22.701016,0.224132,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,12.053575,1.208720,13.262295,0.400249,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,6.589469,1.160937,7.750406,0.732143,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,4.863245,1.166886,6.030131,0.992019,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp_gpu,4.821136,1.129243,5.950379,1.000684,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 1,20.690617,8.427728,29.118345,0.233170,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 2,11.639275,8.403985,20.043260,0.414496,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 4,6.336028,8.470547,14.806575,0.761429,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 16,4.138856,8.585980,12.724836,1.165644,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 1,24.610126,8.245581,32.855707,0.233477,0,1,2,2,1,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 2,13.385807,8.262327,21.648134,0.429253,0,1,2,2,2,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 4,6.873681,8.225667,15.099348,0.835927,0,1,2,2,4,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 16,4.702621,8.220928,12.923549,1.221850,0,1,2,2,16,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp 4 x 4 -t 1,36.219190,8.583775,44.802965,0.233704,0,1,4,4,1,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp 4 x 4 -t 2,19.375687,8.570146,27.945833,0.436865,0,1,4,4,2,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp 4 x 4 -t 4,9.982400,8.604036,18.586436,0.847948,0,1,4,4,4,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp 4 x 4 -t 16,7.036280,8.509557,15.545837,1.202987,0,1,4,4,16,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp 16 x 16 -t 1,102.024960,8.254819,110.279779,0.232733,0,1,16,16,1,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp 16 x 16 -t 2,54.054261,8.221557,62.275818,0.439273,0,1,16,16,2,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp 16 x 16 -t 4,30.075963,8.163175,38.239138,0.789487,0,1,16,16,4,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp 16 x 16 -t 16,19.667303,8.220165,27.887468,1.207312,0,1,16,16,16,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp_gpu 1 x 1,4.142734,8.458789,12.601523,1.164553,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_gpu 2 x 2,4.695998,8.259200,12.955198,1.223573,0,1,2,2,-1,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp_gpu 4 x 4,7.013175,8.589613,15.602788,1.206950,0,1,4,4,-1,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp_gpu 16 x 16,19.173285,8.211502,27.384787,1.238420,0,1,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
