Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_serial,1.067247,1.387801,2.455048,0,1,1,1,-1,10974,10974,219812,0,0
csr_omp -t bcsstk17,1.129935,1.377261,2.507196,0,1,1,1,1,10974,10974,219812,0,0
csr_omp -t bcsstk17,0.673412,1.380656,2.054068,0,1,1,1,2,10974,10974,219812,0,0
csr_omp -t bcsstk17,0.348270,1.389342,1.737612,0,1,1,1,4,10974,10974,219812,0,0
csr_omp -t bcsstk17,0.207486,1.375619,1.583105,0,1,1,1,8,10974,10974,219812,0,0
csr_omp -t bcsstk17,0.149392,1.372186,1.521578,0,1,1,1,16,10974,10974,219812,0,0
csr_omp -t bcsstk17,0.164558,1.476859,1.641417,0,1,1,1,32,10974,10974,219812,0,0
ell_serial,4.647604,1.522085,6.169689,0,1,1,1,-1,10974,10974,219812,108,20
ell_omp -t 1,5.098719,1.426998,6.525717,0,1,1,1,1,10974,10974,219812,108,20
ell_omp -t 2,2.603671,1.430363,4.034034,0,1,1,1,2,10974,10974,219812,108,20
ell_omp -t 4,1.327477,1.531796,2.859273,0,1,1,1,4,10974,10974,219812,108,20
ell_omp -t 8,0.697718,1.437810,2.135528,0,1,1,1,8,10974,10974,219812,108,20
ell_omp -t 16,0.433002,1.435679,1.868681,0,1,1,1,16,10974,10974,219812,108,20
ell_omp -t 32,0.292998,1.421761,1.714759,0,1,1,1,32,10974,10974,219812,108,20
