Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_omp -t rma10,61.499065,23.449576,84.948641,0,1,1,1,1,46835,46835,2374001,0,0
csr_omp -t rma10,35.023882,23.503414,58.527296,0,1,1,1,2,46835,46835,2374001,0,0
csr_omp -t rma10,27.795968,25.352020,53.147988,0,1,1,1,4,46835,46835,2374001,0,0
csr_omp -t rma10,19.070217,23.956511,43.026728,0,1,1,1,8,46835,46835,2374001,0,0
csr_omp -t rma10,16.331387,23.924204,40.255591,0,1,1,1,16,46835,46835,2374001,0,0
csr_omp -t rma10,15.778236,23.918435,39.696671,0,1,1,1,32,46835,46835,2374001,0,0
ell_omp -t 1,201.999663,23.990740,225.990403,0,1,1,1,1,46835,46835,2374001,145,50
ell_omp -t 2,149.678491,23.969243,173.647734,0,1,1,1,2,46835,46835,2374001,145,50
ell_omp -t 4,75.801371,24.394269,100.195640,0,1,1,1,4,46835,46835,2374001,145,50
ell_omp -t 8,40.641906,24.350416,64.992322,0,1,1,1,8,46835,46835,2374001,145,50
ell_omp -t 16,25.436512,24.367356,49.803868,0,1,1,1,16,46835,46835,2374001,145,50
ell_omp -t 32,21.752969,24.432360,46.185329,0,1,1,1,32,46835,46835,2374001,145,50
