Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial,0.007226,0.022311,0.029537,4.643576,0,1,1,1,-1,33554432,1024,1024,16384,16,16,0,0
csr_omp -t 1024x16,0.012573,0.025200,0.037773,2.668768,0,1,1,1,1,33554432,1024,1024,16384,16,16,0,0
csr_omp -t 1024x16,0.014341,0.021589,0.035930,2.339736,0,1,1,1,2,33554432,1024,1024,16384,16,16,0,0
csr_omp -t 1024x16,0.007892,0.026195,0.034087,4.251759,0,1,1,1,4,33554432,1024,1024,16384,16,16,0,0
csr_omp -t 1024x16,0.005988,0.020181,0.026169,5.603499,0,1,1,1,8,33554432,1024,1024,16384,16,16,0,0
csr_omp -t 1024x16,0.005697,0.020082,0.025779,5.889830,0,1,1,1,16,33554432,1024,1024,16384,16,16,0,0
csr_omp -t 1024x16,0.013178,0.020124,0.033302,2.546225,0,1,1,1,32,33554432,1024,1024,16384,16,16,0,0
csr_omp_gpu,0.118225,0.022890,0.141115,0.283819,0,1,1,1,-1,33554432,1024,1024,16384,16,16,0,0
bcsr_serial 1 x 1,0.004195,0.111969,0.116164,7.939160,121856,1,1,1,-1,33304576,1024,1024,16384,16,16,0,0
bcsr_serial 2 x 2,0.013451,0.114041,0.127492,9.672641,121856,1,2,2,-1,130105344,1024,1024,16384,16,16,0,0
bcsr_serial 4 x 4,0.045838,0.127406,0.173244,10.344844,121856,1,4,4,-1,474185728,1024,1024,16384,16,16,0,0
bcsr_serial 8 x 8,0.096615,0.145559,0.242174,14.071083,121856,1,8,8,-1,1359478784,1024,1024,16384,16,16,0,0
bcsr_serial 16 x 16,0.135704,0.133817,0.269521,15.565906,121856,1,16,16,-1,2112356352,1024,1024,16384,16,16,0,0
bcsr_serial 32 x 32,0.137886,0.091031,0.228917,15.574363,121856,1,32,32,-1,2147483648,1024,1024,16384,16,16,0,0
bcsr_omp 1 x 1 -t 1,0.009925,0.079281,0.089206,3.355662,121856,1,1,1,1,33304576,1024,1024,16384,16,16,0,0
bcsr_omp 1 x 1 -t 2,0.006240,0.069734,0.075974,5.337161,121856,1,1,1,2,33304576,1024,1024,16384,16,16,0,0
bcsr_omp 1 x 1 -t 4,0.006271,0.109847,0.116118,5.310783,121856,1,1,1,4,33304576,1024,1024,16384,16,16,0,0
bcsr_omp 1 x 1 -t 8,0.005629,0.109980,0.115609,5.916791,121856,1,1,1,8,33304576,1024,1024,16384,16,16,0,0
