Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp -t 1024x16,0.012573,0.025200,0.037773,2.668768,0,1,1,1,1,33554432,1024,1024,16384,16,16,0,0
csr_omp -t 1024x16,0.014341,0.021589,0.035930,2.339736,0,1,1,1,2,33554432,1024,1024,16384,16,16,0,0
csr_omp -t 1024x16,0.007892,0.026195,0.034087,4.251759,0,1,1,1,4,33554432,1024,1024,16384,16,16,0,0
csr_omp -t 1024x16,0.005988,0.020181,0.026169,5.603499,0,1,1,1,8,33554432,1024,1024,16384,16,16,0,0
csr_omp -t 1024x16,0.005697,0.020082,0.025779,5.889830,0,1,1,1,16,33554432,1024,1024,16384,16,16,0,0
csr_omp -t 1024x16,0.013178,0.020124,0.033302,2.546225,0,1,1,1,32,33554432,1024,1024,16384,16,16,0,0
csr_omp_gpu,0.118225,0.022890,0.141115,0.283819,0,1,1,1,-1,33554432,1024,1024,16384,16,16,0,0
ell_omp -t 1,0.014970,0.028003,0.042973,2.241435,0,1,1,1,1,33554432,1024,1024,16384,16,16,0,0
ell_omp -t 2,0.010442,0.027524,0.037966,3.213405,0,1,1,1,2,33554432,1024,1024,16384,16,16,0,0
ell_omp -t 4,0.008354,0.030405,0.038759,4.016595,0,1,1,1,4,33554432,1024,1024,16384,16,16,0,0
ell_omp -t 8,0.006480,0.029224,0.035704,5.178170,0,1,1,1,8,33554432,1024,1024,16384,16,16,0,0
ell_omp -t 16,0.005193,0.029362,0.034555,6.461183,0,1,1,1,16,33554432,1024,1024,16384,16,16,0,0
ell_omp -t 32,0.014097,0.027079,0.041176,2.380258,0,1,1,1,32,33554432,1024,1024,16384,16,16,0,0
ell_omp_gpu,0.130012,0.027524,0.157536,0.258087,0,1,1,1,-1,33554432,1024,1024,16384,16,16,0,0
