Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial,0.050214,0.144096,0.194310,5.345823,0,1,1,1,-1,268435456,512,512,262144,512,512,0,0
coo_omp -t 512x512,0.030701,0.098564,0.129265,8.743495,1024,1,1,1,1,268435456,512,512,262144,512,512,0,0
coo_omp -t 512x512,0.030675,0.093469,0.124144,8.750971,1024,1,1,1,2,268435456,512,512,262144,512,512,0,0
coo_omp -t 512x512,0.030674,0.092939,0.123613,8.751243,1028,1,1,1,4,268435456,512,512,262144,512,512,0,0
coo_omp -t 512x512,0.031117,0.093737,0.124854,8.626660,512,1,1,1,8,268435456,512,512,262144,512,512,0,0
coo_omp -t 512x512,0.023917,0.093308,0.117225,11.223645,524,1,1,1,16,268435456,512,512,262144,512,512,0,0
coo_omp -t 512x512,0.026047,0.092872,0.118919,10.305814,676,1,1,1,32,268435456,512,512,262144,512,512,0,0
coo_omp_gpu,0.085577,0.092560,0.178137,3.136771,262144,1,1,1,-1,268435456,512,512,262144,512,512,0,0
csr_serial,0.040599,0.098667,0.139266,6.611895,0,1,1,1,-1,268435456,512,512,262144,512,512,0,0
csr_omp -t 512x512,0.048948,0.094690,0.143638,5.484089,0,1,1,1,1,268435456,512,512,262144,512,512,0,0
csr_omp -t 512x512,0.030719,0.094259,0.124978,8.738406,0,1,1,1,2,268435456,512,512,262144,512,512,0,0
csr_omp -t 512x512,0.019144,0.098402,0.117546,14.021868,0,1,1,1,4,268435456,512,512,262144,512,512,0,0
csr_omp -t 512x512,0.014554,0.088884,0.103438,18.444072,0,1,1,1,8,268435456,512,512,262144,512,512,0,0
csr_omp -t 512x512,0.010600,0.098133,0.108733,25.324454,0,1,1,1,16,268435456,512,512,262144,512,512,0,0
csr_omp -t 512x512,0.016203,0.091697,0.107900,16.567097,0,1,1,1,32,268435456,512,512,262144,512,512,0,0
csr_omp_gpu,0.169212,0.092326,0.261538,1.586387,0,1,1,1,-1,268435456,512,512,262144,512,512,0,0
ell_serial,0.040660,0.115493,0.156153,6.601970,0,1,1,1,-1,268435456,512,512,262144,512,512,0,0
ell_omp -t 1,0.047265,0.112695,0.159960,5.679364,0,1,1,1,1,268435456,512,512,262144,512,512,0,0
ell_omp -t 2,0.030274,0.109392,0.139666,8.866890,0,1,1,1,2,268435456,512,512,262144,512,512,0,0
ell_omp -t 4,0.020053,0.103672,0.123725,13.386359,0,1,1,1,4,268435456,512,512,262144,512,512,0,0
ell_omp -t 8,0.015618,0.105907,0.121525,17.187737,0,1,1,1,8,268435456,512,512,262144,512,512,0,0
ell_omp -t 16,0.010363,0.151044,0.161407,25.903003,0,1,1,1,16,268435456,512,512,262144,512,512,0,0
ell_omp -t 32,0.015511,0.104583,0.120094,17.306095,0,1,1,1,32,268435456,512,512,262144,512,512,0,0
ell_omp_gpu,0.168482,0.144570,0.313052,1.593258,0,1,1,1,-1,268435456,512,512,262144,512,512,0,0
bcsr_serial 1 x 1,0.017951,0.233084,0.251035,14.953779,2048,1,1,1,-1,268435456,512,512,262144,512,512,0,0
bcsr_serial 2 x 2,0.017489,0.183836,0.201325,15.348646,2048,1,2,2,-1,268435456,512,512,262144,512,512,0,0
bcsr_serial 4 x 4,0.017238,0.171078,0.188316,15.572182,2048,1,4,4,-1,268435456,512,512,262144,512,512,0,0
bcsr_serial 8 x 8,0.017027,0.170217,0.187244,15.765153,2048,1,8,8,-1,268435456,512,512,262144,512,512,0,0
bcsr_serial 16 x 16,0.016931,0.173322,0.190253,15.854842,2048,1,16,16,-1,268435456,512,512,262144,512,512,0,0
bcsr_serial 32 x 32,0.016862,0.171585,0.188447,15.919630,2048,1,32,32,-1,268435456,512,512,262144,512,512,0,0
bcsr_omp 1 x 1 -t 1,0.023592,0.229306,0.252898,11.378243,2048,1,1,1,1,268435456,512,512,262144,512,512,0,0
bcsr_omp 1 x 1 -t 2,0.019799,0.227566,0.247365,13.558035,2048,1,1,1,2,268435456,512,512,262144,512,512,0,0
bcsr_omp 1 x 1 -t 4,0.016656,0.277264,0.293920,16.116517,2048,1,1,1,4,268435456,512,512,262144,512,512,0,0
bcsr_omp 1 x 1 -t 8,0.012165,0.264618,0.276783,22.066085,2048,1,1,1,8,268435456,512,512,262144,512,512,0,0
bcsr_omp 1 x 1 -t 16,0.008539,0.222219,0.230758,31.436546,2048,1,1,1,16,268435456,512,512,262144,512,512,0,0
bcsr_omp 1 x 1 -t 32,0.014216,0.220928,0.235144,18.882701,2048,1,1,1,32,268435456,512,512,262144,512,512,0,0
bcsr_omp 2 x 2 -t 1,0.031135,0.187958,0.219093,8.621706,2048,1,2,2,1,268435456,512,512,262144,512,512,0,0
bcsr_omp 2 x 2 -t 2,0.020008,0.186701,0.206709,13.416348,2048,1,2,2,2,268435456,512,512,262144,512,512,0,0
bcsr_omp 2 x 2 -t 4,0.016547,0.186310,0.202857,16.222640,2048,1,2,2,4,268435456,512,512,262144,512,512,0,0
bcsr_omp 2 x 2 -t 8,0.011834,0.185441,0.197275,22.683131,2048,1,2,2,8,268435456,512,512,262144,512,512,0,0
bcsr_omp 2 x 2 -t 16,0.008481,0.178168,0.186649,31.651296,2048,1,2,2,16,268435456,512,512,262144,512,512,0,0
bcsr_omp 2 x 2 -t 32,0.014703,0.180228,0.194931,18.257146,2048,1,2,2,32,268435456,512,512,262144,512,512,0,0
bcsr_omp 4 x 4 -t 1,0.026978,0.168549,0.195527,9.950156,2048,1,4,4,1,268435456,512,512,262144,512,512,0,0
bcsr_omp 4 x 4 -t 2,0.019393,0.171766,0.191159,13.841897,2048,1,4,4,2,268435456,512,512,262144,512,512,0,0
bcsr_omp 4 x 4 -t 4,0.016795,0.172468,0.189263,15.982907,2048,1,4,4,4,268435456,512,512,262144,512,512,0,0
bcsr_omp 4 x 4 -t 8,0.012082,0.167716,0.179798,22.218054,2048,1,4,4,8,268435456,512,512,262144,512,512,0,0
bcsr_omp 4 x 4 -t 16,0.008323,0.167578,0.175901,32.252425,2048,1,4,4,16,268435456,512,512,262144,512,512,0,0
bcsr_omp 4 x 4 -t 32,0.014999,0.169515,0.184514,17.896994,2048,1,4,4,32,268435456,512,512,262144,512,512,0,0
bcsr_omp 8 x 8 -t 1,0.031778,0.166598,0.198376,8.447185,2048,1,8,8,1,268435456,512,512,262144,512,512,0,0
bcsr_omp 8 x 8 -t 2,0.020233,0.169344,0.189577,13.267109,2048,1,8,8,2,268435456,512,512,262144,512,512,0,0
bcsr_omp 8 x 8 -t 4,0.016095,0.171978,0.188073,16.678022,2048,1,8,8,4,268435456,512,512,262144,512,512,0,0
bcsr_omp 8 x 8 -t 8,0.012017,0.165977,0.177994,22.337954,2048,1,8,8,8,268435456,512,512,262144,512,512,0,0
bcsr_omp 8 x 8 -t 16,0.008462,0.165122,0.173584,31.722639,2048,1,8,8,16,268435456,512,512,262144,512,512,0,0
bcsr_omp 8 x 8 -t 32,0.014895,0.166097,0.180992,18.021896,2048,1,8,8,32,268435456,512,512,262144,512,512,0,0
bcsr_omp 16 x 16 -t 1,0.026673,0.166810,0.193483,10.064000,2048,1,16,16,1,268435456,512,512,262144,512,512,0,0
bcsr_omp 16 x 16 -t 2,0.021594,0.170420,0.192014,12.431130,2048,1,16,16,2,268435456,512,512,262144,512,512,0,0
bcsr_omp 16 x 16 -t 4,0.015565,0.172676,0.188241,17.245920,2048,1,16,16,4,268435456,512,512,262144,512,512,0,0
bcsr_omp 16 x 16 -t 8,0.011803,0.174200,0.186003,22.743155,2048,1,16,16,8,268435456,512,512,262144,512,512,0,0
bcsr_omp 16 x 16 -t 16,0.008336,0.220341,0.228677,32.201691,2048,1,16,16,16,268435456,512,512,262144,512,512,0,0
bcsr_omp 16 x 16 -t 32,0.014325,0.211064,0.225389,18.739076,2048,1,16,16,32,268435456,512,512,262144,512,512,0,0
bcsr_omp 32 x 32 -t 1,0.030899,0.166046,0.196945,8.687566,2048,1,32,32,1,268435456,512,512,262144,512,512,0,0
bcsr_omp 32 x 32 -t 2,0.021811,0.168917,0.190728,12.307338,2048,1,32,32,2,268435456,512,512,262144,512,512,0,0
bcsr_omp 32 x 32 -t 4,0.017415,0.170695,0.188110,15.413996,2048,1,32,32,4,268435456,512,512,262144,512,512,0,0
bcsr_omp 32 x 32 -t 8,0.012125,0.207942,0.220067,22.138979,2048,1,32,32,8,268435456,512,512,262144,512,512,0,0
bcsr_omp 32 x 32 -t 16,0.008341,0.170011,0.178352,32.183281,2048,1,32,32,16,268435456,512,512,262144,512,512,0,0
bcsr_omp 32 x 32 -t 32,0.013260,0.173726,0.186986,20.244173,2048,1,32,32,32,268435456,512,512,262144,512,512,0,0
bcsr_omp_gpu 1 x 1,0.215473,0.238546,0.454019,1.245797,2048,1,1,1,-1,268435456,512,512,262144,512,512,0,0
bcsr_omp_gpu 2 x 2,0.297614,0.189486,0.487100,0.901958,2048,1,2,2,-1,268435456,512,512,262144,512,512,0,0
bcsr_omp_gpu 4 x 4,0.510676,0.203858,0.714534,0.525647,2048,1,4,4,-1,268435456,512,512,262144,512,512,0,0
bcsr_omp_gpu 8 x 8,0.555903,0.172053,0.727956,0.482882,2048,1,8,8,-1,268435456,512,512,262144,512,512,0,0
bcsr_omp_gpu 16 x 16,0.824229,0.174560,0.998789,0.325681,2048,1,16,16,-1,268435456,512,512,262144,512,512,0,0
bcsr_omp_gpu 32 x 32,1.316624,0.215430,1.532054,0.203882,2048,1,32,32,-1,268435456,512,512,262144,512,512,0,0
