Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp -t bcsstk17,1.131185,1.369836,2.501021,4.264938,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,0.629523,1.375009,2.004532,7.663633,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,0.349434,1.479092,1.828526,13.806427,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,0.210170,1.378784,1.588954,22.954908,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,0.148126,1.373143,1.521269,32.569770,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,0.168201,1.372032,1.540233,28.682556,0,1,1,1,32,4824433776,10974,10974,219812,108,20,79,8
csr_omp_gpu,1.752926,1.403730,3.156656,2.752217,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 1,0.504057,8.824288,9.328345,9.571208,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 2,0.335070,8.900011,9.235081,14.398281,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 4,0.164554,8.855369,9.019923,29.318262,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 8,0.101376,8.869660,8.971036,47.589480,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 16,0.057971,9.449863,9.507834,83.221502,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 1 x 1 -t 32,0.067590,8.990855,9.058445,71.377924,0,1,1,1,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 1,0.569986,8.872056,9.442042,10.080770,0,1,2,2,1,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 2,0.306256,8.809271,9.115527,18.761747,0,1,2,2,2,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 4,0.172056,8.909033,9.081089,33.395522,0,1,2,2,4,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 8,0.113559,8.825154,8.938713,50.598352,0,1,2,2,8,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 16,0.065448,8.823739,8.889187,87.793280,0,1,2,2,16,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp 2 x 2 -t 32,0.065878,8.725873,8.791751,87.220409,0,1,2,2,32,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp 4 x 4 -t 1,0.775182,9.340658,10.115840,10.919440,0,1,4,4,1,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp 4 x 4 -t 2,0.414297,9.217709,9.632006,20.431119,0,1,4,4,2,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp 4 x 4 -t 4,0.237594,9.543765,9.781359,35.626106,0,1,4,4,4,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp 4 x 4 -t 8,0.142953,9.449752,9.592705,59.212177,0,1,4,4,8,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp 4 x 4 -t 16,0.083916,9.576961,9.660877,100.869425,0,1,4,4,16,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp 4 x 4 -t 32,0.068404,9.413104,9.481508,123.743619,0,1,4,4,32,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp 8 x 8 -t 1,1.165741,9.074059,10.239800,11.559188,0,1,8,8,1,13475018496,10974,10974,219812,108,20,79,8
bcsr_omp 8 x 8 -t 2,0.671043,8.994718,9.665761,20.080703,0,1,8,8,2,13475018496,10974,10974,219812,108,20,79,8
bcsr_omp 8 x 8 -t 4,0.350747,8.966532,9.317279,38.418072,0,1,8,8,4,13475018496,10974,10974,219812,108,20,79,8
bcsr_omp 8 x 8 -t 8,0.209318,9.126420,9.335738,64.375847,0,1,8,8,8,13475018496,10974,10974,219812,108,20,79,8
bcsr_omp 8 x 8 -t 16,0.126074,9.030888,9.156962,106.881755,0,1,8,8,16,13475018496,10974,10974,219812,108,20,79,8
bcsr_omp 8 x 8 -t 32,0.085349,8.958296,9.043645,157.881675,0,1,8,8,32,13475018496,10974,10974,219812,108,20,79,8
bcsr_omp 16 x 16 -t 1,1.971003,8.917079,10.888082,12.046950,0,1,16,16,1,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp 16 x 16 -t 2,1.065194,9.019111,10.084305,22.291318,0,1,16,16,2,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp 16 x 16 -t 4,0.590006,8.904910,9.494916,40.244626,0,1,16,16,4,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp 16 x 16 -t 8,0.324504,8.846531,9.171035,73.171927,0,1,16,16,8,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp 16 x 16 -t 16,0.211832,8.864032,9.075864,112.091517,0,1,16,16,16,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp 16 x 16 -t 32,0.131493,9.155280,9.286773,180.576601,0,1,16,16,32,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp 32 x 32 -t 1,3.508847,8.860625,12.369472,12.464456,0,1,32,32,1,43735867392,10974,10974,219812,108,20,79,8
bcsr_omp 32 x 32 -t 2,1.807471,8.970253,10.777724,24.197271,0,1,32,32,2,43735867392,10974,10974,219812,108,20,79,8
bcsr_omp 32 x 32 -t 4,1.107463,8.899069,10.006532,39.491949,0,1,32,32,4,43735867392,10974,10974,219812,108,20,79,8
bcsr_omp 32 x 32 -t 8,0.579625,8.811253,9.390878,75.455437,0,1,32,32,8,43735867392,10974,10974,219812,108,20,79,8
bcsr_omp 32 x 32 -t 16,0.383791,8.946485,9.330276,113.957521,0,1,32,32,16,43735867392,10974,10974,219812,108,20,79,8
bcsr_omp 32 x 32 -t 32,0.232954,8.780533,9.013487,187.744630,0,1,32,32,32,43735867392,10974,10974,219812,108,20,79,8
bcsr_omp_gpu 1 x 1,1.891604,9.015682,10.907286,2.550446,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_gpu 2 x 2,2.175398,8.737308,10.912706,2.641309,0,1,2,2,-1,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp_gpu 4 x 4,3.023948,9.059462,12.083410,2.799173,0,1,4,4,-1,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp_gpu 8 x 8,5.406825,8.845177,14.252002,2.492224,0,1,8,8,-1,13475018496,10974,10974,219812,108,20,79,8
bcsr_omp_gpu 16 x 16,14.448689,8.779847,23.228536,1.643372,0,1,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp_gpu 32 x 32,44.712292,8.723609,53.435901,0.978162,0,1,32,32,-1,43735867392,10974,10974,219812,108,20,79,8
