Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp -t cant,74.010208,40.722165,114.732373,3.434191,0,1,1,1,1,254165203134,62451,62451,2034917,40,32,54,7
csr_omp -t cant,43.105532,40.637322,83.742854,5.896348,0,1,1,1,2,254165203134,62451,62451,2034917,40,32,54,7
csr_omp -t cant,30.288182,43.944958,74.233140,8.391564,0,1,1,1,4,254165203134,62451,62451,2034917,40,32,54,7
csr_omp -t cant,20.332933,41.146994,61.479927,12.500174,0,1,1,1,8,254165203134,62451,62451,2034917,40,32,54,7
csr_omp -t cant,17.844655,41.297074,59.141729,14.243212,0,1,1,1,16,254165203134,62451,62451,2034917,40,32,54,7
csr_omp -t cant,18.144190,41.204167,59.348357,14.008077,0,1,1,1,32,254165203134,62451,62451,2034917,40,32,54,7
csr_omp_gpu,ell_serial,84.449323,40.946216,125.395539,3.694644,0,1,1,1,-1,312010192080,62451,62451,2034917,40,32,54,7
ell_omp -t 1,89.941779,41.091138,131.032917,3.469024,0,1,1,1,1,312010192080,62451,62451,2034917,40,32,54,7
ell_omp -t 2,53.901975,41.003435,94.905410,5.788474,0,1,1,1,2,312010192080,62451,62451,2034917,40,32,54,7
ell_omp -t 4,38.181961,41.760176,79.942137,8.171665,0,1,1,1,4,312010192080,62451,62451,2034917,40,32,54,7
ell_omp -t 8,23.174064,41.487122,64.661186,13.463767,0,1,1,1,8,312010192080,62451,62451,2034917,40,32,54,7
ell_omp -t 16,19.276665,41.662189,60.938854,16.185901,0,1,1,1,16,312010192080,62451,62451,2034917,40,32,54,7
ell_omp -t 32,19.014860,41.539621,60.554481,16.408756,0,1,1,1,32,312010192080,62451,62451,2034917,40,32,54,7
ell_omp_gpu,bcsr_serial 1 x 1,22.032226,332.172490,354.204716,11.536065,0,1,1,1,-1,254165203134,62451,62451,2034917,40,32,54,7
