Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_transpose_omp_O2,0.379256,0.327262,0.706518,0.018647,0,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O2,0.371423,0.268708,0.640131,0.018978,0,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O2,0.409311,0.256436,0.665747,0.017225,0,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O2,0.371366,0.238763,0.610129,0.018953,0,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O2,0.365352,0.257607,0.622959,0.019261,0,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O2,0.421371,0.258522,0.679893,0.016768,0,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O2,0.365365,0.230287,0.595652,0.019259,0,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O2,0.367975,0.259336,0.627311,0.019133,0,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O2,0.417810,0.290481,0.708291,0.016913,0,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_transpose_omp_O2,0.104502,0.327109,0.431611,48.013365,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O2,0.941026,0.308548,1.249574,5.129310,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O2,0.099558,0.287249,0.386807,49.698465,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O2,0.137539,0.235250,0.372789,35.436885,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O2,0.553299,0.236587,0.789886,8.719920,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O2,0.135156,0.270113,0.405269,35.762187,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O2,0.206438,0.232752,0.439191,23.567940,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O2,0.426570,0.227841,0.654411,11.329152,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O2,0.239664,0.312541,0.552205,20.311122,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
ell_transpose_omp_O2,0.385715,0.352077,0.737792,67.473012,0,10,1,1,16,8,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_collapse_O2,0.390016,0.356698,0.746714,66.809982,0,10,1,1,16,8,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_omp_O2,0.099325,0.349719,0.449044,269.780838,0,10,1,1,16,8,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_O2,0.376745,0.306502,0.683247,69.060283,0,10,1,1,16,16,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_collapse_O2,0.382060,0.345689,0.727749,68.100940,0,10,1,1,16,16,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_omp_O2,0.138545,0.354467,0.493012,190.185161,0,10,1,1,16,16,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_O2,0.375963,0.252232,0.628195,69.227670,0,10,1,1,16,32,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_collapse_O2,0.379736,0.341089,0.720825,68.533492,0,10,1,1,16,32,26012594016,10974,10974,219812,108,20,79,8
ell_transpose_omp_omp_O2,0.201730,0.324243,0.525973,130.733939,0,10,1,1,16,32,26012594016,10974,10974,219812,108,20,79,8
Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsr_transpose_omp_O2,0.377771,7.477800,7.855571,12.799145,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_collapse_O2,2.212589,7.389496,9.602085,2.180473,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.100752,7.396336,7.497088,50.242123,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,0.372980,7.319426,7.692406,12.948403,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_collapse_O2,1.354180,7.363046,8.717226,3.562890,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.141931,7.406913,7.548844,34.757265,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,0.373323,7.351114,7.724437,12.942631,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_collapse_O2,0.923585,7.385149,8.308734,5.225547,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.215887,7.383218,7.599105,22.613916,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,0.379770,7.222126,7.601897,15.141184,0,10,2,2,16,8,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_collapse_O2,1.552772,7.282272,8.835044,3.700574,0,10,2,2,16,8,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.102826,7.331300,7.434126,57.391594,0,10,2,2,16,8,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,0.376260,7.261202,7.637462,15.293944,0,10,2,2,16,16,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_collapse_O2,1.020688,7.240454,8.261142,5.629895,0,10,2,2,16,16,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.143716,7.167181,7.310897,40.466597,0,10,2,2,16,16,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,0.379697,7.299086,7.678783,15.160771,0,10,2,2,16,32,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_collapse_O2,0.761663,7.296264,8.057927,7.546511,0,10,2,2,16,32,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.207333,7.311459,7.518792,27.999715,0,10,2,2,16,32,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,0.376240,7.275349,7.651590,22.509883,0,10,4,4,16,8,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_collapse_O2,1.233097,7.268206,8.501303,6.865005,0,10,4,4,16,8,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.104709,7.291326,7.396035,84.720977,0,10,4,4,16,8,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,0.377212,7.261092,7.638304,22.465091,0,10,4,4,16,16,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_collapse_O2,0.870724,7.207300,8.078024,9.723230,0,10,4,4,16,16,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.142858,7.159990,7.302848,60.143076,0,10,4,4,16,16,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,0.373665,7.158660,7.532325,22.669518,0,10,4,4,16,32,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_collapse_O2,0.687082,7.200216,7.887298,12.324802,0,10,4,4,16,32,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.211287,7.146555,7.357842,40.549801,0,10,4,4,16,32,8464553472,10974,10974,219812,108,20,79,8
