Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_O2,0.001648,0.202553,0.204201,97.001409,0,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
csr_omp_O2,0.001233,0.206274,0.207507,23884.852677,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
ell_omp_O2,0.00333,0.25406,0.25739,35788.081978,0,10,1,1,16,32,26012594016,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.002118,7.42842,7.430538,30662.614693,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.002387,7.431258,7.433645,30978.833002,0,10,2,2,16,32,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.003052,7.420073,7.423125,37449.204574,0,10,4,4,16,32,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.004278,7.321174,7.325452,34166.726251,0,10,16,16,16,32,23744575488,10974,10974,219812,108,20,79,8
bell_omp_O2,0.002781,0.265378,0.268159,37.120858,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.002222,0.337756,0.339978,34.832875,113065,10,2,2,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.00167,0.308655,0.310325,39.799559,113065,10,4,4,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.001814,0.343106,0.34492,29.18709,113065,10,16,16,16,32,7033984,10974,10974,219812,108,20,79,8
