Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
COO,0.001264,0.309373,0.310637,5.59296,0,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
CSR,0.001421,0.316213,0.317634,3411.199223,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
ELL,0.007217,0.250017,0.257234,3608.47427,0,10,1,1,16,-1,26012594016,10974,10974,219812,108,20,79,8
BCSR 1x1,0.00244,7.524237,7.526677,1982.824424,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
BCSR 2x2,0.00227,7.485746,7.488015,2540.173156,0,10,2,2,16,-1,5745898608,10974,10974,219812,108,20,79,8
BCSR 4x4,0.002967,7.420726,7.423693,2857.302181,0,10,4,4,16,-1,8464553472,10974,10974,219812,108,20,79,8
BCSR 16x16,0.007404,7.432081,7.439485,3209.504711,0,10,16,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
BELL 1x1,0.00127,0.339567,0.340837,5.570341,113065,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
BELL 2x2,0.001397,0.343552,0.344949,5.06507,113065,10,2,2,16,-1,7033984,10974,10974,219812,108,20,79,8
BELL 4x4,0.001503,0.353359,0.354862,4.706781,113065,10,4,4,16,-1,7033984,10974,10974,219812,108,20,79,8
BELL 16x16,0.001694,0.346776,0.34847,4.180295,113065,10,16,16,16,-1,7033984,10974,10974,219812,108,20,79,8
