Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_transpose_omp_O2,41.796543,5.309423,47.105966,0.001558,0,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
coo_transpose_omp_collapse_O2,42.980456,5.510754,48.491210,0.001515,0,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
coo_transpose_omp_omp_O2,5.142779,5.574945,10.717724,0.012664,0,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
coo_transpose_omp_O2,41.959398,5.570170,47.529568,0.001552,0,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
coo_transpose_omp_collapse_O2,42.071764,5.572016,47.643780,0.001548,0,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
coo_transpose_omp_omp_O2,5.151131,5.602387,10.753518,0.012642,0,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
coo_transpose_omp_O2,42.006599,5.623594,47.630193,0.001550,0,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
coo_transpose_omp_collapse_O2,42.164741,5.566771,47.731512,0.001545,0,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
coo_transpose_omp_omp_O2,5.151134,5.606948,10.758082,0.012642,0,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_transpose_omp_O2,7.573125,5.378357,12.951482,33.579174,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
csr_transpose_omp_collapse_O2,56.461685,5.467422,61.929107,4.501700,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
csr_transpose_omp_omp_O2,7.726415,5.481769,13.208184,32.922493,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
csr_transpose_omp_O2,4.261611,5.520046,9.781657,59.682027,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
csr_transpose_omp_collapse_O2,28.639894,5.498233,34.138127,8.874920,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
csr_transpose_omp_omp_O2,4.224073,5.528822,9.752895,60.301891,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
csr_transpose_omp_O2,3.728520,5.453721,9.182241,68.181725,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
csr_transpose_omp_collapse_O2,16.012359,5.519226,21.531585,15.874167,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
csr_transpose_omp_omp_O2,3.725108,5.507348,9.232456,68.243993,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
ell_transpose_omp_O2,41.842743,5.673001,47.515744,7.456813,0,10,1,1,16,8,312010192080,62451,62451,2034917,40,32,54,7
ell_transpose_omp_collapse_O2,43.089482,5.678448,48.767930,7.241270,0,10,1,1,16,8,312010192080,62451,62451,2034917,40,32,54,7
ell_transpose_omp_omp_O2,6.792192,5.703425,12.495617,45.943643,0,10,1,1,16,8,312010192080,62451,62451,2034917,40,32,54,7
ell_transpose_omp_O2,41.954857,5.732085,47.686942,7.436891,0,10,1,1,16,16,312010192080,62451,62451,2034917,40,32,54,7
ell_transpose_omp_collapse_O2,43.141378,5.696684,48.838062,7.232694,0,10,1,1,16,16,312010192080,62451,62451,2034917,40,32,54,7
ell_transpose_omp_omp_O2,4.084130,5.711078,9.795208,76.564380,0,10,1,1,16,16,312010192080,62451,62451,2034917,40,32,54,7
ell_transpose_omp_O2,41.849635,5.689452,47.539087,7.455676,0,10,1,1,16,32,312010192080,62451,62451,2034917,40,32,54,7
ell_transpose_omp_collapse_O2,41.752820,5.687391,47.440211,7.472941,0,10,1,1,16,32,312010192080,62451,62451,2034917,40,32,54,7
ell_transpose_omp_omp_O2,3.747530,5.715279,9.462809,83.272026,0,10,1,1,16,32,312010192080,62451,62451,2034917,40,32,54,7
Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsr_transpose_omp_O2,41.985835,279.099605,321.085440,6.054637,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,138.234440,279.913767,418.148207,1.838840,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,6.883214,280.234277,287.117491,36.980655,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,41.994126,280.837771,322.831897,6.053357,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,91.732517,278.709802,370.442319,2.770735,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,4.140333,278.002813,282.143146,61.569802,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,43.686668,279.261318,322.947986,5.818311,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,68.378067,285.422330,353.800397,3.719737,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,3.698188,285.183950,288.882138,68.728635,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,43.331875,283.847132,327.179007,7.901542,0,10,2,2,16,8,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,107.038121,286.520058,393.558179,3.199372,0,10,2,2,16,8,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,7.554966,284.643853,292.198819,45.425220,0,10,2,2,16,8,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,42.610889,286.912127,329.523016,8.038943,0,10,2,2,16,16,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,74.535512,285.435099,359.970612,4.595952,0,10,2,2,16,16,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,4.239234,285.165675,289.404909,80.880352,0,10,2,2,16,16,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,43.151036,285.163943,328.314979,7.944604,0,10,2,2,16,32,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,57.915115,285.189285,343.104400,5.911950,0,10,2,2,16,32,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,3.683057,283.639411,287.322467,92.964155,0,10,2,2,16,32,342384859656,62451,62451,2034917,40,32,54,7
