Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_transpose_omp_O2,10.788858,2.424874,13.213732,0.006499,0,10,1,1,16,8,70098912,36417,36417,2190591,184,60,753,27
coo_transpose_omp_collapse_O2,10.744144,2.431742,13.175886,0.006527,0,10,1,1,16,8,70098912,36417,36417,2190591,184,60,753,27
coo_transpose_omp_omp_O2,2.452543,2.428488,4.881031,0.028591,0,10,1,1,16,8,70098912,36417,36417,2190591,184,60,753,27
coo_transpose_omp_O2,10.983114,2.452727,13.435841,0.006384,0,10,1,1,16,16,70098912,36417,36417,2190591,184,60,753,27
coo_transpose_omp_collapse_O2,10.718964,2.436926,13.155890,0.006540,0,10,1,1,16,16,70098912,36417,36417,2190591,184,60,753,27
coo_transpose_omp_omp_O2,2.453160,2.462206,4.915366,0.028583,0,10,1,1,16,16,70098912,36417,36417,2190591,184,60,753,27
coo_transpose_omp_O2,10.692284,2.434843,13.127127,0.006557,0,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
coo_transpose_omp_collapse_O2,11.003810,2.497288,13.501098,0.006371,0,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
coo_transpose_omp_omp_O2,2.454654,2.414423,4.869077,0.028568,0,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_transpose_omp_O2,1.723190,2.401642,4.124832,92.930802,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
csr_transpose_omp_collapse_O2,29.342586,2.429013,31.771599,5.437536,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
csr_transpose_omp_omp_O2,1.731462,2.401338,4.132799,92.277904,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
csr_transpose_omp_O2,1.133722,2.405524,3.539246,140.840222,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
csr_transpose_omp_collapse_O2,15.115736,2.415488,17.531224,10.555227,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
csr_transpose_omp_omp_O2,1.122789,2.421931,3.544720,142.322306,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
csr_transpose_omp_O2,1.212672,2.410334,3.623006,131.686456,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
csr_transpose_omp_collapse_O2,8.203877,2.415313,10.619190,19.448398,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
csr_transpose_omp_omp_O2,1.191617,2.458044,3.649661,134.051189,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
ell_transpose_omp_O2,11.065021,2.701675,13.766696,44.112163,0,10,1,1,16,8,488040823152,36417,36417,2190591,184,60,753,27
ell_transpose_omp_collapse_O2,10.756005,2.690297,13.446302,45.375839,0,10,1,1,16,8,488040823152,36417,36417,2190591,184,60,753,27
ell_transpose_omp_omp_O2,1.757649,2.733602,4.491251,277.769220,0,10,1,1,16,8,488040823152,36417,36417,2190591,184,60,753,27
ell_transpose_omp_O2,11.068833,2.736565,13.805398,44.098610,0,10,1,1,16,16,488040823152,36417,36417,2190591,184,60,753,27
ell_transpose_omp_collapse_O2,11.004035,2.683516,13.687552,44.355385,0,10,1,1,16,16,488040823152,36417,36417,2190591,184,60,753,27
