Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial_O2,0.015045,2.391386,2.406431,10609.759114,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
bell_serial_O2,0.013574,2.59968,2.613254,5.167432,2141161,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
bell_serial_O2,0.015266,2.597789,2.613055,4.597071,2141161,10,2,2,16,-1,70098912,36417,36417,2190591,184,60,753,27
bell_serial_O2,0.016185,2.600598,2.616783,4.334786,2141161,10,4,4,16,-1,70098912,36417,36417,2190591,184,60,753,27
bell_serial_O2,0.018421,2.5869,2.605321,3.807969,2141161,10,16,16,16,-1,70098912,36417,36417,2190591,184,60,753,27
csr_omp_O2,0.010977,2.336066,2.347043,48923.473752,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
csr_omp_O2,0.008398,2.324732,2.33313,89627.950996,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
csr_omp_O2,0.009007,2.307775,2.316782,143676.910467,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.009977,2.629982,2.639959,26.790354,2141161,10,1,1,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.007779,2.620755,2.628534,49.859043,2141161,10,1,1,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.008439,2.632175,2.640614,75.136895,2141161,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.008665,2.625964,2.63463,23.78586,2141161,10,2,2,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.007843,2.618925,2.626768,44.486025,2141161,10,2,2,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.007321,2.595651,2.602972,68.450394,2141161,10,2,2,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.009568,2.64406,2.653628,21.814951,2141161,10,4,4,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.009841,2.648827,2.658668,37.461881,2141161,10,4,4,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.008265,2.630718,2.638983,60.780368,2141161,10,4,4,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.01074,2.625738,2.636478,19.291067,2141161,10,16,16,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.008108,2.635087,2.643195,35.796101,2141161,10,16,16,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.00878,2.637773,2.646553,51.49741,2141161,10,16,16,16,32,70098912,36417,36417,2190591,184,60,753,27
