Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,386282732.764935,386.282733,0.386283,85886,0.000851,0.051553,0.052404,0,10,2,2,16,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,272892029.803858,272.892030,0.272892,85886,0.000880,0.049318,0.050198,0,10,4,4,16,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,110863124.661022,110.863125,0.110863,85886,0.001341,0.054388,0.055729,0,10,16,16,16,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,186447013.838707,186.447014,0.186447,85886,0.001047,0.048182,0.049229,0,10,2,2,64,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,117820554.905215,117.820555,0.117821,85886,0.001274,0.048830,0.050104,0,10,4,4,64,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,46158101.143578,46.158101,0.046158,85886,0.002343,0.053695,0.056038,0,10,16,16,64,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,110686631.844805,110.686632,0.110687,85886,0.001410,0.045375,0.046785,0,10,2,2,128,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,70977799.159878,70.977799,0.070978,85886,0.001836,0.050039,0.051875,0,10,4,4,128,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,27206768.800787,27.206769,0.027207,85886,0.003649,0.055029,0.058678,0,10,16,16,128,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,343947244.144794,343.947244,0.343947,85886,0.001638,0.045649,0.047287,0,10,2,2,16,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,398125542.035379,398.125542,0.398126,85886,0.001578,0.045530,0.047108,0,10,4,4,16,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,267024931.348034,267.024931,0.267025,85886,0.001315,0.057420,0.058735,0,10,16,16,16,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,238909817.329238,238.909817,0.238910,85886,0.001443,0.049102,0.050545,0,10,2,2,64,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,162431777.853248,162.431778,0.162432,85886,0.001348,0.050035,0.051383,0,10,4,4,64,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,94437134.347671,94.437134,0.094437,85886,0.001909,0.059173,0.061081,0,10,16,16,64,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,178929313.901359,178.929314,0.178929,85886,0.001820,0.045344,0.047164,0,10,2,2,128,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,136440377.700526,136.440378,0.136440,85886,0.001918,0.047186,0.049104,0,10,4,4,128,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,48256799.426291,48.256799,0.048257,85886,0.002834,0.055196,0.058030,0,10,16,16,128,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,320254285.314692,320.254285,0.320254,85886,0.003245,0.050751,0.053996,0,10,2,2,16,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,251164266.358233,251.164266,0.251164,85886,0.003295,0.049450,0.052745,0,10,4,4,16,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,104606659.398152,104.606659,0.104607,85886,0.003717,0.051979,0.055696,0,10,16,16,16,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,213166805.007157,213.166805,0.213167,85886,0.004537,0.047253,0.051790,0,10,2,2,64,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,124139660.137323,124.139660,0.124140,85886,0.003697,0.049663,0.053360,0,10,4,4,64,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,48221602.778445,48.221603,0.048222,85886,0.005356,0.052125,0.057480,0,10,16,16,64,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,219382309.892385,219.382310,0.219382,85886,0.001848,0.047958,0.049806,0,10,2,2,128,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,100749660.605836,100.749661,0.100750,85886,0.004050,0.049738,0.053788,0,10,4,4,128,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,65414863.766179,65.414864,0.065415,85886,0.003053,0.062229,0.065282,0,10,16,16,128,32,2003,2003,42943,85886,84,21,4.000000,197,14
