Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,1341636561.111310,1341.636561,1.341637,523592,0.001919,0.291628,0.293547,16,10,2,2,16,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,1048281419.480459,1048.281419,1.048281,771328,0.002290,0.287112,0.289402,16,10,4,4,16,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,1180973009.157412,1180.973009,1.180973,2163712,0.004982,0.252729,0.257711,16,10,16,16,16,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,402594198.920224,402.594199,0.402594,523592,0.003642,0.238633,0.242275,64,10,2,2,64,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,618283448.047248,618.283448,0.618283,771328,0.003690,0.242192,0.245882,64,10,4,4,64,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,532574839.681792,532.574840,0.532575,2163712,0.007760,0.345325,0.353085,64,10,16,16,64,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,319318717.491027,319.318717,0.319319,523592,0.004563,0.249607,0.254170,128,10,2,2,128,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,298103667.943252,298.103668,0.298104,771328,0.005797,0.249041,0.254838,128,10,4,4,128,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,361949453.466201,361.949453,0.361949,2163712,0.009980,0.257145,0.267125,128,10,16,16,128,8,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,1486289088.645338,1486.289089,1.486289,523592,0.001502,0.340790,0.342292,16,10,2,2,16,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,2553494559.604275,2553.494560,2.553495,771328,0.001693,0.243868,0.245561,16,10,4,4,16,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,1934791780.057426,1934.791780,1.934792,2163712,0.003198,0.327603,0.330801,16,10,16,16,16,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,716843369.335457,716.843369,0.716843,523592,0.002730,0.310195,0.312925,64,10,2,2,64,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,724239558.620481,724.239559,0.724240,771328,0.003588,0.249470,0.253058,64,10,4,4,64,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,900893113.569944,900.893114,0.900893,2163712,0.006136,0.359525,0.365661,64,10,16,16,64,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,501444337.037405,501.444337,0.501444,523592,0.002810,0.262964,0.265774,128,10,2,2,128,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,449224209.744857,449.224210,0.449224,771328,0.003860,0.255882,0.259742,128,10,4,4,128,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,738876923.081053,738.876923,0.738877,2163712,0.003813,0.288787,0.292600,128,10,16,16,128,16,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,4304860616.524145,4304.860617,4.304861,523592,0.002446,0.345039,0.347485,16,10,2,2,16,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,4348768781.955436,4348.768782,4.348769,771328,0.002264,0.327672,0.329936,16,10,4,4,16,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,3604869188.781850,3604.869189,3.604869,2163712,0.001922,0.324135,0.326057,16,10,16,16,16,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,1367796855.511237,1367.796856,1.367797,523592,0.001511,0.274071,0.275582,64,10,2,2,64,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,1461433557.221261,1461.433557,1.461434,771328,0.002128,0.346992,0.349120,64,10,4,4,64,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,1601064952.190381,1601.064952,1.601065,2163712,0.003283,0.279493,0.282776,64,10,16,16,64,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,1066781062.331434,1066.781062,1.066781,523592,0.001353,0.276278,0.277631,128,10,2,2,128,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,993674241.100772,993.674241,0.993674,771328,0.002633,0.244156,0.246788,128,10,4,4,128,32,10974,10974,219812,439624,108,20,5.000000,79,8
BCSR OMP,O2,1011210867.260054,1011.210867,1.011211,2163712,0.004685,0.255443,0.260128,128,10,16,16,128,32,10974,10974,219812,439624,108,20,5.000000,79,8
