Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,50307128.344760,50.307128,0.050307,902400,0.018233,8.210525,8.228758,0,10,2,2,16,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,74179474.240080,74.179474,0.074179,1638400,0.022455,8.197089,8.219544,0,10,4,4,16,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,155383822.192516,155.383822,0.155384,6553600,0.042478,8.256529,8.299007,0,10,16,16,16,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,31116822.663326,31.116823,0.031117,902400,0.029231,8.187208,8.216439,0,10,2,2,64,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,45160767.161281,45.160767,0.045161,1638400,0.036655,8.165002,8.201657,0,10,4,4,64,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,97486160.347960,97.486160,0.097486,6553600,0.067498,8.413217,8.480715,0,10,16,16,64,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,24854841.863699,24.854842,0.024855,902400,0.036978,8.181472,8.218450,0,10,2,2,128,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,36159005.456489,36.159005,0.036159,1638400,0.045887,8.168898,8.214785,0,10,4,4,128,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,78993080.065030,78.993080,0.078993,6553600,0.083241,8.235794,8.319035,0,10,16,16,128,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,90186328.524935,90.186329,0.090186,902400,0.010865,8.162929,8.173794,0,10,2,2,16,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,103215319.019607,103.215319,0.103215,1638400,0.016715,8.260034,8.276749,0,10,4,4,16,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,209225076.636330,209.225077,0.209225,6553600,0.031952,8.314552,8.346504,0,10,16,16,16,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,43373312.073979,43.373312,0.043373,902400,0.021758,8.292459,8.314217,0,10,2,2,64,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,63252327.853043,63.252328,0.063252,1638400,0.026780,8.306578,8.333358,0,10,4,4,64,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,124736167.198972,124.736167,0.124736,6553600,0.053066,8.345824,8.398890,0,10,16,16,64,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,32189116.828020,32.189117,0.032189,902400,0.028807,8.316482,8.345290,0,10,2,2,128,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,47113496.824439,47.113497,0.047113,1638400,0.035684,8.256407,8.292091,0,10,4,4,128,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,104104233.330567,104.104233,0.104104,6553600,0.063527,8.359084,8.422610,0,10,16,16,128,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,126383409.316717,126.383409,0.126383,902400,0.009514,8.289885,8.299399,0,10,2,2,16,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,159176244.715507,159.176245,0.159176,1638400,0.012505,8.268492,8.280997,0,10,4,4,16,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,259653888.206789,259.653888,0.259654,6553600,0.026987,8.329971,8.356958,0,10,16,16,16,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,60763254.723495,60.763255,0.060763,902400,0.016861,8.281525,8.298386,0,10,2,2,64,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,80104326.080031,80.104326,0.080104,1638400,0.022330,8.332877,8.355207,0,10,4,4,64,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,163680936.457328,163.680936,0.163681,6553600,0.041676,8.313575,8.355251,0,10,16,16,64,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,40537085.229750,40.537085,0.040537,902400,0.023855,8.290407,8.314262,0,10,2,2,128,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,59721698.533698,59.721699,0.059722,1638400,0.028601,8.332167,8.360769,0,10,4,4,128,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,131636232.214814,131.636232,0.131636,6553600,0.051042,8.374366,8.425408,0,10,16,16,128,32,81920,81920,204800,409600,4,2,2.000000,0,0
