Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,202757136.725568,202.757137,0.202757,14212696,0.072204,7.494500,7.566704,32,10,2,2,16,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,151755140.313109,151.755140,0.151755,14212696,0.094747,7.529787,7.624534,32,10,4,4,16,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,91825825.054040,91.825825,0.091826,14212696,0.155255,8.039787,8.195042,32,10,16,16,16,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,117522627.118608,117.522627,0.117523,14212696,0.122013,7.491528,7.613541,128,10,2,2,64,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,92141362.496873,92.141362,0.092141,14212696,0.156304,7.628324,7.784628,128,10,4,4,64,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,47001317.152468,47.001317,0.047001,14212696,0.303366,8.118604,8.421970,128,10,16,16,64,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,84510589.446969,84.510589,0.084511,14212696,0.169559,7.527990,7.697549,256,10,2,2,128,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,61797618.638733,61.797619,0.061798,14212696,0.230541,7.592302,7.822843,256,10,4,4,128,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,32606770.780167,32.606771,0.032607,14212696,0.436330,8.103473,8.539803,256,10,16,16,128,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,249751854.394537,249.751854,0.249752,14212696,0.058371,7.543063,7.601434,32,10,2,2,16,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,204126230.155787,204.126230,0.204126,14212696,0.070782,7.591252,7.662034,32,10,4,4,16,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,125768944.579371,125.768945,0.125769,14212696,0.114636,8.109311,8.223946,32,10,16,16,16,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,158006812.997043,158.006813,0.158007,14212696,0.091120,7.543052,7.634172,128,10,2,2,64,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,117953386.893183,117.953387,0.117953,14212696,0.121100,7.609685,7.730785,128,10,4,4,64,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,65883961.111754,65.883961,0.065884,14212696,0.215914,8.090026,8.305940,128,10,16,16,64,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,114186377.910904,114.186378,0.114186,14212696,0.125091,7.466971,7.592062,256,10,2,2,128,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,89176866.899664,89.176867,0.089177,14212696,0.160131,7.554642,7.714773,256,10,4,4,128,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,44009907.289102,44.009907,0.044010,14212696,0.323614,8.040191,8.363805,256,10,16,16,128,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,289531024.485494,289.531024,0.289531,14212696,0.050709,7.474285,7.524994,32,10,2,2,16,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,249918258.615587,249.918259,0.249918,14212696,0.057967,7.528242,7.586209,32,10,4,4,16,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,148831831.904837,148.831832,0.148832,14212696,0.096111,8.077412,8.173523,32,10,16,16,16,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,193388585.830157,193.388586,0.193389,14212696,0.074406,7.502434,7.576840,128,10,2,2,64,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,157555511.917908,157.555512,0.157556,14212696,0.091132,7.509000,7.600132,128,10,4,4,64,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,88026043.317398,88.026043,0.088026,14212696,0.161895,8.034044,8.195939,128,10,16,16,64,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,148457423.659188,148.457424,0.148457,14212696,0.096329,7.497099,7.593428,256,10,2,2,128,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,113574588.054032,113.574588,0.113575,14212696,0.125592,7.541142,7.666734,256,10,4,4,128,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP,O2,63006141.361730,63.006141,0.063006,14212696,0.225963,7.983287,8.209250,256,10,16,16,128,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
