Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,303277450.362862,303.277450,0.303277,28787634,0.095416,11.958515,12.053931,256,10,2,2,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,296716249.290117,296.716249,0.296716,28787634,0.097788,11.912253,12.010041,256,10,4,4,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,224491138.188037,224.491138,0.224491,28787634,0.128605,12.285552,12.414157,256,10,16,16,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,197515674.460630,197.515674,0.197516,28787634,0.146557,11.915121,12.061678,1024,10,2,2,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,184321390.784933,184.321391,0.184321,28787634,0.157111,12.016787,12.173898,1024,10,4,4,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,124590163.845405,124.590164,0.124590,28787634,0.231276,12.334396,12.565672,1024,10,16,16,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,139211219.714143,139.211220,0.139211,28787634,0.207519,11.933659,12.141179,2048,10,2,2,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,130148534.484436,130.148534,0.130149,28787634,0.222163,11.993359,12.215522,2048,10,4,4,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,93125547.351160,93.125547,0.093126,28787634,0.309868,12.218467,12.528335,2048,10,16,16,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,400367835.209674,400.367835,0.400368,28787634,0.072388,11.995417,12.067805,256,10,2,2,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,392059370.054018,392.059370,0.392059,28787634,0.074395,11.962794,12.037189,256,10,4,4,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,305640120.663648,305.640121,0.305640,28787634,0.094651,12.241908,12.336559,256,10,16,16,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,262620977.437437,262.620977,0.262621,28787634,0.110208,11.989780,12.099988,1024,10,2,2,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,244735844.463768,244.735844,0.244736,28787634,0.118149,12.015219,12.133368,1024,10,4,4,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,178217514.597539,178.217515,0.178218,28787634,0.162054,12.327746,12.489800,1024,10,16,16,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,193844223.064808,193.844223,0.193844,28787634,0.148988,12.017631,12.166619,2048,10,2,2,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,187424651.036826,187.424651,0.187425,28787634,0.154036,12.008455,12.162491,2048,10,4,4,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,136234618.034613,136.234618,0.136235,28787634,0.212205,12.305893,12.518098,2048,10,16,16,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,512734563.729254,512.734564,0.512735,28787634,0.057531,11.929777,11.987308,256,10,2,2,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,485315496.243534,485.315496,0.485315,28787634,0.060498,12.017719,12.078217,256,10,4,4,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,377274809.913951,377.274810,0.377275,28787634,0.078035,12.580380,12.658415,256,10,16,16,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,325444054.658955,325.444055,0.325444,28787634,0.089307,12.018724,12.108031,1024,10,2,2,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,309196858.446972,309.196858,0.309197,28787634,0.094038,12.009072,12.103110,1024,10,4,4,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,239004932.310832,239.004932,0.239005,28787634,0.121284,12.266282,12.387566,1024,10,16,16,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,264035898.235376,264.035898,0.264036,28787634,0.109767,11.983310,12.093077,2048,10,2,2,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,243654349.599633,243.654350,0.243654,28787634,0.118771,11.963444,12.082215,2048,10,4,4,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,180378579.820685,180.378580,0.180379,28787634,0.160268,12.298025,12.458293,2048,10,16,16,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
