Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,771719669.851274,771.719670,0.771720,10276008,0.013959,62.786068,62.800027,224,10,2,2,16,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,569338293.372911,569.338293,0.569338,10276008,0.026661,63.536661,63.563322,224,10,4,4,16,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,275851917.421472,275.851917,0.275852,10276008,0.055521,63.177831,63.233352,224,10,16,16,16,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,377767107.292690,377.767107,0.377767,10276008,0.028049,62.739353,62.767402,896,10,2,2,64,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,304164640.174263,304.164640,0.304165,10276008,0.035065,63.173514,63.208579,896,10,4,4,64,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,129338909.781185,129.338910,0.129339,10276008,0.089392,63.719129,63.808521,896,10,16,16,64,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,236624075.892517,236.624076,0.236624,10276008,0.052503,63.235083,63.287586,1792,10,2,2,128,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,212099151.753195,212.099152,0.212099,10276008,0.051203,63.649476,63.700679,1792,10,4,4,128,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,94271809.752519,94.271810,0.094272,10276008,0.112790,63.178843,63.291633,1792,10,16,16,128,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,762799962.691922,762.799963,0.762800,10276008,0.022377,63.011865,63.034242,224,10,2,2,16,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,845919912.503934,845.919913,0.845920,10276008,0.012738,62.836636,62.849374,224,10,4,4,16,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,489471442.133628,489.471442,0.489471,10276008,0.021811,63.003799,63.025610,224,10,16,16,16,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,479006446.340654,479.006446,0.479006,10276008,0.022028,62.801639,62.823666,896,10,2,2,64,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,453840143.204185,453.840143,0.453840,10276008,0.023388,62.990837,63.014225,896,10,4,4,64,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,251325872.067678,251.325872,0.251326,10276008,0.042686,63.113545,63.156231,896,10,16,16,64,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,378324236.365392,378.324236,0.378324,10276008,0.028932,62.956485,62.985417,1792,10,2,2,128,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,312148228.483006,312.148228,0.312148,10276008,0.034655,62.549744,62.584399,1792,10,4,4,128,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,146001706.775697,146.001707,0.146002,10276008,0.073047,63.060008,63.133055,1792,10,16,16,128,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,910593192.139147,910.593192,0.910593,10276008,0.017871,62.545920,62.563791,224,10,2,2,16,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,742829255.973459,742.829256,0.742829,10276008,0.023817,63.064844,63.088661,224,10,4,4,16,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,707925385.798538,707.925386,0.707925,10276008,0.017043,62.709199,62.726242,224,10,16,16,16,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,633523491.607378,633.523492,0.633523,10276008,0.023801,62.731121,62.754923,896,10,2,2,64,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,565834290.555632,565.834291,0.565834,10276008,0.024091,62.596367,62.620458,896,10,4,4,64,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,352521267.507319,352.521268,0.352521,10276008,0.031674,62.967080,62.998754,896,10,16,16,64,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,475847003.330333,475.847003,0.475847,10276008,0.023111,62.685475,62.708586,1792,10,2,2,128,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,430263012.114672,430.263012,0.430263,10276008,0.031283,62.720083,62.751366,1792,10,4,4,128,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,244080248.873423,244.080249,0.244080,10276008,0.045234,62.776641,62.821875,1792,10,16,16,128,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
