Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
ell_omp_O1,0.004230,0.336245,0.340475,640.746726,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_collapse_O1,0.004261,0.245197,0.249458,629.806872,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_O1,0.005356,0.305829,0.311185,437.267694,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_collapse_O1,0.005479,0.248115,0.253594,436.027404,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_omp_O1,0.004308,0.285032,0.289340,586.572925,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_O1,0.002858,0.352007,0.354865,1099.002363,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_collapse_O1,0.002813,0.334200,0.337013,1104.844841,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_O1,0.004320,0.303556,0.307876,569.383166,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_collapse_O1,0.004177,0.318731,0.322908,571.626230,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_omp_O1,0.003267,0.246890,0.250157,702.804516,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_O1,0.002030,0.279097,0.281127,1662.026685,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_collapse_O1,0.001945,0.248911,0.250856,1679.841987,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_O1,0.003557,0.265018,0.268575,679.478755,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_collapse_O1,0.003525,0.300930,0.304455,684.052041,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_omp_O1,0.004323,0.244515,0.248838,535.855257,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_O1,0.001654,0.285577,0.287231,2439.443612,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_collapse_O1,0.001419,0.351402,0.352821,2421.792966,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_O1,0.003712,0.247450,0.251162,739.305340,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_collapse_O1,0.003174,0.255345,0.258519,765.748370,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_omp_O1,0.006703,0.245510,0.252213,326.694393,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_O2,0.002488,0.335180,0.337668,1241.582963,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_collapse_O2,0.002273,0.251575,0.253848,1258.257464,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_O2,0.004045,0.273137,0.277183,640.057098,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_collapse_O2,0.003296,0.291710,0.295006,665.846520,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_omp_O2,0.002290,0.323547,0.325837,1054.231831,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_O2,0.001901,0.345808,0.347710,1787.311025,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_collapse_O2,0.001697,0.253436,0.255133,1825.635079,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_O2,0.003068,0.288410,0.291478,755.594611,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_collapse_O2,0.003113,0.337070,0.340183,745.257413,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_omp_O2,0.002680,0.335089,0.337769,932.199706,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_O2,0.001425,0.249436,0.250861,2518.647162,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_collapse_O2,0.001152,0.336701,0.337853,2733.452972,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_O2,0.002821,0.250843,0.253664,811.277895,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_collapse_O2,0.002925,0.257105,0.260030,799.690989,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_omp_O2,0.003624,0.300985,0.304609,628.252111,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_O2,0.001284,0.247679,0.248963,3694.172159,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_collapse_O2,0.001019,0.332273,0.333292,3592.014480,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_O2,0.002994,0.254615,0.257609,809.316631,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_collapse_O2,0.002699,0.256245,0.258944,845.758355,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_omp_O2,0.006314,0.245066,0.251380,343.781350,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_O3,0.002049,0.247546,0.249595,1359.492679,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_collapse_O3,0.002145,0.335551,0.337696,1359.609212,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_O3,0.003514,0.249921,0.253435,661.446418,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_collapse_O3,0.004102,0.245790,0.249892,626.528489,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_omp_O3,0.002434,0.243095,0.245528,1058.666820,0,100,1,1,16,8,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_O3,0.001657,0.245240,0.246897,1934.649647,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_collapse_O3,0.001538,0.304952,0.306490,2013.895855,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_O3,0.003626,0.335622,0.339248,719.784662,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_collapse_O3,0.003645,0.262426,0.266072,712.262705,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_omp_O3,0.002080,0.241414,0.243494,1039.783032,0,100,1,1,16,16,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_O3,0.001230,0.257493,0.258723,2906.099559,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_collapse_O3,0.001134,0.259760,0.260894,2865.552799,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_O3,0.002780,0.333468,0.336248,815.727140,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_collapse_O3,0.003105,0.343390,0.346495,772.710559,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_omp_O3,0.003432,0.295677,0.299109,648.899398,0,100,1,1,16,32,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_O3,0.001077,0.247716,0.248794,3922.622547,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
ell_omp_collapse_O3,0.000966,0.240613,0.241579,3867.432202,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_O3,0.003106,0.323542,0.326649,796.328213,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_collapse_O3,0.002782,0.322889,0.325671,834.064327,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
ell_transpose_omp_omp_O3,0.006246,0.254458,0.260704,346.169987,0,100,1,1,16,64,2147483648,1024,1024,1048576,1024,1024,0,0
