Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_serial,0.005431,0.025025,0.030456,0,100,1,1,-1,1024,1024,16384,0,0
csr_omp -t 1024x16,0.005955,0.016081,0.022037,0,100,1,1,1,1024,1024,16384,0,0
csr_omp -t 1024x16,0.003032,0.014349,0.017381,0,100,1,1,2,1024,1024,16384,0,0
csr_omp -t 1024x16,0.001623,0.018582,0.020205,0,100,1,1,4,1024,1024,16384,0,0
csr_omp -t 1024x16,0.001480,0.016611,0.018091,0,100,1,1,8,1024,1024,16384,0,0
csr_omp -t 1024x16,0.001893,0.013705,0.015598,0,100,1,1,16,1024,1024,16384,0,0
csr_omp -t 1024x16,0.001885,0.014557,0.016442,0,100,1,1,32,1024,1024,16384,0,0
bcsr_serial 1 x 1,0.002992,0.076697,0.079689,120832,100,1,1,-1,1024,1024,16384,0,0
bcsr_serial 2 x 2,0.011039,0.071869,0.082908,120832,100,2,2,-1,1024,1024,16384,0,0
bcsr_serial 4 x 4,0.037762,0.078227,0.115989,120832,100,4,4,-1,1024,1024,16384,0,0
bcsr_serial 8 x 8,0.107630,0.098728,0.206358,120832,100,8,8,-1,1024,1024,16384,0,0
bcsr_serial 16 x 16,0.167225,0.089190,0.256415,120832,100,16,16,-1,1024,1024,16384,0,0
bcsr_serial 32 x 32,0.170160,0.087588,0.257748,120832,100,32,32,-1,1024,1024,16384,0,0
bcsr_omp 1 x 1 -t 1,0.003269,0.080482,0.083751,120832,100,1,1,1,1024,1024,16384,0,0
bcsr_omp 1 x 1 -t 2,0.001959,0.069998,0.071957,120832,100,1,1,2,1024,1024,16384,0,0
bcsr_omp 1 x 1 -t 4,0.000954,0.082114,0.083068,120832,100,1,1,4,1024,1024,16384,0,0
bcsr_omp 1 x 1 -t 8,0.000892,0.078902,0.079794,120832,100,1,1,8,1024,1024,16384,0,0
bcsr_omp 1 x 1 -t 16,0.000973,0.069842,0.070815,120832,100,1,1,16,1024,1024,16384,0,0
bcsr_omp 1 x 1 -t 32,0.002014,0.069367,0.071381,120832,100,1,1,32,1024,1024,16384,0,0
bcsr_omp 2 x 2 -t 1,0.011838,0.072549,0.084387,120832,100,2,2,1,1024,1024,16384,0,0
bcsr_omp 2 x 2 -t 2,0.006302,0.087241,0.093543,120832,100,2,2,2,1024,1024,16384,0,0
bcsr_omp 2 x 2 -t 4,0.003208,0.073592,0.076800,120832,100,2,2,4,1024,1024,16384,0,0
bcsr_omp 2 x 2 -t 8,0.002558,0.075373,0.077931,120832,100,2,2,8,1024,1024,16384,0,0
bcsr_omp 2 x 2 -t 16,0.003196,0.070716,0.073912,120832,100,2,2,16,1024,1024,16384,0,0
bcsr_omp 2 x 2 -t 32,0.004262,0.074749,0.079011,120832,100,2,2,32,1024,1024,16384,0,0
bcsr_omp 4 x 4 -t 1,0.041477,0.077861,0.119338,120832,100,4,4,1,1024,1024,16384,0,0
bcsr_omp 4 x 4 -t 2,0.021040,0.084273,0.105313,120832,100,4,4,2,1024,1024,16384,0,0
bcsr_omp 4 x 4 -t 4,0.010691,0.079575,0.090266,120832,100,4,4,4,1024,1024,16384,0,0
bcsr_omp 4 x 4 -t 8,0.008930,0.089585,0.098515,120832,100,4,4,8,1024,1024,16384,0,0
bcsr_omp 4 x 4 -t 16,0.011827,0.078560,0.090386,120832,100,4,4,16,1024,1024,16384,0,0
bcsr_omp 4 x 4 -t 32,0.009165,0.084467,0.093632,120832,100,4,4,32,1024,1024,16384,0,0
bcsr_omp 8 x 8 -t 1,0.118389,0.096313,0.214702,120832,100,8,8,1,1024,1024,16384,0,0
bcsr_omp 8 x 8 -t 2,0.059882,0.103441,0.163323,120832,100,8,8,2,1024,1024,16384,0,0
bcsr_omp 8 x 8 -t 4,0.030192,0.092480,0.122671,120832,100,8,8,4,1024,1024,16384,0,0
bcsr_omp 8 x 8 -t 8,0.025260,0.097752,0.123012,120832,100,8,8,8,1024,1024,16384,0,0
bcsr_omp 8 x 8 -t 16,0.028541,0.090974,0.119516,120832,100,8,8,16,1024,1024,16384,0,0
bcsr_omp 8 x 8 -t 32,0.025804,0.099587,0.125391,120832,100,8,8,32,1024,1024,16384,0,0
bcsr_omp 16 x 16 -t 1,0.184507,0.096393,0.280900,120832,100,16,16,1,1024,1024,16384,0,0
bcsr_omp 16 x 16 -t 2,0.093361,0.090140,0.183501,120832,100,16,16,2,1024,1024,16384,0,0
bcsr_omp 16 x 16 -t 4,0.047347,0.091814,0.139161,120832,100,16,16,4,1024,1024,16384,0,0
bcsr_omp 16 x 16 -t 8,0.039196,0.101395,0.140591,120832,100,16,16,8,1024,1024,16384,0,0
bcsr_omp 16 x 16 -t 16,0.043980,0.091937,0.135917,120832,100,16,16,16,1024,1024,16384,0,0
bcsr_omp 16 x 16 -t 32,0.036901,0.091197,0.128098,120832,100,16,16,32,1024,1024,16384,0,0
bcsr_omp 32 x 32 -t 1,0.185535,0.086077,0.271612,120832,100,32,32,1,1024,1024,16384,0,0
bcsr_omp 32 x 32 -t 2,0.093553,0.092513,0.186066,120832,100,32,32,2,1024,1024,16384,0,0
bcsr_omp 32 x 32 -t 4,0.047911,0.079335,0.127246,120832,100,32,32,4,1024,1024,16384,0,0
bcsr_omp 32 x 32 -t 8,0.039711,0.087686,0.127397,120832,100,32,32,8,1024,1024,16384,0,0
bcsr_omp 32 x 32 -t 16,0.044625,0.078972,0.123597,120832,100,32,32,16,1024,1024,16384,0,0
bcsr_omp 32 x 32 -t 32,0.037618,0.087304,0.124922,120832,100,32,32,32,1024,1024,16384,0,0
