Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_O1,0.000277,0.025618,0.025895,3.989329,0,100,1,1,16,8,524288,1024,1024,16384,16,16,0,0
coo_omp_collapse_O1,0.000458,0.015949,0.016407,3.878000,0,100,1,1,16,8,524288,1024,1024,16384,16,16,0,0
coo_transpose_omp_O1,0.009990,0.015736,0.025726,0.053246,0,100,1,1,16,8,524288,1024,1024,16384,16,16,0,0
coo_transpose_omp_collapse_O1,0.015573,0.021263,0.036836,0.044162,0,100,1,1,16,8,524288,1024,1024,16384,16,16,0,0
coo_transpose_omp_omp_O1,0.024887,0.021157,0.046044,0.021145,0,100,1,1,16,8,524288,1024,1024,16384,16,16,0,0
coo_omp_O1,0.000452,0.024556,0.025008,3.571722,0,100,1,1,16,16,524288,1024,1024,16384,16,16,0,0
coo_omp_collapse_O1,0.001293,0.016285,0.017578,1.201912,0,100,1,1,16,16,524288,1024,1024,16384,16,16,0,0
coo_transpose_omp_O1,0.013905,0.019385,0.033290,0.044488,0,100,1,1,16,16,524288,1024,1024,16384,16,16,0,0
coo_transpose_omp_collapse_O1,0.010124,0.023217,0.033341,0.052985,0,100,1,1,16,16,524288,1024,1024,16384,16,16,0,0
coo_transpose_omp_omp_O1,0.024822,0.022639,0.047461,0.021176,0,100,1,1,16,16,524288,1024,1024,16384,16,16,0,0
coo_omp_O1,0.000509,0.023801,0.024310,2.557552,0,100,1,1,16,32,524288,1024,1024,16384,16,16,0,0
coo_omp_collapse_O1,0.000468,0.015955,0.016423,3.044667,0,100,1,1,16,32,524288,1024,1024,16384,16,16,0,0
coo_transpose_omp_O1,0.010084,0.015805,0.025889,0.053161,0,100,1,1,16,32,524288,1024,1024,16384,16,16,0,0
coo_transpose_omp_collapse_O1,0.015872,0.021877,0.037749,0.036851,0,100,1,1,16,32,524288,1024,1024,16384,16,16,0,0
coo_transpose_omp_omp_O1,0.024690,0.024735,0.049425,0.021279,0,100,1,1,16,32,524288,1024,1024,16384,16,16,0,0
coo_omp_O1,0.000316,0.024275,0.024591,3.022745,0,100,1,1,16,64,524288,1024,1024,16384,16,16,0,0
coo_omp_collapse_O1,0.000343,0.015814,0.016156,3.329550,0,100,1,1,16,64,524288,1024,1024,16384,16,16,0,0
coo_transpose_omp_O1,0.010169,0.015544,0.025713,0.052668,0,100,1,1,16,64,524288,1024,1024,16384,16,16,0,0
coo_transpose_omp_collapse_O1,0.010091,0.023060,0.033151,0.053095,0,100,1,1,16,64,524288,1024,1024,16384,16,16,0,0
