Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial,0.010382,0.025878,0.036260,6.467206,1024,10,1,1,-1,67108864,1024,1024,32768,32,32,0,0
coo_omp -t 1024x32,0.004201,0.033013,0.037214,51.907623,1328,10,1,1,1,67108864,1024,1024,32768,32,32,0,0
coo_omp -t 1024x32,0.004125,0.028688,0.032813,47.661888,1024,10,1,1,2,67108864,1024,1024,32768,32,32,0,0
coo_omp -t 1024x32,0.003458,0.028454,0.031911,55.640122,1584,10,1,1,4,67108864,1024,1024,32768,32,32,0,0
coo_omp -t 1024x32,0.004012,0.029735,0.033747,52.662725,1024,10,1,1,8,67108864,1024,1024,32768,32,32,0,0
coo_omp -t 1024x32,0.003436,0.033117,0.036553,51.008613,1566,10,1,1,16,67108864,1024,1024,32768,32,32,0,0
coo_omp -t 1024x32,0.002382,0.022071,0.024452,55.797334,1024,10,1,1,32,67108864,1024,1024,32768,32,32,0,0
coo_omp_gpu,0.018268,0.030994,0.049262,7.508431,1048576,10,1,1,-1,67108864,1024,1024,32768,32,32,0,0
csr_serial,0.010254,0.026280,0.036534,6.546845,1024,10,1,1,-1,67108864,1024,1024,32768,32,32,0,0
csr_omp -t 1024x32,0.012610,0.026331,0.038941,5.641433,1024,10,1,1,1,67108864,1024,1024,32768,32,32,0,0
csr_omp -t 1024x32,0.008430,0.027874,0.036304,8.529636,1024,10,1,1,2,67108864,1024,1024,32768,32,32,0,0
csr_omp -t 1024x32,0.004512,0.026000,0.030512,16.753233,1024,10,1,1,4,67108864,1024,1024,32768,32,32,0,0
csr_omp -t 1024x32,0.002777,0.026445,0.029222,29.917833,1024,10,1,1,8,67108864,1024,1024,32768,32,32,0,0
csr_omp -t 1024x32,0.001800,0.026544,0.028344,52.237136,1024,10,1,1,16,67108864,1024,1024,32768,32,32,0,0
csr_omp -t 1024x32,0.002533,0.032734,0.035267,53.045189,1024,10,1,1,32,67108864,1024,1024,32768,32,32,0,0
csr_omp_gpu,0.032141,0.022917,0.055058,2.580959,1024,10,1,1,-1,67108864,1024,1024,32768,32,32,0,0
ell_serial,0.012645,0.040882,0.053527,5.308707,1024,10,1,1,-1,67108864,1024,1024,32768,32,32,0,0
ell_omp -t 1,0.012499,0.028490,0.040989,5.666733,1024,10,1,1,1,67108864,1024,1024,32768,32,32,0,0
ell_omp -t 2,0.008451,0.027230,0.035681,8.481454,1024,10,1,1,2,67108864,1024,1024,32768,32,32,0,0
ell_omp -t 4,0.004621,0.027242,0.031862,16.314926,1024,10,1,1,4,67108864,1024,1024,32768,32,32,0,0
ell_omp -t 8,0.002811,0.027189,0.030000,29.422496,1024,10,1,1,8,67108864,1024,1024,32768,32,32,0,0
ell_omp -t 16,0.001833,0.029631,0.031464,49.967536,1024,10,1,1,16,67108864,1024,1024,32768,32,32,0,0
ell_omp -t 32,0.002912,0.023501,0.026414,38.888966,1024,10,1,1,32,67108864,1024,1024,32768,32,32,0,0
ell_omp_gpu,0.030346,0.025609,0.055955,2.771317,1024,10,1,1,-1,67108864,1024,1024,32768,32,32,0,0
bcsr_serial 1 x 1,0.004702,0.091202,0.095904,14.082146,387072,10,1,1,-1,66154496,1024,1024,32768,32,32,0,0
bcsr_serial 2 x 2,0.016653,0.093472,0.110125,15.162393,387072,10,2,2,-1,252485632,1024,1024,32768,32,32,0,0
bcsr_serial 4 x 4,0.054679,0.106818,0.161497,15.508275,387072,10,4,4,-1,847970304,1024,1024,32768,32,32,0,0
bcsr_serial 8 x 8,0.118938,0.115759,0.234697,15.611280,387072,10,8,8,-1,1856765952,1024,1024,32768,32,32,0,0
bcsr_serial 16 x 16,0.137567,0.106498,0.244065,15.606737,387072,10,16,16,-1,2146959360,1024,1024,32768,32,32,0,0
bcsr_serial 32 x 32,0.137104,0.139286,0.276390,15.663204,387072,10,32,32,-1,2147483648,1024,1024,32768,32,32,0,0
bcsr_omp 1 x 1 -t 1,0.008432,0.124377,0.132809,8.443026,387072,10,1,1,1,66154496,1024,1024,32768,32,32,0,0
bcsr_omp 1 x 1 -t 2,0.004852,0.092591,0.097443,15.838050,387072,10,1,1,2,66154496,1024,1024,32768,32,32,0,0
bcsr_omp 1 x 1 -t 4,0.002852,0.087225,0.090077,29.455500,387072,10,1,1,4,66154496,1024,1024,32768,32,32,0,0
bcsr_omp 1 x 1 -t 8,0.001877,0.089808,0.091685,49.274872,387072,10,1,1,8,66154496,1024,1024,32768,32,32,0,0
bcsr_omp 1 x 1 -t 16,0.001320,0.090151,0.091471,81.172397,387072,10,1,1,16,66154496,1024,1024,32768,32,32,0,0
bcsr_omp 1 x 1 -t 32,0.002114,0.085366,0.087480,92.155443,387072,10,1,1,32,66154496,1024,1024,32768,32,32,0,0
bcsr_omp 2 x 2 -t 1,0.027130,0.088617,0.115747,9.417436,387072,10,2,2,1,252485632,1024,1024,32768,32,32,0,0
bcsr_omp 2 x 2 -t 2,0.014346,0.094257,0.108603,18.186460,387072,10,2,2,2,252485632,1024,1024,32768,32,32,0,0
bcsr_omp 2 x 2 -t 4,0.007517,0.089891,0.097408,35.966487,387072,10,2,2,4,252485632,1024,1024,32768,32,32,0,0
bcsr_omp 2 x 2 -t 8,0.004388,0.093069,0.097457,66.837497,387072,10,2,2,8,252485632,1024,1024,32768,32,32,0,0
bcsr_omp 2 x 2 -t 16,0.002734,0.094179,0.096913,120.198607,387072,10,2,2,16,252485632,1024,1024,32768,32,32,0,0
bcsr_omp 2 x 2 -t 32,0.003203,0.088052,0.091255,121.500521,387072,10,2,2,32,252485632,1024,1024,32768,32,32,0,0
bcsr_omp 4 x 4 -t 1,0.060803,0.102408,0.163211,14.006081,387072,10,4,4,1,847970304,1024,1024,32768,32,32,0,0
bcsr_omp 4 x 4 -t 2,0.034659,0.102851,0.137510,25.123438,387072,10,4,4,2,847970304,1024,1024,32768,32,32,0,0
bcsr_omp 4 x 4 -t 4,0.019051,0.109058,0.128109,46.667734,387072,10,4,4,4,847970304,1024,1024,32768,32,32,0,0
bcsr_omp 4 x 4 -t 8,0.011515,0.105252,0.116767,78.091801,387072,10,4,4,8,847970304,1024,1024,32768,32,32,0,0
