Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_serial,0.010071,0.029864,0.039935,0,100,1,1,-1,1024,1024,32768,0,0
csr_omp -t 1024x32,0.010907,0.020018,0.030925,0,100,1,1,1,1024,1024,32768,0,0
csr_omp -t 1024x32,0.005622,0.028172,0.033794,0,100,1,1,2,1024,1024,32768,0,0
csr_omp -t 1024x32,0.003076,0.024321,0.027397,0,100,1,1,4,1024,1024,32768,0,0
csr_omp -t 1024x32,0.002726,0.022532,0.025258,0,100,1,1,8,1024,1024,32768,0,0
csr_omp -t 1024x32,0.003304,0.019537,0.022841,0,100,1,1,16,1024,1024,32768,0,0
csr_omp -t 1024x32,0.003328,0.021835,0.025163,0,100,1,1,32,1024,1024,32768,0,0
ell_serial,0.010166,0.022929,0.033096,0,100,1,1,-1,1024,1024,32768,32,32
ell_omp -t 1,0.010876,0.021420,0.032296,0,100,1,1,1,1024,1024,32768,32,32
ell_omp -t 2,0.005546,0.026205,0.031751,0,100,1,1,2,1024,1024,32768,32,32
ell_omp -t 4,0.002846,0.022073,0.024919,0,100,1,1,4,1024,1024,32768,32,32
ell_omp -t 8,0.002711,0.024354,0.027065,0,100,1,1,8,1024,1024,32768,32,32
ell_omp -t 16,0.002812,0.022850,0.025662,0,100,1,1,16,1024,1024,32768,32,32
ell_omp -t 32,0.003903,0.023371,0.027274,0,100,1,1,32,1024,1024,32768,32,32
