Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_omp -t 1024x32,0.007455,0.016959,0.024414,1024,100,1,1,1,1024,1024,32768,0,0
csr_omp -t 1024x32,0.003937,0.021864,0.025801,1024,100,1,1,2,1024,1024,32768,0,0
csr_omp -t 1024x32,0.002665,0.015537,0.018202,1024,100,1,1,4,1024,1024,32768,0,0
csr_omp -t 1024x32,0.002591,0.019202,0.021793,1024,100,1,1,8,1024,1024,32768,0,0
csr_omp -t 1024x32,0.002530,0.014514,0.017044,1024,100,1,1,16,1024,1024,32768,0,0
csr_omp -t 1024x32,0.002327,0.024451,0.026778,1024,100,1,1,32,1024,1024,32768,0,0
ell_omp -t 1,0.006807,0.016669,0.023476,1024,100,1,1,1,1024,1024,32768,32,32
ell_omp -t 2,0.004009,0.016624,0.020633,1024,100,1,1,2,1024,1024,32768,32,32
ell_omp -t 4,0.002577,0.017117,0.019694,1024,100,1,1,4,1024,1024,32768,32,32
ell_omp -t 8,0.002558,0.018670,0.021228,1024,100,1,1,8,1024,1024,32768,32,32
ell_omp -t 16,0.002521,0.021705,0.024226,1024,100,1,1,16,1024,1024,32768,32,32
ell_omp -t 32,0.002538,0.019677,0.022214,1024,100,1,1,32,1024,1024,32768,32,32
