Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_O1,0.000077,0.007603,0.007680,30.178592,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O1,0.000171,0.007297,0.007468,18.248905,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O1,0.002262,0.007317,0.009579,0.469185,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O1,0.002222,0.007156,0.009378,0.479079,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O1,0.005756,0.007190,0.012946,0.182783,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_omp_O1,0.000076,0.007417,0.007493,30.072497,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O1,0.000362,0.007264,0.007625,11.944128,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O1,0.002272,0.011991,0.014263,0.472704,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O1,0.002259,0.007301,0.009560,0.470050,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O1,0.005710,0.007153,0.012863,0.184191,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_omp_O1,0.000077,0.007307,0.007384,29.725108,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O1,0.000171,0.007380,0.007551,18.504100,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O1,0.002211,0.007111,0.009321,0.480225,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O1,0.002243,0.007199,0.009442,0.476720,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O1,0.005756,0.007222,0.012978,0.182894,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_omp_O1,0.000077,0.007446,0.007523,29.768512,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O1,0.000170,0.007257,0.007427,18.560628,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O1,0.002286,0.007299,0.009585,0.463931,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O1,0.002303,0.007351,0.009654,0.463374,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
