Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O1,0.001056,0.035312,0.036368,1.027081,0,100,1,1,16,-1,1048576,1024,1024,32768,32,32,0,0
csr_serial_O1,0.001015,0.028702,0.029717,66.216476,0,100,1,1,16,-1,67108864,1024,1024,32768,32,32,0,0
ell_serial_O1,0.001299,0.037507,0.038806,53.831983,0,100,1,1,16,-1,67108864,1024,1024,32768,32,32,0,0
bcsr_serial_O1,0.001131,0.093541,0.094672,58.600162,439,100,1,1,16,-1,66201600,1024,1024,32768,32,32,0,0
bell_serial_O1,0.000783,0.029626,0.030409,1.343433,29241,100,1,1,16,-1,1048576,1024,1024,32768,32,32,0,0
bcsr_serial_O1,0.003974,0.095560,0.099534,63.588599,439,100,2,2,16,-1,252715008,1024,1024,32768,32,32,0,0
bell_serial_O1,0.000778,0.031040,0.031818,1.350633,29241,100,2,2,16,-1,1048576,1024,1024,32768,32,32,0,0
bcsr_serial_O1,0.013005,0.108122,0.121127,64.891068,439,100,4,4,16,-1,843907072,1024,1024,32768,32,32,0,0
bell_serial_O1,0.000975,0.037120,0.038095,1.121489,29241,100,4,4,16,-1,1048576,1024,1024,32768,32,32,0,0
bcsr_serial_O1,0.032818,0.109547,0.142365,65.372006,439,100,16,16,16,-1,2145386496,1024,1024,32768,32,32,0,0
bell_serial_O1,0.001010,0.039769,0.040779,1.080337,29241,100,16,16,16,-1,1048576,1024,1024,32768,32,32,0,0
coo_serial_O2,0.000857,0.027357,0.028214,1.225675,0,100,1,1,16,-1,1048576,1024,1024,32768,32,32,0,0
csr_serial_O2,0.001148,0.025777,0.026925,58.560306,0,100,1,1,16,-1,67108864,1024,1024,32768,32,32,0,0
ell_serial_O2,0.001165,0.027056,0.028221,57.641341,0,100,1,1,16,-1,67108864,1024,1024,32768,32,32,0,0
bcsr_serial_O2,0.001309,0.091727,0.093036,50.606815,439,100,1,1,16,-1,66201600,1024,1024,32768,32,32,0,0
bell_serial_O2,0.000836,0.029442,0.030278,1.255396,29241,100,1,1,16,-1,1048576,1024,1024,32768,32,32,0,0
bcsr_serial_O2,0.004415,0.090844,0.095259,57.241830,439,100,2,2,16,-1,252715008,1024,1024,32768,32,32,0,0
bell_serial_O2,0.000835,0.028632,0.029467,1.257184,29241,100,2,2,16,-1,1048576,1024,1024,32768,32,32,0,0
bcsr_serial_O2,0.014204,0.106782,0.120986,59.414550,439,100,4,4,16,-1,843907072,1024,1024,32768,32,32,0,0
bell_serial_O2,0.001042,0.037737,0.038779,1.049515,29241,100,4,4,16,-1,1048576,1024,1024,32768,32,32,0,0
bcsr_serial_O2,0.043468,0.109819,0.153286,49.511029,439,100,16,16,16,-1,2145386496,1024,1024,32768,32,32,0,0
bell_serial_O2,0.001461,0.041615,0.043076,0.753334,29241,100,16,16,16,-1,1048576,1024,1024,32768,32,32,0,0
coo_serial_O3,0.001436,0.027552,0.028988,0.768952,0,100,1,1,16,-1,1048576,1024,1024,32768,32,32,0,0
csr_serial_O3,0.001805,0.027460,0.029266,38.363340,0,100,1,1,16,-1,67108864,1024,1024,32768,32,32,0,0
ell_serial_O3,0.001841,0.034654,0.036495,37.511450,0,100,1,1,16,-1,67108864,1024,1024,32768,32,32,0,0
bcsr_serial_O3,0.002093,0.109333,0.111426,32.666150,439,100,1,1,16,-1,66201600,1024,1024,32768,32,32,0,0
bell_serial_O3,0.001472,0.042040,0.043512,0.749874,29241,100,1,1,16,-1,1048576,1024,1024,32768,32,32,0,0
bcsr_serial_O3,0.005238,0.109386,0.114624,48.263115,439,100,2,2,16,-1,252715008,1024,1024,32768,32,32,0,0
bell_serial_O3,0.001344,0.039241,0.040585,0.818310,29241,100,2,2,16,-1,1048576,1024,1024,32768,32,32,0,0
bcsr_serial_O3,0.015362,0.129738,0.145100,54.935665,439,100,4,4,16,-1,843907072,1024,1024,32768,32,32,0,0
bell_serial_O3,0.001450,0.042001,0.043451,0.761570,29241,100,4,4,16,-1,1048576,1024,1024,32768,32,32,0,0
bcsr_serial_O3,0.038061,0.129432,0.167493,56.367139,439,100,16,16,16,-1,2145386496,1024,1024,32768,32,32,0,0
bell_serial_O3,0.001365,0.031601,0.032966,0.805543,29241,100,16,16,16,-1,1048576,1024,1024,32768,32,32,0,0
