Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_omp -t 1024x512,0.100657,0.125106,0.225762,0,100,1,1,1,1024,1024,524288,0,0
csr_omp -t 1024x512,0.056465,0.130247,0.186712,0,100,1,1,2,1024,1024,524288,0,0
csr_omp -t 1024x512,0.035554,0.139062,0.174616,0,100,1,1,4,1024,1024,524288,0,0
csr_omp -t 1024x512,0.039026,0.124299,0.163325,0,100,1,1,8,1024,1024,524288,0,0
csr_omp -t 1024x512,0.034900,0.124344,0.159244,0,100,1,1,16,1024,1024,524288,0,0
csr_omp -t 1024x512,0.033640,0.130670,0.164310,0,100,1,1,32,1024,1024,524288,0,0
bcsr_omp 1 x 1 -t 1,0.052548,0.406085,0.458633,1048576,100,1,1,1,1024,1024,524288,0,0
bcsr_omp 1 x 1 -t 2,0.029436,0.394030,0.423466,1048576,100,1,1,2,1024,1024,524288,0,0
bcsr_omp 1 x 1 -t 4,0.018049,0.400425,0.418474,1048576,100,1,1,4,1024,1024,524288,0,0
bcsr_omp 1 x 1 -t 8,0.018535,0.395066,0.413601,1048576,100,1,1,8,1024,1024,524288,0,0
bcsr_omp 1 x 1 -t 16,0.017232,0.398243,0.415475,1048576,100,1,1,16,1024,1024,524288,0,0
bcsr_omp 1 x 1 -t 32,0.015627,0.396424,0.412051,1048576,100,1,1,32,1024,1024,524288,0,0
bcsr_omp 2 x 2 -t 1,0.114657,0.419186,0.533842,1048576,100,2,2,1,1024,1024,524288,0,0
bcsr_omp 2 x 2 -t 2,0.064747,0.424052,0.488799,1048576,100,2,2,2,1024,1024,524288,0,0
bcsr_omp 2 x 2 -t 4,0.041424,0.425820,0.467244,1048576,100,2,2,4,1024,1024,524288,0,0
bcsr_omp 2 x 2 -t 8,0.039756,0.417765,0.457521,1048576,100,2,2,8,1024,1024,524288,0,0
bcsr_omp 2 x 2 -t 16,0.035712,0.422641,0.458353,1048576,100,2,2,16,1024,1024,524288,0,0
bcsr_omp 2 x 2 -t 32,0.033756,0.422272,0.456028,1048576,100,2,2,32,1024,1024,524288,0,0
bcsr_omp 4 x 4 -t 1,0.130460,0.379496,0.509956,1048576,100,4,4,1,1024,1024,524288,0,0
bcsr_omp 4 x 4 -t 2,0.074159,0.384097,0.458256,1048576,100,4,4,2,1024,1024,524288,0,0
bcsr_omp 4 x 4 -t 4,0.047043,0.379554,0.426597,1048576,100,4,4,4,1024,1024,524288,0,0
bcsr_omp 4 x 4 -t 8,0.046042,0.377657,0.423699,1048576,100,4,4,8,1024,1024,524288,0,0
bcsr_omp 4 x 4 -t 16,0.040790,0.385775,0.426565,1048576,100,4,4,16,1024,1024,524288,0,0
bcsr_omp 4 x 4 -t 32,0.038979,0.397271,0.436250,1048576,100,4,4,32,1024,1024,524288,0,0
bcsr_omp 8 x 8 -t 1,0.132616,0.351261,0.483877,1048576,100,8,8,1,1024,1024,524288,0,0
bcsr_omp 8 x 8 -t 2,0.074917,0.353307,0.428224,1048576,100,8,8,2,1024,1024,524288,0,0
bcsr_omp 8 x 8 -t 4,0.047607,0.354711,0.402318,1048576,100,8,8,4,1024,1024,524288,0,0
bcsr_omp 8 x 8 -t 8,0.046332,0.350747,0.397079,1048576,100,8,8,8,1024,1024,524288,0,0
bcsr_omp 8 x 8 -t 16,0.040644,0.357593,0.398237,1048576,100,8,8,16,1024,1024,524288,0,0
bcsr_omp 8 x 8 -t 32,0.039222,0.351207,0.390429,1048576,100,8,8,32,1024,1024,524288,0,0
bcsr_omp 16 x 16 -t 1,0.131981,0.359710,0.491692,1048576,100,16,16,1,1024,1024,524288,0,0
bcsr_omp 16 x 16 -t 2,0.078715,0.344491,0.423206,1048576,100,16,16,2,1024,1024,524288,0,0
bcsr_omp 16 x 16 -t 4,0.045634,0.339924,0.385558,1048576,100,16,16,4,1024,1024,524288,0,0
bcsr_omp 16 x 16 -t 8,0.047531,0.348858,0.396389,1048576,100,16,16,8,1024,1024,524288,0,0
bcsr_omp 16 x 16 -t 16,0.041307,0.375122,0.416429,1048576,100,16,16,16,1024,1024,524288,0,0
bcsr_omp 16 x 16 -t 32,0.040185,0.362922,0.403107,1048576,100,16,16,32,1024,1024,524288,0,0
bcsr_omp 32 x 32 -t 1,0.141511,0.363593,0.505104,1048576,100,32,32,1,1024,1024,524288,0,0
bcsr_omp 32 x 32 -t 2,0.078561,0.363955,0.442516,1048576,100,32,32,2,1024,1024,524288,0,0
bcsr_omp 32 x 32 -t 4,0.047860,0.357694,0.405554,1048576,100,32,32,4,1024,1024,524288,0,0
bcsr_omp 32 x 32 -t 8,0.047197,0.353980,0.401177,1048576,100,32,32,8,1024,1024,524288,0,0
bcsr_omp 32 x 32 -t 16,0.041443,0.362654,0.404097,1048576,100,32,32,16,1024,1024,524288,0,0
bcsr_omp 32 x 32 -t 32,0.040720,0.354649,0.395369,1048576,100,32,32,32,1024,1024,524288,0,0
