Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp -t 1024x8,0.004884,0.018616,0.023500,3.849872,0,10,1,1,1,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.002822,0.017037,0.019859,7.245456,0,10,1,1,2,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.001727,0.017048,0.018775,12.789967,0,10,1,1,4,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.001222,0.017458,0.018680,19.509406,0,10,1,1,8,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.000979,0.018182,0.019161,29.600060,0,10,1,1,16,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.001848,0.020470,0.022318,25.246445,0,10,1,1,32,16777216,1024,1024,8192,8,8,0,0
csr_omp_gpu,0.018709,0.014696,0.033405,1.433175,0,10,1,1,-1,16777216,1024,1024,8192,8,8,0,0
ell_omp -t 1,0.005001,0.022180,0.027181,3.757516,0,10,1,1,1,16777216,1024,1024,8192,8,8,0,0
ell_omp -t 2,0.002925,0.022543,0.025468,6.886958,0,10,1,1,2,16777216,1024,1024,8192,8,8,0,0
ell_omp -t 4,0.001774,0.016667,0.018441,12.391677,0,10,1,1,4,16777216,1024,1024,8192,8,8,0,0
ell_omp -t 8,0.001305,0.016036,0.017341,18.943360,0,10,1,1,8,16777216,1024,1024,8192,8,8,0,0
ell_omp -t 16,0.000851,0.019204,0.020055,32.018278,0,10,1,1,16,16777216,1024,1024,8192,8,8,0,0
ell_omp -t 32,0.001848,0.013443,0.015291,27.643806,0,10,1,1,32,16777216,1024,1024,8192,8,8,0,0
ell_omp_gpu,0.021526,0.020162,0.041688,1.308209,0,10,1,1,-1,16777216,1024,1024,8192,8,8,0,0
