Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,189098956.424840,189.098956,0.189099,27980096,0.150164,12.353883,12.504047,0,10,2,2,16,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,170204128.074125,170.204128,0.170204,27980096,0.164825,13.382604,13.547429,0,10,16,16,16,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,579715621.650898,579.715622,0.579716,111920384,0.194358,12.363540,12.557898,0,10,2,2,64,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,360892599.027689,360.892599,0.360893,111920384,0.310351,13.438265,13.748616,0,10,16,16,64,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,902859829.051744,902.859829,0.902860,223840768,0.248727,12.369762,12.618489,0,10,2,2,128,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,515585376.864638,515.585377,0.515585,223840768,0.434532,13.659497,14.094029,0,10,16,16,128,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,163441588.136485,163.441588,0.163442,27980096,0.173142,12.372450,12.545592,0,10,2,2,16,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,213991896.808160,213.991897,0.213992,27980096,0.131260,13.388909,13.520170,0,10,16,16,16,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,530718377.410798,530.718377,0.530718,111920384,0.213300,12.342013,12.555313,0,10,2,2,64,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,498545106.611483,498.545107,0.498545,111920384,0.226194,13.649270,13.875464,0,10,16,16,64,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,905846022.190776,905.846022,0.905846,223840768,0.248989,12.395923,12.644912,0,10,2,2,128,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,752312259.622529,752.312260,0.752312,223840768,0.299901,13.417315,13.717216,0,10,16,16,128,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,108642262.211922,108.642262,0.108642,27980096,0.259225,12.376099,12.635324,0,10,2,2,16,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,181254119.042350,181.254119,0.181254,27980096,0.159666,13.361173,13.520839,0,10,16,16,16,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,389165073.008847,389.165073,0.389165,111920384,0.289078,12.385654,12.674732,0,10,2,2,64,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,419112403.508226,419.112404,0.419112,111920384,0.272009,13.409801,13.681810,0,10,16,16,64,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,729703574.263994,729.703574,0.729704,223840768,0.307541,12.345240,12.652781,0,10,2,2,128,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,673629452.238628,673.629452,0.673629,223840768,0.336222,13.433794,13.770016,0,10,16,16,128,32,101492,101492,874378,1748756,24,8,3.000000,14,3
