Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,79249529.868642,79.249530,0.079250,1748756,0.053187,50.367987,50.421174,0,10,2,2,16,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,45090799.085144,45.090799,0.045091,1748756,0.054332,50.858420,50.912752,0,10,4,4,16,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,15464753.175834,15.464753,0.015465,1748756,0.126867,52.069887,52.196754,0,10,16,16,16,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,50096687.593659,50.096688,0.050097,1748756,0.049557,50.509655,50.559212,0,10,2,2,64,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,26578011.149647,26.578011,0.026578,1748756,0.079192,50.651212,50.730404,0,10,4,4,64,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,7337323.389869,7.337323,0.007337,1748756,0.264350,51.984494,52.248845,0,10,16,16,64,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,38385461.842120,38.385462,0.038385,1748756,0.071297,50.463200,50.534497,0,10,2,2,128,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,28428529.321722,28.428529,0.028429,1748756,0.075079,50.417868,50.492947,0,10,4,4,128,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,4509126.452373,4.509126,0.004509,1748756,0.404701,51.976468,52.381169,0,10,16,16,128,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,61142115.605815,61.142116,0.061142,1748756,0.059095,50.597679,50.656774,0,10,2,2,16,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,61163477.794883,61.163478,0.061163,1748756,0.047619,50.655102,50.702721,0,10,4,4,16,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,23006269.299889,23.006269,0.023006,1748756,0.088018,52.086218,52.174237,0,10,16,16,16,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,49750721.373598,49.750721,0.049751,1748756,0.061527,50.702491,50.764018,0,10,2,2,64,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,30896046.955032,30.896047,0.030896,1748756,0.078734,50.798583,50.877317,0,10,4,4,64,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,12633185.468299,12.633185,0.012633,1748756,0.145546,52.520744,52.666290,0,10,16,16,64,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,51525107.820500,51.525108,0.051525,1748756,0.054948,50.805512,50.860460,0,10,2,2,128,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,28612295.922015,28.612296,0.028612,1748756,0.075685,50.857797,50.933482,0,10,4,4,128,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,6985967.664841,6.985968,0.006986,1748756,0.263279,51.960581,52.223860,0,10,16,16,128,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,90156209.650942,90.156210,0.090156,1748756,0.038992,51.750467,51.789459,0,10,2,2,16,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,55363704.707945,55.363705,0.055364,1748756,0.056122,50.706562,50.762684,0,10,4,4,16,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,37059340.272282,37.059340,0.037059,1748756,0.057023,52.101913,52.158936,0,10,16,16,16,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,52701155.259490,52.701155,0.052701,1748756,0.055359,50.727572,50.782931,0,10,2,2,64,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,33374900.571294,33.374901,0.033375,1748756,0.067744,50.910018,50.977762,0,10,4,4,64,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,16568290.071902,16.568290,0.016568,1748756,0.116155,52.117581,52.233736,0,10,16,16,64,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,40166813.269749,40.166813,0.040167,1748756,0.065701,50.591278,50.656979,0,10,2,2,128,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,54414397.944507,54.414398,0.054414,1748756,0.036935,50.713204,50.750139,0,10,4,4,128,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP,O2,9676528.936458,9.676529,0.009677,1748756,0.199489,52.011986,52.211475,0,10,16,16,128,32,101492,101492,874378,1748756,24,8,3.000000,14,3
