Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,138025.601252,0.138026,0.000138,1748756,17.162898,52.949944,70.112842,0,10,2,2,16,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,130920.645041,0.130921,0.000131,1748756,22.368076,53.336213,75.704289,0,10,4,4,16,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,176488.693483,0.176489,0.000176,1748756,12.198941,54.281761,66.480702,0,10,16,16,16,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,158227.443289,0.158227,0.000158,1748756,13.855196,53.066123,66.921319,0,10,2,2,64,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,155578.909256,0.155579,0.000156,1748756,17.830287,53.107043,70.937330,0,10,4,4,64,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,150964.223913,0.150964,0.000151,1748756,15.993404,54.473623,70.467027,0,10,16,16,64,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,163532.194804,0.163532,0.000164,1748756,16.734733,53.158801,69.893534,0,10,2,2,128,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,147022.482802,0.147022,0.000147,1748756,17.830201,53.216362,71.046563,0,10,4,4,128,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,146202.300588,0.146202,0.000146,1748756,16.364927,54.701110,71.066036,0,10,16,16,128,8,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,220044.309605,0.220044,0.000220,1748756,13.459300,52.732970,66.192270,0,10,2,2,16,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,174123.069604,0.174123,0.000174,1748756,15.588086,52.926207,68.514293,0,10,4,4,16,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,213808.249331,0.213808,0.000214,1748756,13.590084,53.845717,67.435801,0,10,16,16,16,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,195113.726193,0.195114,0.000195,1748756,14.406371,52.975897,67.382268,0,10,2,2,64,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,245077.076868,0.245077,0.000245,1748756,12.546311,53.377631,65.923942,0,10,4,4,64,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,181817.597457,0.181818,0.000182,1748756,17.070859,54.662701,71.733559,0,10,16,16,64,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,154750.557513,0.154751,0.000155,1748756,16.968268,52.973157,69.941425,0,10,2,2,128,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,227410.959519,0.227411,0.000227,1748756,12.984643,53.263070,66.247713,0,10,4,4,128,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,189494.184589,0.189494,0.000189,1748756,15.106720,54.861924,69.968644,0,10,16,16,128,16,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,218248.771653,0.218249,0.000218,1748756,12.850246,52.871070,65.721317,0,10,2,2,16,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,240807.180674,0.240807,0.000241,1748756,11.710914,53.384260,65.095174,0,10,4,4,16,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,289256.875376,0.289257,0.000289,1748756,10.370629,54.991434,65.362063,0,10,16,16,16,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,282660.527808,0.282661,0.000283,1748756,10.808201,53.069602,63.877803,0,10,2,2,64,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,212796.003925,0.212796,0.000213,1748756,12.255224,53.485104,65.740328,0,10,4,4,64,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,252208.908895,0.252209,0.000252,1748756,10.997113,54.308814,65.305927,0,10,16,16,64,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,264895.970950,0.264896,0.000265,1748756,10.885120,53.015694,63.900814,0,10,2,2,128,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,300498.861791,0.300499,0.000300,1748756,10.868651,53.233059,64.101710,0,10,4,4,128,32,101492,101492,874378,1748756,24,8,3.000000,14,3
BCSR OMP Transpose,O2,203033.304629,0.203033,0.000203,1748756,12.728462,54.615215,67.343677,0,10,16,16,128,32,101492,101492,874378,1748756,24,8,3.000000,14,3
