,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation,Unnamed: 0
0,BCSR Serial,O2,47312892.38072,47.312892,0.047313,1748756,0.037006,12.733489,12.770495,0,10,2,2,16,-1,101492,101492,874378,1748756,24,8,3.0,14,3,
1,BCSR Serial,O2,22153749.15834,22.153749,0.022154,1748756,0.079029,12.800462,12.879491,0,10,4,4,16,-1,101492,101492,874378,1748756,24,8,3.0,14,3,
2,BCSR Serial,O2,4470060.424865,4.47006,0.00447,1748756,0.391217,14.350543,14.741761,0,10,16,16,16,-1,101492,101492,874378,1748756,24,8,3.0,14,3,
3,BCSR Serial,O2,21484771.178802,21.484771,0.021485,1748756,0.081446,12.546155,12.627601,0,10,2,2,64,-1,101492,101492,874378,1748756,24,8,3.0,14,3,
4,BCSR Serial,O2,9422330.557027,9.422331,0.009422,1748756,0.185616,12.621865,12.807481,0,10,4,4,64,-1,101492,101492,874378,1748756,24,8,3.0,14,3,
5,BCSR Serial,O2,1607151.66959,1.607152,0.001607,1748756,1.088109,13.666568,14.754677,0,10,16,16,64,-1,101492,101492,874378,1748756,24,8,3.0,14,3,
6,BCSR Serial,O2,11570631.870683,11.570632,0.011571,1748756,0.15114,12.625164,12.776304,0,10,2,2,128,-1,101492,101492,874378,1748756,24,8,3.0,14,3,
7,BCSR Serial,O2,4727631.323362,4.727631,0.004728,1748756,0.369902,12.785415,13.155316,0,10,4,4,128,-1,101492,101492,874378,1748756,24,8,3.0,14,3,
8,BCSR Serial,O2,860267.571192,0.860268,0.00086,1748756,2.032805,13.863825,15.89663,0,10,16,16,128,-1,101492,101492,874378,1748756,24,8,3.0,14,3,
9,BCSR Serial,O2,47312892.38072,47.312892,0.047313,1748756,0.037006,12.733489,12.770495,0,10,2,2,16,-1,101492,101492,874378,1748756,24,8,3.0,14,3,0.0
10,BCSR Serial,O2,22153749.15834,22.153749,0.022154,1748756,0.079029,12.800462,12.879491,0,10,4,4,16,-1,101492,101492,874378,1748756,24,8,3.0,14,3,1.0
11,BCSR Serial,O2,4470060.424865,4.47006,0.00447,1748756,0.391217,14.350543,14.741761,0,10,16,16,16,-1,101492,101492,874378,1748756,24,8,3.0,14,3,2.0
12,BCSR Serial,O2,21484771.178802,21.484771,0.021485,1748756,0.081446,12.546155,12.627601,0,10,2,2,64,-1,101492,101492,874378,1748756,24,8,3.0,14,3,3.0
13,BCSR Serial,O2,9422330.557027,9.422331,0.009422,1748756,0.185616,12.621865,12.807481,0,10,4,4,64,-1,101492,101492,874378,1748756,24,8,3.0,14,3,4.0
14,BCSR Serial,O2,1607151.66959,1.607152,0.001607,1748756,1.088109,13.666568,14.754677,0,10,16,16,64,-1,101492,101492,874378,1748756,24,8,3.0,14,3,5.0
15,BCSR Serial,O2,11570631.870683,11.570632,0.011571,1748756,0.15114,12.625164,12.776304,0,10,2,2,128,-1,101492,101492,874378,1748756,24,8,3.0,14,3,6.0
16,BCSR Serial,O2,4727631.323362,4.727631,0.004728,1748756,0.369902,12.785415,13.155316,0,10,4,4,128,-1,101492,101492,874378,1748756,24,8,3.0,14,3,7.0
17,BCSR Serial,O2,860267.571192,0.860268,0.00086,1748756,2.032805,13.863825,15.89663,0,10,16,16,128,-1,101492,101492,874378,1748756,24,8,3.0,14,3,8.0
18,BCSR Serial,O2,799838308.21033,799.838308,0.799838,27980096,0.034995,12.710248,12.745243,0,10,2,2,16,-1,101492,101492,874378,1748756,24,8,3.0,14,3,9.0
19,BCSR Serial,O2,77467246.271486,77.467246,0.077467,27980096,0.361193,13.79644,14.157633,0,10,16,16,16,-1,101492,101492,874378,1748756,24,8,3.0,14,3,10.0
20,BCSR Serial,O2,1255327900.544558,1255.327901,1.255328,111920384,0.089235,12.672123,12.761359,0,10,2,2,64,-1,101492,101492,874378,1748756,24,8,3.0,14,3,11.0
21,BCSR Serial,O2,102425814.637061,102.425815,0.102426,111920384,1.092697,13.681123,14.77382,0,10,16,16,64,-1,101492,101492,874378,1748756,24,8,3.0,14,3,12.0
22,BCSR Serial,O2,1493158840.024175,1493.15884,1.493159,223840768,0.149914,12.536274,12.686188,0,10,2,2,128,-1,101492,101492,874378,1748756,24,8,3.0,14,3,13.0
23,BCSR Serial,O2,122227392.752186,122.227393,0.122227,223840768,1.831358,13.499975,15.331333,0,10,16,16,128,-1,101492,101492,874378,1748756,24,8,3.0,14,3,14.0
