Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O1,0.064782,111.524842,111.589624,0.436872,0,100,1,1,16,-1,27980096,101492,101492,874378,24,8,14,3
csr_serial_O1,0.067455,111.967447,112.034902,2633.028088,0,100,1,1,16,-1,177484743952,101492,101492,874378,24,8,14,3
ell_serial_O1,0.125445,105.877297,106.002742,3942.312256,0,100,1,1,16,-1,494430051072,101492,101492,874378,24,8,14,3
bcsr_serial_O1,0.075626,840.588655,840.664281,2348.100526,0,100,1,1,16,-1,177484743952,101492,101492,874378,24,8,14,3
bell_serial_O1,0.055812,105.650688,105.706500,0.501724,480176,100,1,1,16,-1,27980096,101492,101492,874378,24,8,14,3
bcsr_serial_O1,0.179901,825.087247,825.267148,3389.975251,0,100,2,2,16,-1,609748509216,101492,101492,874378,24,8,14,3
bell_serial_O1,0.066454,105.709410,105.775864,0.421237,480176,100,2,2,16,-1,27980096,101492,101492,874378,24,8,14,3
bcsr_serial_O1,0.337871,856.916115,857.253986,5596.412443,0,100,4,4,16,-1,1890820318080,101492,101492,874378,24,8,14,3
bell_serial_O1,0.074027,105.676477,105.750504,0.378212,480176,100,4,4,16,-1,27980096,101492,101492,874378,24,8,14,3
bcsr_serial_O1,1.469768,825.468396,826.938164,7560.953656,0,100,16,16,16,-1,11112792653824,101492,101492,874378,24,8,14,3
bell_serial_O1,0.082514,105.746800,105.829315,0.339222,480176,100,16,16,16,-1,27980096,101492,101492,874378,24,8,14,3
coo_serial_O2,0.059037,106.670163,106.729200,0.474338,0,100,1,1,16,-1,27980096,101492,101492,874378,24,8,14,3
csr_serial_O2,0.061410,105.454583,105.515993,2891.927538,0,100,1,1,16,-1,177484743952,101492,101492,874378,24,8,14,3
ell_serial_O2,0.112338,106.929395,107.041733,4403.198062,0,100,1,1,16,-1,494430051072,101492,101492,874378,24,8,14,3
bcsr_serial_O2,0.071455,806.380108,806.451563,2485.197565,0,100,1,1,16,-1,177484743952,101492,101492,874378,24,8,14,3
bell_serial_O2,0.058147,106.929676,106.987823,0.481549,480176,100,1,1,16,-1,27980096,101492,101492,874378,24,8,14,3
bcsr_serial_O2,0.162994,801.405011,801.568005,3741.482732,0,100,2,2,16,-1,609748509216,101492,101492,874378,24,8,14,3
bell_serial_O2,0.069032,106.940514,107.009546,0.405530,480176,100,2,2,16,-1,27980096,101492,101492,874378,24,8,14,3
bcsr_serial_O2,0.254648,839.257798,839.512446,7425.743336,0,100,4,4,16,-1,1890820318080,101492,101492,874378,24,8,14,3
bell_serial_O2,0.076414,106.947953,107.024367,0.366364,480176,100,4,4,16,-1,27980096,101492,101492,874378,24,8,14,3
bcsr_serial_O2,1.053274,809.998665,811.051939,10550.783005,0,100,16,16,16,-1,11112792653824,101492,101492,874378,24,8,14,3
bell_serial_O2,0.084895,106.940229,107.025124,0.329701,480176,100,16,16,16,-1,27980096,101492,101492,874378,24,8,14,3
coo_serial_O3,0.057107,105.443544,105.500651,0.490206,0,100,1,1,16,-1,27980096,101492,101492,874378,24,8,14,3
csr_serial_O3,0.062117,106.982107,107.044224,2858.584879,0,100,1,1,16,-1,177484743952,101492,101492,874378,24,8,14,3
ell_serial_O3,0.109012,105.660281,105.769293,4537.250538,0,100,1,1,16,-1,494430051072,101492,101492,874378,24,8,14,3
bcsr_serial_O3,0.072170,827.597150,827.669320,2460.876689,0,100,1,1,16,-1,177484743952,101492,101492,874378,24,8,14,3
bell_serial_O3,0.056021,105.729555,105.785576,0.499738,480176,100,1,1,16,-1,27980096,101492,101492,874378,24,8,14,3
bcsr_serial_O3,0.155752,802.527174,802.682926,3915.669984,0,100,2,2,16,-1,609748509216,101492,101492,874378,24,8,14,3
bell_serial_O3,0.066880,105.757722,105.824602,0.418532,480176,100,2,2,16,-1,27980096,101492,101492,874378,24,8,14,3
bcsr_serial_O3,0.250727,839.762582,840.013309,7542.081585,0,100,4,4,16,-1,1890820318080,101492,101492,874378,24,8,14,3
bell_serial_O3,0.075769,106.919556,106.995325,0.369411,480176,100,4,4,16,-1,27980096,101492,101492,874378,24,8,14,3
bcsr_serial_O3,0.947033,809.038072,809.985105,11734.366811,0,100,16,16,16,-1,11112792653824,101492,101492,874378,24,8,14,3
bell_serial_O3,0.082975,105.708883,105.791858,0.337340,480176,100,16,16,16,-1,27980096,101492,101492,874378,24,8,14,3
