Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp_O1,0.000401,0.066001,0.066402,182.999687,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_omp_collapse_O1,0.008917,0.033009,0.041926,8.050447,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_O1,0.001086,0.012908,0.013994,78.486287,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_collapse_O1,0.009385,0.012797,0.022182,7.830286,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_omp_O1,0.000511,0.013781,0.014292,135.327525,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_omp_O1,0.000704,0.012668,0.013372,145.976090,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_omp_collapse_O1,0.005153,0.026455,0.031608,15.314464,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_O1,0.001054,0.012592,0.013646,81.787867,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_collapse_O1,0.005641,0.043375,0.049016,13.990386,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_omp_O1,0.000659,0.012997,0.013656,106.061399,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_omp_O1,0.000496,0.043506,0.044002,207.019704,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_omp_collapse_O1,0.003435,0.032965,0.036400,27.250693,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_O1,0.001358,0.012949,0.014307,63.123218,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_collapse_O1,0.003738,0.069203,0.072941,21.324052,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_omp_O1,0.001149,0.012882,0.014031,65.201945,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_omp_O1,0.000581,0.012714,0.013295,216.850016,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
csr_omp_collapse_O1,0.002244,0.022641,0.024884,43.258553,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_O1,0.001764,0.068971,0.070735,41.454919,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_collapse_O1,0.003332,0.028924,0.032256,23.887525,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_omp_O1,0.001691,0.029172,0.030863,42.370195,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
csr_omp_O2,0.000271,0.036304,0.036575,276.404209,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_omp_collapse_O2,0.008511,0.027873,0.036384,8.189260,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_O2,0.000950,0.012765,0.013715,101.231840,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_collapse_O2,0.008943,0.012899,0.021842,7.908873,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_omp_O2,0.000837,0.024544,0.025381,107.858605,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_omp_O2,0.000468,0.025949,0.026417,240.602098,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_omp_collapse_O2,0.005213,0.024858,0.030071,15.472547,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_O2,0.000653,0.012791,0.013444,108.453878,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_collapse_O2,0.005663,0.015383,0.021046,14.082900,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_omp_O2,0.000821,0.019261,0.020082,101.432884,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_omp_O2,0.000404,0.043047,0.043451,294.158580,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_omp_collapse_O2,0.003315,0.036261,0.039576,27.537677,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_O2,0.001060,0.062297,0.063357,70.824698,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_collapse_O2,0.003891,0.048576,0.052467,21.525001,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_omp_O2,0.001263,0.024111,0.025374,65.624592,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_omp_O2,0.000404,0.026714,0.027118,387.513512,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
csr_omp_collapse_O2,0.002319,0.019081,0.021400,43.656434,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_O2,0.001640,0.012928,0.014568,43.226132,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_collapse_O2,0.003311,0.015460,0.018771,23.834348,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_omp_O2,0.001702,0.013003,0.014705,42.471091,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
csr_omp_O3,0.000388,0.015182,0.015570,198.445123,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_omp_collapse_O3,0.008357,0.021681,0.030038,8.238042,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_O3,0.000772,0.069655,0.070427,104.184094,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_collapse_O3,0.008649,0.017995,0.026644,7.984998,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_omp_O3,0.000570,0.066708,0.067278,128.203508,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
csr_omp_O3,0.000415,0.072283,0.072698,255.031565,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_omp_collapse_O3,0.004774,0.018291,0.023065,15.505855,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_O3,0.000802,0.012904,0.013706,99.207451,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_collapse_O3,0.005404,0.012886,0.018290,14.312658,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_omp_O3,0.000795,0.024145,0.024940,101.395192,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
csr_omp_O3,0.000415,0.022289,0.022704,305.864305,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_omp_collapse_O3,0.003277,0.022203,0.025480,27.702491,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_O3,0.001183,0.012968,0.014151,67.048951,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_collapse_O3,0.003866,0.020400,0.024266,21.790994,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_omp_O3,0.001086,0.016862,0.017948,70.209395,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
csr_omp_O3,0.000329,0.012881,0.013210,330.362436,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
csr_omp_collapse_O3,0.002344,0.012793,0.015137,44.355096,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_O3,0.001612,0.012809,0.014421,43.196368,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_collapse_O3,0.003396,0.016565,0.019961,24.090577,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
csr_transpose_omp_omp_O3,0.001774,0.057699,0.059473,41.240239,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
