Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial,0.002505,0.015925,0.018430,6.720591,512,10,1,1,-1,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.003796,0.015981,0.019778,5.621630,512,10,1,1,1,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.002313,0.013026,0.015339,9.780212,512,10,1,1,2,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.001794,0.014475,0.016269,12.622221,512,10,1,1,4,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.001210,0.011269,0.012479,17.842066,512,10,1,1,8,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.000897,0.011995,0.012892,33.644392,512,10,1,1,16,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.001704,0.015347,0.017051,36.226644,512,10,1,1,32,16777216,512,512,16384,32,32,0,0
csr_omp_gpu,0.017115,0.008448,0.025563,1.671497,512,10,1,1,-1,16777216,512,512,16384,32,32,0,0
bcsr_serial 1 x 1,0.001752,0.041136,0.042888,9.295973,168448,10,1,1,-1,16280576,512,512,16384,32,32,0,0
bcsr_serial 2 x 2,0.004182,0.031569,0.035751,14.228666,168448,10,2,2,-1,59506688,512,512,16384,32,32,0,0
bcsr_serial 4 x 4,0.011483,0.028288,0.039771,14.852067,168448,10,4,4,-1,170541056,512,512,16384,32,32,0,0
bcsr_serial 8 x 8,0.022544,0.047023,0.069567,12.128369,168448,10,8,8,-1,263716864,512,512,16384,32,32,0,0
bcsr_serial 16 x 16,0.017808,0.032161,0.049969,15.075159,168448,10,16,16,-1,268435456,512,512,16384,32,32,0,0
bcsr_serial 32 x 32,0.021034,0.040297,0.061331,13.206504,168448,10,32,32,-1,268435456,512,512,16384,32,32,0,0
bcsr_omp 1 x 1 -t 1,0.002944,0.030102,0.033046,7.069606,168448,10,1,1,1,16280576,512,512,16384,32,32,0,0
bcsr_omp 1 x 1 -t 2,0.002013,0.027463,0.029476,10.791075,168448,10,1,1,2,16280576,512,512,16384,32,32,0,0
bcsr_omp 1 x 1 -t 4,0.001324,0.028025,0.029349,16.415621,168448,10,1,1,4,16280576,512,512,16384,32,32,0,0
bcsr_omp 1 x 1 -t 8,0.000934,0.027658,0.028592,27.904256,168448,10,1,1,8,16280576,512,512,16384,32,32,0,0
bcsr_omp 1 x 1 -t 16,0.000740,0.027827,0.028567,53.489819,168448,10,1,1,16,16280576,512,512,16384,32,32,0,0
bcsr_omp 1 x 1 -t 32,0.001608,0.040329,0.041937,47.743429,168448,10,1,1,32,16280576,512,512,16384,32,32,0,0
bcsr_omp 2 x 2 -t 1,0.007135,0.025467,0.032602,8.610487,168448,10,2,2,1,59506688,512,512,16384,32,32,0,0
bcsr_omp 2 x 2 -t 2,0.004224,0.031901,0.036125,16.250062,168448,10,2,2,2,59506688,512,512,16384,32,32,0,0
bcsr_omp 2 x 2 -t 4,0.002684,0.031647,0.034331,28.372952,168448,10,2,2,4,59506688,512,512,16384,32,32,0,0
bcsr_omp 2 x 2 -t 8,0.001844,0.029474,0.031318,44.686602,168448,10,2,2,8,59506688,512,512,16384,32,32,0,0
bcsr_omp 2 x 2 -t 16,0.001375,0.031339,0.032714,59.406312,168448,10,2,2,16,59506688,512,512,16384,32,32,0,0
bcsr_omp 2 x 2 -t 32,0.002280,0.025368,0.027648,89.536739,168448,10,2,2,32,59506688,512,512,16384,32,32,0,0
bcsr_omp 4 x 4 -t 1,0.019037,0.029905,0.048942,9.034876,168448,10,4,4,1,170541056,512,512,16384,32,32,0,0
bcsr_omp 4 x 4 -t 2,0.010171,0.037324,0.047495,17.516937,168448,10,4,4,2,170541056,512,512,16384,32,32,0,0
bcsr_omp 4 x 4 -t 4,0.005582,0.036282,0.041864,34.355491,168448,10,4,4,4,170541056,512,512,16384,32,32,0,0
bcsr_omp 4 x 4 -t 8,0.003326,0.036224,0.039550,63.426788,168448,10,4,4,8,170541056,512,512,16384,32,32,0,0
bcsr_omp 4 x 4 -t 16,0.002310,0.034910,0.037220,98.997020,168448,10,4,4,16,170541056,512,512,16384,32,32,0,0
bcsr_omp 4 x 4 -t 32,0.003135,0.047719,0.050854,112.712302,168448,10,4,4,32,170541056,512,512,16384,32,32,0,0
bcsr_omp 8 x 8 -t 1,0.028818,0.028752,0.057570,9.210077,168448,10,8,8,1,263716864,512,512,16384,32,32,0,0
bcsr_omp 8 x 8 -t 2,0.015033,0.034310,0.049343,17.997120,168448,10,8,8,2,263716864,512,512,16384,32,32,0,0
bcsr_omp 8 x 8 -t 4,0.008003,0.032290,0.040293,35.326268,168448,10,8,8,4,263716864,512,512,16384,32,32,0,0
bcsr_omp 8 x 8 -t 8,0.004554,0.035349,0.039903,66.976789,168448,10,8,8,8,263716864,512,512,16384,32,32,0,0
bcsr_omp 8 x 8 -t 16,0.002940,0.034116,0.037056,115.409556,168448,10,8,8,16,263716864,512,512,16384,32,32,0,0
bcsr_omp 8 x 8 -t 32,0.005443,0.043831,0.049274,97.753551,168448,10,8,8,32,263716864,512,512,16384,32,32,0,0
bcsr_omp 16 x 16 -t 1,0.020103,0.026216,0.046319,13.524573,168448,10,16,16,1,268435456,512,512,16384,32,32,0,0
bcsr_omp 16 x 16 -t 2,0.016707,0.031932,0.048639,16.442311,168448,10,16,16,2,268435456,512,512,16384,32,32,0,0
bcsr_omp 16 x 16 -t 4,0.008152,0.033079,0.041231,35.537217,168448,10,16,16,4,268435456,512,512,16384,32,32,0,0
bcsr_omp 16 x 16 -t 8,0.004579,0.032661,0.037239,67.785882,168448,10,16,16,8,268435456,512,512,16384,32,32,0,0
bcsr_omp 16 x 16 -t 16,0.002890,0.030531,0.033421,121.756479,168448,10,16,16,16,268435456,512,512,16384,32,32,0,0
bcsr_omp 16 x 16 -t 32,0.005358,0.037394,0.042752,100.841187,168448,10,16,16,32,268435456,512,512,16384,32,32,0,0
bcsr_omp 32 x 32 -t 1,0.020440,0.025449,0.045889,13.405975,168448,10,32,32,1,268435456,512,512,16384,32,32,0,0
bcsr_omp 32 x 32 -t 2,0.010786,0.031750,0.042536,26.167619,168448,10,32,32,2,268435456,512,512,16384,32,32,0,0
bcsr_omp 32 x 32 -t 4,0.008047,0.030926,0.038973,35.707430,168448,10,32,32,4,268435456,512,512,16384,32,32,0,0
bcsr_omp 32 x 32 -t 8,0.004629,0.032451,0.037080,67.361007,168448,10,32,32,8,268435456,512,512,16384,32,32,0,0
bcsr_omp 32 x 32 -t 16,0.002976,0.031815,0.034791,114.612691,168448,10,32,32,16,268435456,512,512,16384,32,32,0,0
bcsr_omp 32 x 32 -t 32,0.003570,0.041544,0.045114,118.730295,168448,10,32,32,32,268435456,512,512,16384,32,32,0,0
bcsr_omp_gpu 1 x 1,0.016007,0.024191,0.040198,1.834092,168448,10,1,1,-1,16280576,512,512,16384,32,32,0,0
bcsr_omp_gpu 2 x 2,0.056231,0.037955,0.094186,1.220429,168448,10,2,2,-1,59506688,512,512,16384,32,32,0,0
bcsr_omp_gpu 4 x 4,0.272660,0.029761,0.302421,0.629284,168448,10,4,4,-1,170541056,512,512,16384,32,32,0,0
bcsr_omp_gpu 8 x 8,0.490032,0.043199,0.533231,0.539987,168448,10,8,8,-1,263716864,512,512,16384,32,32,0,0
bcsr_omp_gpu 16 x 16,0.755924,0.039112,0.795036,0.355621,168448,10,16,16,-1,268435456,512,512,16384,32,32,0,0
bcsr_omp_gpu 32 x 32,1.250506,0.038128,1.288634,0.214780,168448,10,32,32,-1,268435456,512,512,16384,32,32,0,0
