Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial,0.003103,0.014935,0.018038,5.406742,0,1,1,1,-1,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.006996,0.014245,0.021241,2.398144,0,1,1,1,1,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.007673,0.015297,0.022970,2.186519,0,1,1,1,2,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.005737,0.014772,0.020509,2.924355,0,1,1,1,4,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.004899,0.013637,0.018536,3.424603,0,1,1,1,8,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.005447,0.017882,0.023329,3.079999,0,1,1,1,16,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.022001,0.010993,0.032994,0.762565,0,1,1,1,32,16777216,512,512,16384,32,32,0,0
csr_omp_gpu,0.120464,0.011868,0.132332,0.139272,0,1,1,1,-1,16777216,512,512,16384,32,32,0,0
ell_serial,0.003826,0.020475,0.024301,4.384892,0,1,1,1,-1,16777216,512,512,16384,32,32,0,0
ell_omp -t 1,0.007839,0.016426,0.024265,2.140234,0,1,1,1,1,16777216,512,512,16384,32,32,0,0
ell_omp -t 2,0.007782,0.016282,0.024064,2.155905,0,1,1,1,2,16777216,512,512,16384,32,32,0,0
ell_omp -t 4,0.005729,0.017657,0.023386,2.928492,0,1,1,1,4,16777216,512,512,16384,32,32,0,0
ell_omp -t 8,0.005209,0.013035,0.018244,3.220832,0,1,1,1,8,16777216,512,512,16384,32,32,0,0
ell_omp -t 16,0.005210,0.009044,0.014254,3.220243,0,1,1,1,16,16777216,512,512,16384,32,32,0,0
ell_omp -t 32,0.029076,0.018281,0.047357,0.577011,0,1,1,1,32,16777216,512,512,16384,32,32,0,0
ell_omp_gpu,0.120014,0.013646,0.133660,0.139794,0,1,1,1,-1,16777216,512,512,16384,32,32,0,0
