Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
coo_serial,0.060419,0.070980,0.131399,0,100,1,1,-1,512,512,262144,0,0
coo_omp -t 512x512,0.007312,0.074345,0.081657,0,100,1,1,1,512,512,262144,0,0
coo_omp -t 512x512,0.006855,0.065279,0.072134,0,100,1,1,2,512,512,262144,0,0
coo_omp -t 512x512,0.007880,0.067357,0.075236,0,100,1,1,4,512,512,262144,0,0
coo_omp -t 512x512,0.009156,0.086052,0.095208,0,100,1,1,8,512,512,262144,0,0
coo_omp -t 512x512,0.010197,0.062108,0.072305,0,100,1,1,16,512,512,262144,0,0
coo_omp -t 512x512,0.008190,0.070409,0.078599,0,100,1,1,32,512,512,262144,0,0
csr_serial,0.063296,0.066265,0.129560,0,100,1,1,-1,512,512,262144,0,0
csr_omp -t 512x512,0.029933,0.064904,0.094837,0,100,1,1,1,512,512,262144,0,0
csr_omp -t 512x512,0.017099,0.065400,0.082499,0,100,1,1,2,512,512,262144,0,0
csr_omp -t 512x512,0.011105,0.061625,0.072730,0,100,1,1,4,512,512,262144,0,0
csr_omp -t 512x512,0.008909,0.064358,0.073267,0,100,1,1,8,512,512,262144,0,0
csr_omp -t 512x512,0.008635,0.064641,0.073276,0,100,1,1,16,512,512,262144,0,0
csr_omp -t 512x512,0.007961,0.063877,0.071838,0,100,1,1,32,512,512,262144,0,0
ell_serial,0.062459,0.069751,0.132210,0,100,1,1,-1,512,512,262144,512,512
ell_omp -t 1,0.029672,0.074736,0.104408,0,100,1,1,1,512,512,262144,512,512
ell_omp -t 2,0.016768,0.073713,0.090481,0,100,1,1,2,512,512,262144,512,512
ell_omp -t 4,0.010813,0.078008,0.088821,0,100,1,1,4,512,512,262144,512,512
ell_omp -t 8,0.008885,0.071059,0.079944,0,100,1,1,8,512,512,262144,512,512
ell_omp -t 16,0.008353,0.085700,0.094053,0,100,1,1,16,512,512,262144,512,512
ell_omp -t 32,0.007817,0.071670,0.079487,0,100,1,1,32,512,512,262144,512,512
bcsr_serial 1 x 1,0.069781,0.160262,0.230043,2048,100,1,1,-1,512,512,262144,0,0
bcsr_serial 2 x 2,0.071063,0.127812,0.198875,2048,100,2,2,-1,512,512,262144,0,0
bcsr_serial 4 x 4,0.071507,0.133145,0.204652,2048,100,4,4,-1,512,512,262144,0,0
bcsr_serial 8 x 8,0.071815,0.122925,0.194740,2048,100,8,8,-1,512,512,262144,0,0
bcsr_serial 16 x 16,0.071109,0.124084,0.195193,2048,100,16,16,-1,512,512,262144,0,0
bcsr_serial 32 x 32,0.070288,0.118634,0.188922,2048,100,32,32,-1,512,512,262144,0,0
bcsr_omp 1 x 1 -t 1,0.017996,0.163822,0.181818,2048,100,1,1,1,512,512,262144,0,0
bcsr_omp 1 x 1 -t 2,0.010171,0.161078,0.171249,2048,100,1,1,2,512,512,262144,0,0
bcsr_omp 1 x 1 -t 4,0.006360,0.161187,0.167547,2048,100,1,1,4,512,512,262144,0,0
