Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp -t 512x8,0.005436,0.007873,0.013309,0.771553,0,1,1,1,1,4194304,512,512,4096,8,8,0,0
csr_omp -t 512x8,0.005051,0.006085,0.011136,0.830368,0,1,1,1,2,4194304,512,512,4096,8,8,0,0
csr_omp -t 512x8,0.004406,0.006251,0.010657,0.951958,0,1,1,1,4,4194304,512,512,4096,8,8,0,0
csr_omp -t 512x8,0.004775,0.004982,0.009757,0.878380,0,1,1,1,8,4194304,512,512,4096,8,8,0,0
csr_omp -t 512x8,0.005327,0.006596,0.011923,0.787369,0,1,1,1,16,4194304,512,512,4096,8,8,0,0
csr_omp -t 512x8,0.013952,0.005137,0.019089,0.300623,0,1,1,1,32,4194304,512,512,4096,8,8,0,0
csr_omp_gpu,0.112878,0.006009,0.118887,0.037158,0,1,1,1,-1,4194304,512,512,4096,8,8,0,0
bcsr_omp 1 x 1 -t 1,0.005020,0.027027,0.032047,0.830192,13312,1,1,1,1,4167680,512,512,4096,8,8,0,0
bcsr_omp 1 x 1 -t 2,0.004420,0.027902,0.032322,0.942905,13312,1,1,1,2,4167680,512,512,4096,8,8,0,0
bcsr_omp 1 x 1 -t 4,0.004391,0.024088,0.028479,0.949151,13312,1,1,1,4,4167680,512,512,4096,8,8,0,0
bcsr_omp 1 x 1 -t 8,0.004027,0.026671,0.030698,1.034963,13312,1,1,1,8,4167680,512,512,4096,8,8,0,0
bcsr_omp 1 x 1 -t 16,0.004570,0.025189,0.029759,0.912011,13312,1,1,1,16,4167680,512,512,4096,8,8,0,0
bcsr_omp 1 x 1 -t 32,0.029921,0.023118,0.053039,0.139289,13312,1,1,1,32,4167680,512,512,4096,8,8,0,0
bcsr_omp 2 x 2 -t 1,0.005474,0.023564,0.029038,2.981166,13312,1,2,2,1,16318464,512,512,4096,8,8,0,0
bcsr_omp 2 x 2 -t 2,0.005899,0.023403,0.029302,2.766333,13312,1,2,2,2,16318464,512,512,4096,8,8,0,0
bcsr_omp 2 x 2 -t 4,0.005081,0.023755,0.028836,3.211703,13312,1,2,2,4,16318464,512,512,4096,8,8,0,0
bcsr_omp 2 x 2 -t 8,0.004826,0.027349,0.032175,3.381316,13312,1,2,2,8,16318464,512,512,4096,8,8,0,0
bcsr_omp 2 x 2 -t 16,0.007418,0.028426,0.035844,2.199871,13312,1,2,2,16,16318464,512,512,4096,8,8,0,0
bcsr_omp 2 x 2 -t 32,0.013898,0.028140,0.042038,1.174168,13312,1,2,2,32,16318464,512,512,4096,8,8,0,0
bcsr_omp 4 x 4 -t 1,0.013215,0.026707,0.039922,4.553857,13312,1,4,4,1,60178432,512,512,4096,8,8,0,0
bcsr_omp 4 x 4 -t 2,0.010388,0.030130,0.040518,5.792996,13312,1,4,4,2,60178432,512,512,4096,8,8,0,0
bcsr_omp 4 x 4 -t 4,0.007944,0.028859,0.036803,7.575457,13312,1,4,4,4,60178432,512,512,4096,8,8,0,0
bcsr_omp 4 x 4 -t 8,0.006226,0.029289,0.035515,9.665938,13312,1,4,4,8,60178432,512,512,4096,8,8,0,0
bcsr_omp 4 x 4 -t 16,0.005774,0.028672,0.034446,10.422274,13312,1,4,4,16,60178432,512,512,4096,8,8,0,0
bcsr_omp 4 x 4 -t 32,0.014296,0.032280,0.046576,4.209513,13312,1,4,4,32,60178432,512,512,4096,8,8,0,0
bcsr_omp 8 x 8 -t 1,0.024724,0.030255,0.054979,6.960746,13312,1,8,8,1,172097536,512,512,4096,8,8,0,0
bcsr_omp 8 x 8 -t 2,0.016672,0.033628,0.050300,10.322466,13312,1,8,8,2,172097536,512,512,4096,8,8,0,0
bcsr_omp 8 x 8 -t 4,0.014746,0.032355,0.047101,11.670645,13312,1,8,8,4,172097536,512,512,4096,8,8,0,0
bcsr_omp 8 x 8 -t 8,0.009542,0.036093,0.045635,18.035815,13312,1,8,8,8,172097536,512,512,4096,8,8,0,0
bcsr_omp 8 x 8 -t 16,0.007298,0.036253,0.043551,23.581489,13312,1,8,8,16,172097536,512,512,4096,8,8,0,0
bcsr_omp 8 x 8 -t 32,0.014548,0.033171,0.047719,11.829584,13312,1,8,8,32,172097536,512,512,4096,8,8,0,0
bcsr_omp 16 x 16 -t 1,0.035884,0.030176,0.066060,7.378390,13312,1,16,16,1,264765440,512,512,4096,8,8,0,0
bcsr_omp 16 x 16 -t 2,0.023562,0.034977,0.058539,11.236990,13312,1,16,16,2,264765440,512,512,4096,8,8,0,0
bcsr_omp 16 x 16 -t 4,0.017067,0.030833,0.047900,15.513337,13312,1,16,16,4,264765440,512,512,4096,8,8,0,0
bcsr_omp 16 x 16 -t 8,0.012120,0.033118,0.045238,21.845318,13312,1,16,16,8,264765440,512,512,4096,8,8,0,0
bcsr_omp 16 x 16 -t 16,0.008545,0.031381,0.039926,30.984257,13312,1,16,16,16,264765440,512,512,4096,8,8,0,0
bcsr_omp 16 x 16 -t 32,0.014792,0.035521,0.050313,17.899274,13312,1,16,16,32,264765440,512,512,4096,8,8,0,0
bcsr_omp 32 x 32 -t 1,0.036467,0.026902,0.063369,7.361084,13312,1,32,32,1,268435456,512,512,4096,8,8,0,0
bcsr_omp 32 x 32 -t 2,0.024571,0.030298,0.054869,10.924915,13312,1,32,32,2,268435456,512,512,4096,8,8,0,0
bcsr_omp 32 x 32 -t 4,0.018193,0.027607,0.045800,14.754871,13312,1,32,32,4,268435456,512,512,4096,8,8,0,0
bcsr_omp 32 x 32 -t 8,0.012212,0.029845,0.042057,21.981217,13312,1,32,32,8,268435456,512,512,4096,8,8,0,0
bcsr_omp 32 x 32 -t 16,0.008329,0.030269,0.038598,32.229344,13312,1,32,32,16,268435456,512,512,4096,8,8,0,0
bcsr_omp 32 x 32 -t 32,0.015543,0.032825,0.048368,17.270523,13312,1,32,32,32,268435456,512,512,4096,8,8,0,0
bcsr_omp_gpu 1 x 1,0.115580,0.024336,0.139916,0.036059,13312,1,1,1,-1,4167680,512,512,4096,8,8,0,0
bcsr_omp_gpu 2 x 2,0.125102,0.025020,0.150122,0.130441,13312,1,2,2,-1,16318464,512,512,4096,8,8,0,0
bcsr_omp_gpu 4 x 4,0.216159,0.028433,0.244592,0.278399,13312,1,4,4,-1,60178432,512,512,4096,8,8,0,0
bcsr_omp_gpu 8 x 8,0.428966,0.031389,0.460355,0.401192,13312,1,8,8,-1,172097536,512,512,4096,8,8,0,0
bcsr_omp_gpu 16 x 16,0.822730,0.021966,0.844696,0.321813,13312,1,16,16,-1,264765440,512,512,4096,8,8,0,0
bcsr_omp_gpu 32 x 32,1.318566,0.019834,1.338400,0.203581,13312,1,32,32,-1,268435456,512,512,4096,8,8,0,0
