Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_O1,0.000054,0.001979,0.002033,18.697202,0,100,1,1,16,8,262144,512,512,8192,16,16,0,0
coo_omp_collapse_O1,0.000129,0.001861,0.001990,18.180253,0,100,1,1,16,8,262144,512,512,8192,16,16,0,0
coo_transpose_omp_O1,0.000638,0.001945,0.002583,0.498426,0,100,1,1,16,8,262144,512,512,8192,16,16,0,0
coo_transpose_omp_collapse_O1,0.000570,0.001835,0.002405,0.490901,0,100,1,1,16,8,262144,512,512,8192,16,16,0,0
coo_transpose_omp_omp_O1,0.001371,0.001815,0.003186,0.195844,0,100,1,1,16,8,262144,512,512,8192,16,16,0,0
coo_omp_O1,0.000047,0.001787,0.001834,30.298431,0,100,1,1,16,16,262144,512,512,8192,16,16,0,0
coo_omp_collapse_O1,0.000129,0.001845,0.001974,16.759403,0,100,1,1,16,16,262144,512,512,8192,16,16,0,0
coo_transpose_omp_O1,0.000636,0.001842,0.002478,0.497642,0,100,1,1,16,16,262144,512,512,8192,16,16,0,0
coo_transpose_omp_collapse_O1,0.000642,0.001845,0.002487,0.496962,0,100,1,1,16,16,262144,512,512,8192,16,16,0,0
coo_transpose_omp_omp_O1,0.001486,0.001809,0.003295,0.188716,0,100,1,1,16,16,262144,512,512,8192,16,16,0,0
coo_omp_O1,0.000050,0.001807,0.001856,28.454054,0,100,1,1,16,32,262144,512,512,8192,16,16,0,0
coo_omp_collapse_O1,0.000126,0.001834,0.001959,22.320003,0,100,1,1,16,32,262144,512,512,8192,16,16,0,0
coo_transpose_omp_O1,0.000650,0.001839,0.002489,0.486629,0,100,1,1,16,32,262144,512,512,8192,16,16,0,0
coo_transpose_omp_collapse_O1,0.000645,0.001832,0.002477,0.493980,0,100,1,1,16,32,262144,512,512,8192,16,16,0,0
coo_transpose_omp_omp_O1,0.001482,0.001841,0.003323,0.189133,0,100,1,1,16,32,262144,512,512,8192,16,16,0,0
coo_omp_O1,0.000047,0.001815,0.001862,30.157541,0,100,1,1,16,64,262144,512,512,8192,16,16,0,0
coo_omp_collapse_O1,0.000087,0.001812,0.001899,22.915777,0,100,1,1,16,64,262144,512,512,8192,16,16,0,0
coo_transpose_omp_O1,0.000649,0.001819,0.002467,0.486392,0,100,1,1,16,64,262144,512,512,8192,16,16,0,0
coo_transpose_omp_collapse_O1,0.000559,0.001830,0.002389,0.500657,0,100,1,1,16,64,262144,512,512,8192,16,16,0,0
coo_transpose_omp_omp_O1,0.001456,0.002208,0.003664,0.193873,0,100,1,1,16,64,262144,512,512,8192,16,16,0,0
coo_omp_O2,0.000047,0.001870,0.001917,29.808577,0,100,1,1,16,8,262144,512,512,8192,16,16,0,0
coo_omp_collapse_O2,0.000105,0.001814,0.001919,30.913309,0,100,1,1,16,8,262144,512,512,8192,16,16,0,0
coo_transpose_omp_O2,0.000632,0.001832,0.002464,0.500194,0,100,1,1,16,8,262144,512,512,8192,16,16,0,0
coo_transpose_omp_collapse_O2,0.000551,0.001842,0.002393,0.507517,0,100,1,1,16,8,262144,512,512,8192,16,16,0,0
coo_transpose_omp_omp_O2,0.001451,0.001854,0.003305,0.193608,0,100,1,1,16,8,262144,512,512,8192,16,16,0,0
coo_omp_O2,0.000046,0.001849,0.001895,31.136790,0,100,1,1,16,16,262144,512,512,8192,16,16,0,0
coo_omp_collapse_O2,0.000126,0.001798,0.001924,19.236378,0,100,1,1,16,16,262144,512,512,8192,16,16,0,0
coo_transpose_omp_O2,0.000639,0.001852,0.002491,0.494775,0,100,1,1,16,16,262144,512,512,8192,16,16,0,0
coo_transpose_omp_collapse_O2,0.000566,0.001839,0.002405,0.495294,0,100,1,1,16,16,262144,512,512,8192,16,16,0,0
coo_transpose_omp_omp_O2,0.001420,0.001879,0.003299,0.190974,0,100,1,1,16,16,262144,512,512,8192,16,16,0,0
coo_omp_O2,0.000048,0.001891,0.001939,29.466951,0,100,1,1,16,32,262144,512,512,8192,16,16,0,0
coo_omp_collapse_O2,0.000126,0.001884,0.002010,20.466267,0,100,1,1,16,32,262144,512,512,8192,16,16,0,0
coo_transpose_omp_O2,0.000655,0.001969,0.002624,0.482454,0,100,1,1,16,32,262144,512,512,8192,16,16,0,0
