Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp_O1,0.000230,0.029367,0.029597,97.752027,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_omp_collapse_O1,0.003133,0.005009,0.008142,6.885363,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_O1,0.000870,0.003521,0.004391,26.415237,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_collapse_O1,0.003435,0.007647,0.011082,6.266704,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_omp_O1,0.000417,0.005800,0.006217,42.328253,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_omp_O1,0.000415,0.003519,0.003934,75.476959,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_omp_collapse_O1,0.002126,0.005289,0.007415,11.166888,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_O1,0.000807,0.009905,0.010713,24.232864,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_collapse_O1,0.001896,0.004913,0.006809,9.814253,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_omp_O1,0.000823,0.003468,0.004291,25.073976,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_omp_O1,0.000343,0.010461,0.010804,88.226432,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_omp_collapse_O1,0.001550,0.005331,0.006881,15.684242,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_O1,0.001203,0.007782,0.008985,16.701137,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_collapse_O1,0.002298,0.014271,0.016569,9.777619,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_omp_O1,0.001042,0.003478,0.004520,17.445799,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_omp_O1,0.000350,0.013637,0.013987,102.350682,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
csr_omp_collapse_O1,0.001308,0.003473,0.004781,21.373806,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_O1,0.001655,0.031933,0.033588,10.811159,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_collapse_O1,0.002315,0.003910,0.006225,8.422173,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_omp_O1,0.001662,0.018475,0.020137,10.905008,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
csr_omp_O2,0.000296,0.010465,0.010760,82.786139,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_omp_collapse_O2,0.003123,0.004613,0.007735,6.971576,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_O2,0.000371,0.008878,0.009249,48.607996,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_collapse_O2,0.003376,0.005356,0.008732,6.351024,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_omp_O2,0.000473,0.027077,0.027550,40.425280,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_omp_O2,0.000267,0.019226,0.019493,120.033191,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_omp_collapse_O2,0.001962,0.007910,0.009872,11.288929,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_O2,0.000851,0.028529,0.029380,24.451745,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_collapse_O2,0.002427,0.025711,0.028138,8.888513,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_omp_O2,0.000733,0.025847,0.026580,27.654585,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_omp_O2,0.000212,0.005179,0.005391,144.273478,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_omp_collapse_O2,0.001625,0.004100,0.005725,14.756258,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_O2,0.001088,0.003620,0.004708,17.500601,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_collapse_O2,0.002114,0.026591,0.028705,10.113140,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_omp_O2,0.000940,0.011779,0.012719,19.540999,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_omp_O2,0.000260,0.011919,0.012179,153.252770,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
csr_omp_collapse_O2,0.001304,0.018173,0.019477,21.167355,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_O2,0.001717,0.028558,0.030275,10.647220,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_collapse_O2,0.002282,0.029086,0.031368,8.526249,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_omp_O2,0.001694,0.031080,0.032774,10.922872,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
csr_omp_O3,0.000293,0.003687,0.003980,84.916462,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_omp_collapse_O3,0.002097,0.004287,0.006384,8.094807,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_O3,0.000718,0.006997,0.007715,29.319669,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_collapse_O3,0.003364,0.005823,0.009187,6.325443,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_omp_O3,0.000599,0.005397,0.005996,31.052648,0,100,1,1,16,8,16777216,512,512,16384,32,32,0,0
csr_omp_O3,0.000109,0.007038,0.007147,220.106590,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_omp_collapse_O3,0.002184,0.003874,0.006058,11.052434,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_O3,0.000795,0.005141,0.005936,25.150934,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_collapse_O3,0.002410,0.008394,0.010804,9.348396,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_omp_O3,0.000687,0.004423,0.005110,27.654868,0,100,1,1,16,16,16777216,512,512,16384,32,32,0,0
csr_omp_O3,0.000181,0.010379,0.010560,185.112672,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_omp_collapse_O3,0.001561,0.004954,0.006515,15.880812,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_O3,0.001173,0.003506,0.004679,16.926421,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_collapse_O3,0.002170,0.006697,0.008867,10.037360,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_omp_O3,0.001054,0.003496,0.004550,17.697737,0,100,1,1,16,32,16777216,512,512,16384,32,32,0,0
csr_omp_O3,0.000246,0.025007,0.025253,170.032028,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
csr_omp_collapse_O3,0.001255,0.017214,0.018469,20.873579,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_O3,0.001675,0.003600,0.005275,10.783991,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_collapse_O3,0.002313,0.004657,0.006970,8.375233,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
csr_transpose_omp_omp_O3,0.001697,0.013707,0.015404,10.702461,0,100,1,1,16,64,16777216,512,512,16384,32,32,0,0
