Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
ell_omp_O1,0.000169,0.003246,0.003414,57.305834,0,100,1,1,16,8,8388608,512,512,8192,16,16,0,0
ell_omp_collapse_O1,0.000126,0.013525,0.013651,106.306054,0,100,1,1,16,8,8388608,512,512,8192,16,16,0,0
ell_transpose_omp_O1,0.000883,0.006252,0.007135,10.205561,0,100,1,1,16,8,8388608,512,512,8192,16,16,0,0
ell_transpose_omp_collapse_O1,0.001163,0.023428,0.024591,8.572785,0,100,1,1,16,8,8388608,512,512,8192,16,16,0,0
ell_transpose_omp_omp_O1,0.000352,0.004920,0.005272,25.524867,0,100,1,1,16,8,8388608,512,512,8192,16,16,0,0
ell_omp_O1,0.000278,0.002492,0.002770,43.420053,0,100,1,1,16,16,8388608,512,512,8192,16,16,0,0
ell_omp_collapse_O1,0.000279,0.012204,0.012483,53.515776,0,100,1,1,16,16,8388608,512,512,8192,16,16,0,0
ell_transpose_omp_O1,0.001091,0.015964,0.017055,9.225814,0,100,1,1,16,16,8388608,512,512,8192,16,16,0,0
ell_transpose_omp_collapse_O1,0.000673,0.002879,0.003552,13.089364,0,100,1,1,16,16,8388608,512,512,8192,16,16,0,0
ell_transpose_omp_omp_O1,0.000758,0.005293,0.006051,13.147262,0,100,1,1,16,16,8388608,512,512,8192,16,16,0,0
ell_omp_O1,0.000250,0.015966,0.016216,69.843040,0,100,1,1,16,32,8388608,512,512,8192,16,16,0,0
ell_omp_collapse_O1,0.000212,0.004703,0.004915,71.229016,0,100,1,1,16,32,8388608,512,512,8192,16,16,0,0
ell_transpose_omp_O1,0.000901,0.006410,0.007311,10.482724,0,100,1,1,16,32,8388608,512,512,8192,16,16,0,0
ell_transpose_omp_collapse_O1,0.001592,0.018578,0.020170,7.504819,0,100,1,1,16,32,8388608,512,512,8192,16,16,0,0
ell_transpose_omp_omp_O1,0.001074,0.003556,0.004630,8.937324,0,100,1,1,16,32,8388608,512,512,8192,16,16,0,0
ell_omp_O1,0.000262,0.005294,0.005556,83.065566,0,100,1,1,16,64,8388608,512,512,8192,16,16,0,0
ell_omp_collapse_O1,0.000310,0.003247,0.003557,83.432867,0,100,1,1,16,64,8388608,512,512,8192,16,16,0,0
ell_transpose_omp_O1,0.000633,0.002467,0.003100,14.470399,0,100,1,1,16,64,8388608,512,512,8192,16,16,0,0
ell_transpose_omp_collapse_O1,0.000621,0.002426,0.003047,15.089805,0,100,1,1,16,64,8388608,512,512,8192,16,16,0,0
ell_transpose_omp_omp_O1,0.001603,0.002765,0.004368,5.407195,0,100,1,1,16,64,8388608,512,512,8192,16,16,0,0
ell_omp_O2,0.000252,0.004501,0.004753,49.865870,0,100,1,1,16,8,8388608,512,512,8192,16,16,0,0
ell_omp_collapse_O2,0.000119,0.022126,0.022245,181.648367,0,100,1,1,16,8,8388608,512,512,8192,16,16,0,0
