Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O1,0.327658,60.249698,60.577356,1.405787,0,100,1,1,16,-1,460602144,72000,72000,14393817,481,199,6652,81
csr_serial_O1,0.453613,59.572771,60.026384,4569.425977,0,100,1,1,16,-1,2072709648000,72000,72000,14393817,481,199,6652,81
ell_serial_O1,0.892109,63.239729,64.131839,5590.150221,0,100,1,1,16,-1,4987008000000,72000,72000,14393817,481,199,6652,81
bcsr_serial_O1,0.545099,1026.938843,1027.483942,3802.498660,0,100,1,1,16,-1,2072709648000,72000,72000,14393817,481,199,6652,81
bell_serial_O1,0.322622,62.119028,62.441650,1.427718,14232070,100,1,1,16,-1,460602144,72000,72000,14393817,481,199,6652,81
bcsr_serial_O1,0.578616,1060.380994,1060.959610,4246.696176,0,100,2,2,16,-1,2457175104000,72000,72000,14393817,481,199,6652,81
bell_serial_O1,0.331856,62.060107,62.391963,1.387973,14232070,100,2,2,16,-1,460602144,72000,72000,14393817,481,199,6652,81
bcsr_serial_O1,0.604654,1047.535557,1048.140211,4687.026079,0,100,4,4,16,-1,2833998336000,72000,72000,14393817,481,199,6652,81
bell_serial_O1,0.341225,62.140251,62.481476,1.349889,14232070,100,4,4,16,-1,460602144,72000,72000,14393817,481,199,6652,81
bcsr_serial_O1,1.114554,1011.875276,1012.989831,4630.287333,0,100,16,16,16,-1,5160701952000,72000,72000,14393817,481,199,6652,81
bell_serial_O1,0.359089,62.256623,62.615712,1.282730,14232070,100,16,16,16,-1,460602144,72000,72000,14393817,481,199,6652,81
coo_serial_O2,0.333506,59.630033,59.963539,1.381092,0,100,1,1,16,-1,460602144,72000,72000,14393817,481,199,6652,81
csr_serial_O2,0.385932,59.620747,60.006679,5370.787744,0,100,1,1,16,-1,2072709648000,72000,72000,14393817,481,199,6652,81
ell_serial_O2,0.693369,62.597067,63.290436,7192.492592,0,100,1,1,16,-1,4987008000000,72000,72000,14393817,481,199,6652,81
bcsr_serial_O2,0.420081,885.629223,886.049304,4934.176399,0,100,1,1,16,-1,2072709648000,72000,72000,14393817,481,199,6652,81
bell_serial_O2,0.328906,61.915584,62.244490,1.400448,14232070,100,1,1,16,-1,460602144,72000,72000,14393817,481,199,6652,81
bcsr_serial_O2,0.437906,925.830717,926.268623,5611.308640,0,100,2,2,16,-1,2457175104000,72000,72000,14393817,481,199,6652,81
bell_serial_O2,0.338379,62.004003,62.342382,1.361243,14232070,100,2,2,16,-1,460602144,72000,72000,14393817,481,199,6652,81
bcsr_serial_O2,0.469340,929.648118,930.117459,6038.362195,0,100,4,4,16,-1,2833998336000,72000,72000,14393817,481,199,6652,81
bell_serial_O2,0.347078,61.997515,62.344593,1.327121,14232070,100,4,4,16,-1,460602144,72000,72000,14393817,481,199,6652,81
bcsr_serial_O2,0.829759,866.656050,867.485809,6219.558792,0,100,16,16,16,-1,5160701952000,72000,72000,14393817,481,199,6652,81
bell_serial_O2,0.398657,62.041133,62.439790,1.169876,14232070,100,16,16,16,-1,460602144,72000,72000,14393817,481,199,6652,81
coo_serial_O3,0.329150,62.286857,62.616007,1.399402,0,100,1,1,16,-1,460602144,72000,72000,14393817,481,199,6652,81
csr_serial_O3,0.384801,59.568283,59.953084,5386.584938,0,100,1,1,16,-1,2072709648000,72000,72000,14393817,481,199,6652,81
ell_serial_O3,0.685848,63.177421,63.863269,7271.359087,0,100,1,1,16,-1,4987008000000,72000,72000,14393817,481,199,6652,81
bcsr_serial_O3,0.406687,883.583667,883.990354,5096.692129,0,100,1,1,16,-1,2072709648000,72000,72000,14393817,481,199,6652,81
bell_serial_O3,0.325993,62.010301,62.336293,1.412923,14232070,100,1,1,16,-1,460602144,72000,72000,14393817,481,199,6652,81
bcsr_serial_O3,0.414767,922.762078,923.176845,5924.332671,0,100,2,2,16,-1,2457175104000,72000,72000,14393817,481,199,6652,81
bell_serial_O3,0.338669,61.983011,62.321680,1.360072,14232070,100,2,2,16,-1,460602144,72000,72000,14393817,481,199,6652,81
bcsr_serial_O3,0.444873,946.194319,946.639192,6370.473231,0,100,4,4,16,-1,2833998336000,72000,72000,14393817,481,199,6652,81
bell_serial_O3,0.345460,62.026190,62.371650,1.333347,14232070,100,4,4,16,-1,460602144,72000,72000,14393817,481,199,6652,81
bcsr_serial_O3,0.780565,867.352321,868.132886,6611.532086,0,100,16,16,16,-1,5160701952000,72000,72000,14393817,481,199,6652,81
bell_serial_O3,0.363588,62.171075,62.534663,1.266862,14232070,100,16,16,16,-1,460602144,72000,72000,14393817,481,199,6652,81
