Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_O1,0.000541,0.030967,0.031508,4.292290,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O1,0.000529,0.021641,0.022170,4.544209,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O1,0.010354,0.021980,0.032334,0.102066,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O1,0.010480,0.027869,0.038349,0.102191,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O1,0.025307,0.027200,0.052507,0.041488,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_omp_O1,0.000576,0.030172,0.030749,3.788518,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O1,0.000762,0.022046,0.022808,4.101993,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O1,0.016022,0.022051,0.038073,0.074806,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O1,0.010406,0.028046,0.038451,0.102525,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O1,0.025141,0.029198,0.054339,0.041775,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_omp_O1,0.000533,0.028974,0.029507,4.302814,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O1,0.000360,0.021545,0.021905,4.906547,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O1,0.010554,0.021412,0.031966,0.101460,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O1,0.015623,0.027549,0.043172,0.076538,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O1,0.025215,0.030949,0.056164,0.041709,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_omp_O1,0.000572,0.028602,0.029174,4.244333,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O1,0.002018,0.022085,0.024103,0.660840,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O1,0.011338,0.021502,0.032840,0.101559,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O1,0.010479,0.030477,0.040956,0.102182,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O1,0.024848,0.027608,0.052456,0.042312,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_omp_O2,0.000548,0.030931,0.031479,4.295746,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O2,0.000391,0.021931,0.022322,4.186344,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O2,0.010299,0.021595,0.031894,0.102592,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O2,0.013161,0.029011,0.042172,0.089848,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O2,0.025056,0.026648,0.051704,0.041984,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_omp_O2,0.000440,0.029018,0.029458,4.754022,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O2,0.000765,0.021955,0.022720,4.244440,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O2,0.010560,0.022127,0.032687,0.102567,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O2,0.010416,0.028451,0.038867,0.102773,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O2,0.025094,0.027943,0.053038,0.042069,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_omp_O2,0.000991,0.031185,0.032176,1.677777,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O2,0.000685,0.022101,0.022786,4.239558,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O2,0.015205,0.021995,0.037200,0.078805,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O2,0.010424,0.031726,0.042151,0.102770,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O2,0.025216,0.030042,0.055258,0.041745,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_omp_O2,0.000547,0.030021,0.030568,4.224690,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O2,0.001833,0.022340,0.024173,0.690906,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O2,0.010488,0.022101,0.032589,0.102044,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O2,0.011007,0.028391,0.039398,0.100570,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O2,0.025251,0.028195,0.053446,0.041580,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_omp_O3,0.000563,0.029441,0.030004,4.070688,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O3,0.000453,0.022236,0.022689,5.289938,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O3,0.010603,0.022038,0.032641,0.102133,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O3,0.010380,0.028372,0.038752,0.103184,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O3,0.024994,0.027993,0.052987,0.042043,0,100,1,1,16,8,1048576,1024,1024,32768,32,32,0,0
coo_omp_O3,0.002367,0.030230,0.032597,0.505604,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O3,0.000531,0.022201,0.022732,4.539357,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O3,0.010413,0.022335,0.032748,0.102304,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O3,0.010308,0.027592,0.037900,0.102803,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O3,0.025226,0.029976,0.055202,0.041769,0,100,1,1,16,16,1048576,1024,1024,32768,32,32,0,0
coo_omp_O3,0.000408,0.028846,0.029254,4.231889,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O3,0.000555,0.022396,0.022951,4.094906,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O3,0.010437,0.022586,0.033023,0.102438,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O3,0.010290,0.027824,0.038114,0.102636,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O3,0.025376,0.027753,0.053129,0.041480,0,100,1,1,16,32,1048576,1024,1024,32768,32,32,0,0
coo_omp_O3,0.001036,0.032120,0.033156,1.538949,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_omp_collapse_O3,0.000517,0.022514,0.023031,4.869768,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_O3,0.010475,0.022205,0.032680,0.102204,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_collapse_O3,0.011791,0.031242,0.043033,0.095819,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
coo_transpose_omp_omp_O3,0.025130,0.029886,0.055016,0.041877,0,100,1,1,16,64,1048576,1024,1024,32768,32,32,0,0
