Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial,6.302082,5.990501,12.292583,3.620731,0,10,1,1,-1,22818142720,23560,23560,484256,21,20,1,1
csr_omp -t af23560,6.713267,5.973071,12.686338,3.398967,0,10,1,1,1,22818142720,23560,23560,484256,21,20,1,1
csr_omp -t af23560,4.253441,5.976218,10.229659,5.562011,0,10,1,1,2,22818142720,23560,23560,484256,21,20,1,1
csr_omp -t af23560,2.270031,6.035696,8.305727,10.664765,0,10,1,1,4,22818142720,23560,23560,484256,21,20,1,1
csr_omp -t af23560,1.608650,6.062913,7.671563,15.426410,0,10,1,1,8,22818142720,23560,23560,484256,21,20,1,1
csr_omp -t af23560,1.168136,6.059789,7.227925,20.275182,0,10,1,1,16,22818142720,23560,23560,484256,21,20,1,1
csr_omp -t af23560,1.057433,6.437460,7.494893,22.972156,0,10,1,1,32,22818142720,23560,23560,484256,21,20,1,1
csr_omp_gpu,9.769721,6.102990,15.872711,2.343593,0,10,1,1,-1,22818142720,23560,23560,484256,21,20,1,1
ell_serial,6.408572,6.040633,12.449205,3.637799,0,10,1,1,-1,23313091200,23560,23560,484256,21,20,1,1
ell_omp -t 1,6.829792,6.031055,12.860847,3.413447,0,10,1,1,1,23313091200,23560,23560,484256,21,20,1,1
ell_omp -t 2,4.080742,6.097948,10.178690,5.841204,0,10,1,1,2,23313091200,23560,23560,484256,21,20,1,1
ell_omp -t 4,2.286317,6.160282,8.446599,10.748269,0,10,1,1,4,23313091200,23560,23560,484256,21,20,1,1
ell_omp -t 8,1.435314,6.185243,7.620557,17.063074,0,10,1,1,8,23313091200,23560,23560,484256,21,20,1,1
ell_omp -t 16,1.250581,6.196615,7.447196,19.524925,0,10,1,1,16,23313091200,23560,23560,484256,21,20,1,1
ell_omp -t 32,1.211281,6.568384,7.779665,19.936134,0,10,1,1,32,23313091200,23560,23560,484256,21,20,1,1
ell_omp_gpu,8.556436,6.541657,15.098093,2.731682,0,10,1,1,-1,23313091200,23560,23560,484256,21,20,1,1
