Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,1533177146.062303,1533.177146,1.533177,968512,0.003362,0.967825,0.971187,480,10,2,2,16,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,1168340802.376557,1168.340802,1.168341,968512,0.003311,0.965655,0.968966,480,10,4,4,16,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,325729137.625670,325.729138,0.325729,968512,0.006916,1.020047,1.026964,480,10,16,16,16,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,552997682.649626,552.997683,0.552998,968512,0.005516,0.968080,0.973596,1920,10,2,2,64,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,431096745.810806,431.096746,0.431097,968512,0.005602,0.954384,0.959985,1920,10,4,4,64,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,122476017.135223,122.476017,0.122476,968512,0.012911,1.022681,1.035592,1920,10,16,16,64,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,327746552.045697,327.746552,0.327747,968512,0.007099,0.916166,0.923265,3840,10,2,2,128,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,254783067.751664,254.783068,0.254783,968512,0.007895,0.963130,0.971025,3840,10,4,4,128,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,70130546.794653,70.130547,0.070131,968512,0.020403,0.960507,0.980910,3840,10,16,16,128,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,2945750050.379093,2945.750050,2.945750,968512,0.002024,0.949527,0.951551,480,10,2,2,16,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,2275578796.136451,2275.578796,2.275579,968512,0.002261,0.970937,0.973198,480,10,4,4,16,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,657887100.695822,657.887101,0.657887,968512,0.004692,1.021834,1.026526,480,10,16,16,16,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,1063494846.716135,1063.494847,1.063495,968512,0.003932,0.963601,0.967533,1920,10,2,2,64,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,822379501.937235,822.379502,0.822380,968512,0.004233,0.969026,0.973259,1920,10,4,4,64,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,240411782.325727,240.411782,0.240412,968512,0.009027,1.032167,1.041194,1920,10,16,16,64,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,633017321.622508,633.017322,0.633017,968512,0.005347,0.941606,0.946953,3840,10,2,2,128,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,498942624.255317,498.942624,0.498943,968512,0.006877,0.979613,0.986490,3840,10,4,4,128,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,138576840.997838,138.576841,0.138577,968512,0.013463,1.028050,1.041512,3840,10,16,16,128,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,5610189505.219634,5610.189505,5.610190,968512,0.002710,0.951640,0.954350,480,10,2,2,16,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,4583572764.017360,4583.572764,4.583573,968512,0.003068,0.973619,0.976687,480,10,4,4,16,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,1297360983.325747,1297.360983,1.297361,968512,0.004869,0.987823,0.992692,480,10,16,16,16,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,1936073421.863133,1936.073422,1.936073,968512,0.004633,0.972870,0.977503,1920,10,2,2,64,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,1552333352.852623,1552.333353,1.552333,968512,0.003875,0.970692,0.974566,1920,10,4,4,64,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,471504195.760066,471.504196,0.471504,968512,0.006664,0.991296,0.997960,1920,10,16,16,64,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,1172480994.437214,1172.480994,1.172481,968512,0.004331,0.955253,0.959584,3840,10,2,2,128,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,947046886.700525,947.046887,0.947047,968512,0.004336,0.952681,0.957017,3840,10,4,4,128,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,269515220.036642,269.515220,0.269515,968512,0.010960,1.018925,1.029885,3840,10,16,16,128,32,23560,23560,484256,968512,21,20,1.000000,1,1
