Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,407503126.248053,407.503126,0.407503,968512,0.008696,2.788703,2.797399,480,10,2,2,16,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,350558195.231852,350.558195,0.350558,968512,0.005929,2.805125,2.811054,480,10,4,4,16,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,141187682.051480,141.187682,0.141188,968512,0.010258,2.884981,2.895239,480,10,16,16,16,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,155256905.526008,155.256906,0.155257,968512,0.015053,2.802248,2.817301,1920,10,2,2,64,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,161437718.336260,161.437718,0.161438,968512,0.013900,2.809130,2.823030,1920,10,4,4,64,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,74623507.873970,74.623508,0.074624,968512,0.023873,2.893516,2.917389,1920,10,16,16,64,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,114099506.308653,114.099506,0.114100,968512,0.015803,2.799682,2.815485,3840,10,2,2,128,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,122964788.033767,122.964788,0.122965,968512,0.015246,2.814444,2.829689,3840,10,4,4,128,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,50174727.953248,50.174728,0.050175,968512,0.026573,2.875852,2.902425,3840,10,16,16,128,8,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,469690763.448975,469.690763,0.469691,968512,0.009156,2.795927,2.805083,480,10,2,2,16,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,457929313.924620,457.929314,0.457929,968512,0.010030,2.828578,2.838608,480,10,4,4,16,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,252322985.851928,252.322986,0.252323,968512,0.009726,2.896063,2.905789,480,10,16,16,16,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,183003504.825176,183.003505,0.183004,968512,0.013007,2.823151,2.836157,1920,10,2,2,64,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,240199475.794393,240.199476,0.240199,968512,0.010006,2.841686,2.851692,1920,10,4,4,64,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,115731332.358047,115.731332,0.115731,968512,0.016886,2.897472,2.914358,1920,10,16,16,64,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,146500757.944217,146.500758,0.146501,968512,0.009564,2.825956,2.835520,3840,10,2,2,128,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,125929644.402278,125.929644,0.125930,968512,0.016082,2.830560,2.846642,3840,10,4,4,128,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,70356016.832735,70.356017,0.070356,968512,0.023345,2.910650,2.933995,3840,10,16,16,128,16,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,603751909.945456,603.751910,0.603752,968512,0.006716,2.819671,2.826387,480,10,2,2,16,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,569942078.034947,569.942078,0.569942,968512,0.006604,2.866438,2.873042,480,10,4,4,16,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,192424109.584337,192.424110,0.192424,968512,0.015150,2.909816,2.924966,480,10,16,16,16,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,291761576.594442,291.761577,0.291762,968512,0.006640,2.854908,2.861548,1920,10,2,2,64,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,208277518.609020,208.277519,0.208278,968512,0.006809,2.843161,2.849970,1920,10,4,4,64,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,106184328.577577,106.184329,0.106184,968512,0.011439,2.921479,2.932918,1920,10,16,16,64,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,134311735.241345,134.311735,0.134312,968512,0.011820,2.829384,2.841204,3840,10,2,2,128,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,196854629.116725,196.854629,0.196855,968512,0.007641,2.840933,2.848574,3840,10,4,4,128,32,23560,23560,484256,968512,21,20,1.000000,1,1
BCSR OMP,O2,77588928.000864,77.588928,0.077589,968512,0.017783,2.929327,2.947110,3840,10,16,16,128,32,23560,23560,484256,968512,21,20,1.000000,1,1
