Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_O1,0.000128,0.001231,0.001359,13.825124,0,100,1,1,16,8,131072,512,512,4096,8,8,0,0
coo_omp_collapse_O1,0.000125,0.001147,0.001272,12.028506,0,100,1,1,16,8,131072,512,512,4096,8,8,0,0
coo_transpose_omp_O1,0.000634,0.001095,0.001729,0.249666,0,100,1,1,16,8,131072,512,512,4096,8,8,0,0
coo_transpose_omp_collapse_O1,0.000570,0.001089,0.001659,0.247182,0,100,1,1,16,8,131072,512,512,4096,8,8,0,0
coo_transpose_omp_omp_O1,0.001454,0.001076,0.002530,0.096538,0,100,1,1,16,8,131072,512,512,4096,8,8,0,0
coo_omp_O1,0.000044,0.001103,0.001147,21.624682,0,100,1,1,16,16,131072,512,512,4096,8,8,0,0
coo_omp_collapse_O1,0.000125,0.001079,0.001204,11.463228,0,100,1,1,16,16,131072,512,512,4096,8,8,0,0
coo_transpose_omp_O1,0.000631,0.001083,0.001714,0.250007,0,100,1,1,16,16,131072,512,512,4096,8,8,0,0
coo_transpose_omp_collapse_O1,0.000561,0.001082,0.001644,0.249991,0,100,1,1,16,16,131072,512,512,4096,8,8,0,0
coo_transpose_omp_omp_O1,0.001475,0.001074,0.002549,0.095704,0,100,1,1,16,16,131072,512,512,4096,8,8,0,0
coo_omp_O1,0.000045,0.001074,0.001119,19.692428,0,100,1,1,16,32,131072,512,512,4096,8,8,0,0
coo_omp_collapse_O1,0.000126,0.001104,0.001230,12.549099,0,100,1,1,16,32,131072,512,512,4096,8,8,0,0
coo_transpose_omp_O1,0.000639,0.001064,0.001703,0.248031,0,100,1,1,16,32,131072,512,512,4096,8,8,0,0
coo_transpose_omp_collapse_O1,0.000638,0.001064,0.001702,0.249795,0,100,1,1,16,32,131072,512,512,4096,8,8,0,0
coo_transpose_omp_omp_O1,0.001528,0.001079,0.002607,0.092555,0,100,1,1,16,32,131072,512,512,4096,8,8,0,0
coo_omp_O1,0.000050,0.001087,0.001136,19.441529,0,100,1,1,16,64,131072,512,512,4096,8,8,0,0
coo_omp_collapse_O1,0.000123,0.001058,0.001181,12.858319,0,100,1,1,16,64,131072,512,512,4096,8,8,0,0
coo_transpose_omp_O1,0.000634,0.001065,0.001699,0.249656,0,100,1,1,16,64,131072,512,512,4096,8,8,0,0
coo_transpose_omp_collapse_O1,0.000564,0.001095,0.001659,0.248800,0,100,1,1,16,64,131072,512,512,4096,8,8,0,0
coo_transpose_omp_omp_O1,0.001439,0.001075,0.002514,0.097771,0,100,1,1,16,64,131072,512,512,4096,8,8,0,0
coo_omp_O2,0.000043,0.001136,0.001180,22.100136,0,100,1,1,16,8,131072,512,512,4096,8,8,0,0
coo_omp_collapse_O2,0.000122,0.001073,0.001195,14.051979,0,100,1,1,16,8,131072,512,512,4096,8,8,0,0
coo_transpose_omp_O2,0.000647,0.001091,0.001738,0.244339,0,100,1,1,16,8,131072,512,512,4096,8,8,0,0
coo_transpose_omp_collapse_O2,0.000553,0.001067,0.001621,0.252431,0,100,1,1,16,8,131072,512,512,4096,8,8,0,0
coo_transpose_omp_omp_O2,0.001396,0.001088,0.002484,0.100421,0,100,1,1,16,8,131072,512,512,4096,8,8,0,0
coo_omp_O2,0.000044,0.001079,0.001122,21.770005,0,100,1,1,16,16,131072,512,512,4096,8,8,0,0
coo_omp_collapse_O2,0.000126,0.001073,0.001199,8.857214,0,100,1,1,16,16,131072,512,512,4096,8,8,0,0
coo_transpose_omp_O2,0.000566,0.001159,0.001725,0.245726,0,100,1,1,16,16,131072,512,512,4096,8,8,0,0
coo_transpose_omp_collapse_O2,0.000592,0.001109,0.001701,0.250312,0,100,1,1,16,16,131072,512,512,4096,8,8,0,0
coo_transpose_omp_omp_O2,0.001422,0.001091,0.002513,0.094131,0,100,1,1,16,16,131072,512,512,4096,8,8,0,0
coo_omp_O2,0.000044,0.001085,0.001130,20.998139,0,100,1,1,16,32,131072,512,512,4096,8,8,0,0
coo_omp_collapse_O2,0.000123,0.001055,0.001178,11.158341,0,100,1,1,16,32,131072,512,512,4096,8,8,0,0
coo_transpose_omp_O2,0.000644,0.001183,0.001827,0.245734,0,100,1,1,16,32,131072,512,512,4096,8,8,0,0
coo_transpose_omp_collapse_O2,0.000547,0.001097,0.001644,0.255904,0,100,1,1,16,32,131072,512,512,4096,8,8,0,0
coo_transpose_omp_omp_O2,0.001427,0.001090,0.002517,0.096809,0,100,1,1,16,32,131072,512,512,4096,8,8,0,0
