Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp_O1,0.000652,0.217294,0.217946,7838.942194,0,100,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O1,0.841280,0.234984,1.076264,5.735514,0,100,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O1,0.099414,0.315493,0.414907,48.666106,0,100,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O1,0.940920,0.294583,1.235504,5.127718,0,100,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O1,0.097014,0.313651,0.410665,49.820690,0,100,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O1,0.000617,0.233683,0.234300,13696.339054,0,100,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O1,0.420216,0.230393,0.650609,11.481330,0,100,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O1,0.134828,0.313655,0.448483,35.809828,0,100,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O1,0.554887,0.319655,0.874542,8.695592,0,100,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O1,0.136033,0.310315,0.446348,35.542720,0,100,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O1,0.000446,0.295546,0.295992,24649.232259,0,100,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O1,0.211754,0.222158,0.433912,22.830432,0,100,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O1,0.205717,0.315270,0.520988,23.538588,0,100,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O1,0.413892,0.321241,0.735133,11.664036,0,100,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O1,0.218817,0.232784,0.451601,22.133836,0,100,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O1,0.000457,0.316091,0.316548,42076.647660,0,100,1,1,16,64,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O1,0.106918,0.220292,0.327210,45.470672,0,100,1,1,16,64,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O1,0.363673,0.219953,0.583626,13.283347,0,100,1,1,16,64,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O1,0.472244,0.310344,0.782588,10.228278,0,100,1,1,16,64,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O1,0.365828,0.238397,0.604225,13.202895,0,100,1,1,16,64,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O2,0.000459,0.232346,0.232805,16019.789532,0,100,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O2,0.838081,0.240581,1.078662,5.757465,0,100,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O2,0.095373,0.324553,0.419926,50.837743,0,100,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O2,0.942131,0.321915,1.264046,5.121197,0,100,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O2,0.098083,0.287477,0.385560,49.426306,0,100,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O2,0.000373,0.317784,0.318157,26981.707764,0,100,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O2,0.423285,0.218068,0.641353,11.404811,0,100,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O2,0.134327,0.219951,0.354278,35.953895,0,100,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O2,0.556040,0.311363,0.867403,8.677175,0,100,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O2,0.133935,0.313144,0.447079,36.066806,0,100,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O2,0.000330,0.316498,0.316828,45116.362302,0,100,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O2,0.211804,0.244684,0.456488,22.831221,0,100,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O2,0.204417,0.230491,0.434908,23.663871,0,100,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O2,0.418717,0.307904,0.726621,11.531401,0,100,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O2,0.206780,0.286028,0.492808,23.399742,0,100,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O2,0.000418,0.312804,0.313221,74963.503832,0,100,1,1,16,64,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O2,0.106604,0.314688,0.421292,45.517536,0,100,1,1,16,64,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O2,0.367082,0.312538,0.679620,13.160600,0,100,1,1,16,64,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O2,0.469123,0.281953,0.751076,10.292461,0,100,1,1,16,64,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_omp_O2,0.363663,0.313988,0.677651,13.291456,0,100,1,1,16,64,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O3,0.000360,0.262848,0.263208,18723.490474,0,100,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp_collapse_O3,0.842223,0.222911,1.065134,5.728560,0,100,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_O3,0.098628,0.316299,0.414927,49.058239,0,100,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_transpose_omp_collapse_O3,0.940199,0.306353,1.246552,5.131537,0,100,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
