Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
ell_omp_O1,0.000962,0.079149,0.080111,101.188488,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
ell_omp_collapse_O1,0.000922,0.068940,0.069862,108.549607,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_O1,0.001457,0.015333,0.016790,57.585611,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_collapse_O1,0.001356,0.023293,0.024649,61.362181,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_omp_O1,0.001283,0.083349,0.084632,73.192403,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
ell_omp_O1,0.000718,0.024511,0.025229,133.979402,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
ell_omp_collapse_O1,0.000705,0.015288,0.015993,142.366631,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_O1,0.001191,0.073058,0.074249,68.505056,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_collapse_O1,0.001113,0.015372,0.016485,72.373030,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_omp_O1,0.001029,0.071613,0.072642,83.206389,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
ell_omp_O1,0.000560,0.080205,0.080765,196.235081,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
ell_omp_collapse_O1,0.000511,0.040826,0.041337,208.201566,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_O1,0.001152,0.065101,0.066253,74.207059,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_collapse_O1,0.000971,0.016687,0.017658,80.831534,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_omp_O1,0.001239,0.053160,0.054399,64.296670,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
ell_omp_O1,0.000649,0.015274,0.015923,239.401197,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
ell_omp_collapse_O1,0.000522,0.040092,0.040614,250.045928,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_O1,0.001065,0.048454,0.049519,81.899737,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_collapse_O1,0.001680,0.015404,0.017084,56.932362,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_omp_O1,0.001810,0.072557,0.074367,40.179200,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
ell_omp_O2,0.000654,0.015455,0.016109,151.433693,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
ell_omp_collapse_O2,0.000362,0.028509,0.028871,205.829894,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_O2,0.000898,0.024139,0.025037,84.279307,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_collapse_O2,0.001080,0.066016,0.067096,72.407871,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_omp_O2,0.000887,0.079642,0.080529,96.482945,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
ell_omp_O2,0.000546,0.031591,0.032138,204.968534,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
ell_omp_collapse_O2,0.000373,0.018606,0.018979,253.536959,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_O2,0.000893,0.026447,0.027340,87.111354,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_collapse_O2,0.000949,0.055143,0.056092,80.275145,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_omp_O2,0.000824,0.028100,0.028924,93.823408,0,100,1,1,16,16,67108864,512,512,65536,128,128,0,0
ell_omp_O2,0.000400,0.065460,0.065860,309.858358,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
ell_omp_collapse_O2,0.000366,0.055266,0.055632,300.332164,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_O2,0.001016,0.067068,0.068084,80.761127,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_collapse_O2,0.000913,0.055569,0.056482,85.055443,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_omp_O2,0.001066,0.029038,0.030104,69.813174,0,100,1,1,16,32,67108864,512,512,65536,128,128,0,0
ell_omp_O2,0.000422,0.015605,0.016027,324.590635,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
ell_omp_collapse_O2,0.000323,0.019799,0.020122,428.378559,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_O2,0.000858,0.024276,0.025134,100.386318,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_collapse_O2,0.001003,0.027919,0.028922,78.044538,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_omp_O2,0.001740,0.015381,0.017122,41.827950,0,100,1,1,16,64,67108864,512,512,65536,128,128,0,0
ell_omp_O3,0.000449,0.019067,0.019516,184.230085,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
ell_omp_collapse_O3,0.000576,0.020907,0.021482,161.978152,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
ell_transpose_omp_O3,0.000740,0.019629,0.020369,93.943307,0,100,1,1,16,8,67108864,512,512,65536,128,128,0,0
