Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_O1,0.022839,5.336267,5.359106,3.085763,0,100,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O1,0.022147,5.370405,5.392552,3.209509,0,100,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O1,0.022163,5.304381,5.326545,3.199944,0,100,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O1,0.021240,5.333991,5.355231,3.347094,0,100,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O1,0.021152,5.323770,5.344922,3.315612,0,100,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O1,0.022326,5.332488,5.354814,3.192790,0,100,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O1,0.022675,5.299282,5.321957,3.160699,0,100,1,1,16,64,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O1,0.020690,5.321297,5.341987,3.364116,0,100,1,1,16,64,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O2,0.019405,5.287097,5.306503,3.701650,0,100,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O2,0.019587,5.335255,5.354842,3.674299,0,100,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O2,0.019554,5.311300,5.330854,3.622202,0,100,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O2,0.020397,5.297991,5.318388,3.475614,0,100,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O2,0.019210,5.292238,5.311448,3.707910,0,100,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O2,0.019795,5.290146,5.309941,3.516139,0,100,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O2,0.020432,5.324797,5.345229,3.509242,0,100,1,1,16,64,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O2,0.018990,5.302875,5.321865,3.701255,0,100,1,1,16,64,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O3,0.019740,5.295675,5.315415,3.569949,0,100,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O3,0.018467,5.319678,5.338145,3.917875,0,100,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O3,0.018337,5.316325,5.334662,3.838549,0,100,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O3,0.019246,5.294603,5.313849,3.615795,0,100,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O3,0.019444,5.287754,5.307198,3.638544,0,100,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O3,0.019356,5.319952,5.339308,3.615145,0,100,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
coo_omp_O3,0.018975,5.300422,5.319397,3.793900,0,100,1,1,16,64,65117344,62451,62451,2034917,40,32,54,7
coo_omp_collapse_O3,0.019261,5.275630,5.294891,3.690500,0,100,1,1,16,64,65117344,62451,62451,2034917,40,32,54,7
