Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,314015091.369260,314.015091,0.314015,1374176,0.005151,0.085092,0.090243,0,10,2,2,16,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,535087663.933934,535.087664,0.535088,1374176,0.003820,0.045232,0.049052,0,10,16,16,16,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,1119137519.852172,1119.137520,1.119138,5496704,0.006111,0.061990,0.068101,0,10,2,2,64,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,1257889004.038654,1257.889004,1.257889,5496704,0.006405,0.085377,0.091782,0,10,16,16,64,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,1933147290.481700,1933.147290,1.933147,10993408,0.006500,0.049766,0.056266,0,10,2,2,128,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,2531231553.781467,2531.231554,2.531232,10993408,0.004804,0.028617,0.033421,0,10,16,16,128,8,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,316027975.967629,316.027976,0.316028,1374176,0.005541,0.042779,0.048320,0,10,2,2,16,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,712477560.980367,712.477561,0.712478,1374176,0.003105,0.055218,0.058323,0,10,16,16,16,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,1034689140.265430,1034.689140,1.034689,5496704,0.006335,0.061125,0.067460,0,10,2,2,64,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,1648847488.570423,1648.847489,1.648847,5496704,0.004257,0.054140,0.058397,0,10,16,16,64,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,1476492792.420292,1476.492792,1.476493,10993408,0.011075,0.025093,0.036168,0,10,2,2,128,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,2550251492.164765,2550.251492,2.550251,10993408,0.006498,0.082749,0.089247,0,10,16,16,128,16,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,246408813.049205,246.408813,0.246409,1374176,0.009113,0.022888,0.032001,0,10,2,2,16,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,624426613.865029,624.426614,0.624427,1374176,0.003465,0.035357,0.038822,0,10,16,16,16,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,879408673.375800,879.408673,0.879409,5496704,0.008296,0.037380,0.045676,0,10,2,2,64,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,1515373347.004953,1515.373347,1.515373,5496704,0.004152,0.026390,0.030542,0,10,16,16,64,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,1567249310.070484,1567.249310,1.567249,10993408,0.009871,0.088676,0.098547,0,10,2,2,128,32,2003,2003,42943,85886,84,21,4.000000,197,14
BCSR OMP,O2,2398965901.839265,2398.965902,2.398966,10993408,0.007226,0.087978,0.095204,0,10,16,16,128,32,2003,2003,42943,85886,84,21,4.000000,197,14
