,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,66256350.667594,66.256351,0.066256,85886,0.002037,0.086677,0.088714,0,10,2,2,16,8,2003,2003,42943,85886,84,21,4.0,197,14
1,BCSR OMP,O2,51141368.345802,51.141368,0.051141,85886,0.002448,0.079308,0.081756,0,10,4,4,16,8,2003,2003,42943,85886,84,21,4.0,197,14
2,BCSR OMP,O2,33378942.054947,33.378942,0.033379,85886,0.00394,0.097774,0.101714,0,10,16,16,16,8,2003,2003,42943,85886,84,21,4.0,197,14
3,BCSR OMP,O2,41058593.814151,41.058594,0.041059,85886,0.003223,0.057567,0.06079,0,10,2,2,64,8,2003,2003,42943,85886,84,21,4.0,197,14
4,BCSR OMP,O2,32734649.328784,32.734649,0.032735,85886,0.003376,0.02755,0.030926,0,10,4,4,64,8,2003,2003,42943,85886,84,21,4.0,197,14
5,BCSR OMP,O2,19482602.395688,19.482602,0.019483,85886,0.006172,0.076461,0.082633,0,10,16,16,64,8,2003,2003,42943,85886,84,21,4.0,197,14
6,BCSR OMP,O2,33496365.883388,33.496366,0.033496,85886,0.003266,0.042219,0.045485,0,10,2,2,128,8,2003,2003,42943,85886,84,21,4.0,197,14
7,BCSR OMP,O2,23055252.557724,23.055253,0.023055,85886,0.006192,0.060601,0.066793,0,10,4,4,128,8,2003,2003,42943,85886,84,21,4.0,197,14
8,BCSR OMP,O2,13753428.949097,13.753429,0.013753,85886,0.007351,0.094743,0.102094,0,10,16,16,128,8,2003,2003,42943,85886,84,21,4.0,197,14
9,BCSR OMP,O2,81247325.74266,81.247326,0.081247,85886,0.001737,0.022791,0.024528,0,10,2,2,16,16,2003,2003,42943,85886,84,21,4.0,197,14
10,BCSR OMP,O2,58120307.422166,58.120307,0.05812,85886,0.002421,0.050244,0.052665,0,10,4,4,16,16,2003,2003,42943,85886,84,21,4.0,197,14
11,BCSR OMP,O2,41389093.250846,41.389093,0.041389,85886,0.003602,0.073203,0.076806,0,10,16,16,16,16,2003,2003,42943,85886,84,21,4.0,197,14
12,BCSR OMP,O2,46542676.342514,46.542676,0.046543,85886,0.003285,0.044223,0.047508,0,10,2,2,64,16,2003,2003,42943,85886,84,21,4.0,197,14
13,BCSR OMP,O2,36677526.379684,36.677526,0.036678,85886,0.004063,0.079216,0.083279,0,10,4,4,64,16,2003,2003,42943,85886,84,21,4.0,197,14
14,BCSR OMP,O2,21165351.39638,21.165351,0.021165,85886,0.00581,0.060695,0.066505,0,10,16,16,64,16,2003,2003,42943,85886,84,21,4.0,197,14
15,BCSR OMP,O2,39616413.50836,39.616414,0.039616,85886,0.003319,0.044486,0.047805,0,10,2,2,128,16,2003,2003,42943,85886,84,21,4.0,197,14
16,BCSR OMP,O2,25999327.714604,25.999328,0.025999,85886,0.004293,0.047315,0.051608,0,10,4,4,128,16,2003,2003,42943,85886,84,21,4.0,197,14
17,BCSR OMP,O2,17303291.417422,17.303291,0.017303,85886,0.007673,0.075646,0.083319,0,10,16,16,128,16,2003,2003,42943,85886,84,21,4.0,197,14
18,BCSR OMP,O2,84202959.063991,84.202959,0.084203,85886,0.002357,0.041162,0.043519,0,10,2,2,16,32,2003,2003,42943,85886,84,21,4.0,197,14
19,BCSR OMP,O2,55600680.450879,55.60068,0.055601,85886,0.003335,0.044459,0.047793,0,10,4,4,16,32,2003,2003,42943,85886,84,21,4.0,197,14
20,BCSR OMP,O2,44917944.629825,44.917945,0.044918,85886,0.004012,0.086752,0.090764,0,10,16,16,16,32,2003,2003,42943,85886,84,21,4.0,197,14
21,BCSR OMP,O2,50595201.773609,50.595202,0.050595,85886,0.003031,0.052467,0.055498,0,10,2,2,64,32,2003,2003,42943,85886,84,21,4.0,197,14
22,BCSR OMP,O2,51482007.77607,51.482008,0.051482,85886,0.003696,0.089526,0.093222,0,10,4,4,64,32,2003,2003,42943,85886,84,21,4.0,197,14
23,BCSR OMP,O2,34604919.432963,34.604919,0.034605,85886,0.004949,0.089474,0.094423,0,10,16,16,64,32,2003,2003,42943,85886,84,21,4.0,197,14
24,BCSR OMP,O2,51635490.89431,51.635491,0.051635,85886,0.00477,0.060232,0.065002,0,10,2,2,128,32,2003,2003,42943,85886,84,21,4.0,197,14
25,BCSR OMP,O2,38223173.907349,38.223174,0.038223,85886,0.00451,0.083562,0.088071,0,10,4,4,128,32,2003,2003,42943,85886,84,21,4.0,197,14
26,BCSR OMP,O2,25877509.919729,25.87751,0.025878,85886,0.005434,0.088891,0.094325,0,10,16,16,128,32,2003,2003,42943,85886,84,21,4.0,197,14
27,BCSR OMP,O2,314015091.36926,314.015091,0.314015,1374176,0.005151,0.085092,0.090243,0,10,2,2,16,8,2003,2003,42943,85886,84,21,4.0,197,14
28,BCSR OMP,O2,535087663.933934,535.087664,0.535088,1374176,0.00382,0.045232,0.049052,0,10,16,16,16,8,2003,2003,42943,85886,84,21,4.0,197,14
29,BCSR OMP,O2,1119137519.852172,1119.13752,1.119138,5496704,0.006111,0.06199,0.068101,0,10,2,2,64,8,2003,2003,42943,85886,84,21,4.0,197,14
30,BCSR OMP,O2,1257889004.038654,1257.889004,1.257889,5496704,0.006405,0.085377,0.091782,0,10,16,16,64,8,2003,2003,42943,85886,84,21,4.0,197,14
31,BCSR OMP,O2,1933147290.4817,1933.14729,1.933147,10993408,0.0065,0.049766,0.056266,0,10,2,2,128,8,2003,2003,42943,85886,84,21,4.0,197,14
32,BCSR OMP,O2,2531231553.781467,2531.231554,2.531232,10993408,0.004804,0.028617,0.033421,0,10,16,16,128,8,2003,2003,42943,85886,84,21,4.0,197,14
33,BCSR OMP,O2,316027975.967629,316.027976,0.316028,1374176,0.005541,0.042779,0.04832,0,10,2,2,16,16,2003,2003,42943,85886,84,21,4.0,197,14
